,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,本番年齢
133,133,2012/04/29,3京都4,晴,11.0,天皇賞(春)(G1),,18.0,1.0,1,159.6,14.0,1,石橋脩,58.0,芝3200,良,-20.0,3:13.8,-0.7,104.0,2-2-1-1,35.9-36.5,36.5,512(-2),,,(トーセンジョーダン),13590.6,9,30291.699999999997,1081.8464285714285,0.8035714285714285,89.32142857142857,-1,22,0.8461538461538461,36.65714285714285,0.7111716621253406,5
134,134,2012/04/01,2阪神4,曇,11.0,産経大阪杯(G2),,12.0,5.0,6,2.6,1,2,横山典弘,57.0,芝2000,稍,23.0,2:05.7,0.2,110.0,4-3-3-3,39.1-35.3,35.2,524(-4),,,ショウナンマイティ,2424.8,10,17245.5,1724.55,-0.06000000000000001,94.7,5,10,1.1111111111111112,35.029999999999994,0.9166666666666666,5
135,135,2012/05/06,1新潟2,曇,11.0,新潟大賞典(G3),,15.0,1.0,1,10.1,5,1,古川吉洋,56.0,芝2000,稍,6.0,1:59.0,-0.3,107.0,7-7,35.3-35.9,35.4,506(-2),,,(ダンツホウテイ),4056.7,11,12967.4,720.411111111111,0.5277777777777779,89.5,0,25,1.3888888888888888,35.75,0.746606334841629,4
136,136,2012/06/02,3阪神1,曇,11.0,鳴尾記念(G3),,10.0,8.0,10,3.8,2,1,福永祐一,57.0,芝2000,良,-15.0,2:00.1,-0.1,94.0,2-2-2-2,37.0-33.4,33.2,534(-2),,,(ショウナンマイティ),4037.8,12,44958.4,2247.92,0.3450000000000001,104.5,0,-7,-0.35,34.62499999999999,0.7415730337078652,5
137,137,2012/05/27,2東京12,晴,12.0,目黒記念(G2),,18.0,4.0,7,108.4,13,6,内田博幸,56.0,芝2500,良,-15.0,2:31.1,0.5,99.0,15-16-18-17,29.4-34.8,34.0,554(+6),,,スマートロビン,0.0,13,23182.3,565.4219512195122,0.6707317073170732,99.17073170731707,0,2,0.04878048780487805,35.6390243902439,0.6502732240437158,7
138,138,2012/05/13,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18.0,6.0,12,7.2,4,1,横山典弘,55.0,芝1600,良,-9.0,1:32.4,-0.1,114.0,3-3,34.4-34.2,33.8,470(0),,,(ドナウブルー),9382.2,14,35491.7,2730.130769230769,0.09230769230769233,95.07692307692308,-1,8,0.6153846153846154,34.769230769230774,0.9130434782608695,4
139,139,2012/06/03,3東京2,曇,11.0,安田記念(G1),,18.0,3.0,6,91.0,18,8,丸山元気,58.0,芝1600,良,-15.0,1:32.0,0.7,115.0,18-18,33.8-35.0,33.7,490(-8),,出遅れ,ストロングリターン,0.0,15,36981.9,1056.6257142857144,0.6285714285714286,104.14285714285714,-1,-6,-0.17647058823529413,34.87714285714285,0.655893536121673,7
140,140,2012/03/24,3中山1,曇,11.0,日経賞(G2),,14.0,5.0,8,167.1,12,1,江田照男,56.0,芝2500,重,29.0,2:37.4,-0.6,114.0,1-1-1-1,31.0-37.8,37.8,480(-2),,,(ウインバリアシオン),6100.8,16,16444.4,349.8808510638298,0.9170212765957447,87.23404255319149,3,89,1.9777777777777779,36.66170212765958,0.5654545454545454,6
141,141,2011/05/28,3京都11,雨,11,金鯱賞(G2),,16,5,9,4.2,3,3,佐藤哲三,58,芝2000,不,25,2:02.9,0.5,105,2-2-2-2,36.6-36.3,36.7,536(+6),,,ルーラーシップ,1618.0,1,37872.29999999999,1993.2789473684204,0.18421052631578952,103.78947368421052,2,-7,-0.3684210526315789,35.49473684210526,0.8814814814814815,6
142,142,2011/05/15,2東京8,晴,11.0,ヴィクトリアマイル(G1),,17,7.0,13,1.5,1.0,2,岩田康誠,55.0,芝1600,良,-10.0,1:31.9,0.0,118.0,13-13,33.5-36.0,34.0,460(0),,,アパパネ,3706.8,2,105898.09999999999,6229.299999999999,-0.06470588235294117,107.41176470588235,-2,-2,-0.11764705882352941,34.182352941176475,0.9534883720930233,5
143,143,2011/05/01,3京都4,曇,11.0,天皇賞(春)(G1),,18.0,7.0,15,7.1,3,2,内田博幸,58.0,芝3200,稍,7.0,3:20.7,0.1,99.0,9-10-10-8,37.8-36.0,35.2,490(-2),,,ヒルノダムール,5410.4,3,36637.8,3053.15,0.17500000000000002,94.83333333333333,5,3,0.25,34.48333333333333,0.8364779874213837,4
144,144,2011/05/01,3京都4,曇,11,天皇賞(春)(G1),,18,2,4,4.2,2.0,11,武豊,58,芝3200,稍,7,3:22.0,1.4,90,8-8-3-3,37.8-36.0,37.1,464(-6),,,ヒルノダムール,0.0,4,60009.4,5000.783333333334,0.2333333333333333,101.0,6,-12,-1.0,34.44166666666666,0.8771929824561403,4
145,145,2011/05/28,3京都11,雨,11.0,金鯱賞(G2),,16.0,7.0,13,2.8,1.0,1,福永祐一,58.0,芝2000,不,25.0,2:02.4,-0.1,113.0,16-15-6-4,36.6-36.3,35.8,496(0),,出遅れ,(キャプテントゥーレ),6526.0,5,22909.8,2290.98,-0.08,102.0,2,12,1.2,34.17,0.889763779527559,4
146,146,2011/05/28,3東京3,雨,11,目黒記念(G2),,17,8,17,3.2,1,2,秋山真一,56,芝2500,稍,11,2:32.5,0.0,112,3-4-4-3,28.9-36.7,36.2,500(-4),,,キングトップガン,2339.2,6,8852.5,1106.5625,0.037500000000000006,98.0,1,2,0.25,35.2375,0.90625,4
147,147,2011/06/05,3東京6,曇,11,安田記念(G1),,18,7,13,5.1,2,10,ウィリア,58.0,芝1600,良,-10,1:32.5,0.5,113,17-15,33.9-35.0,34.0,512(-2),,出遅れ,リアルインパクト,0.0,7,17484.6,1165.6399999999999,0.08000000000000002,99.8,-1,6,0.4,33.913333333333334,0.8839285714285714,5
