,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,本番年齢
0,0,2020/12/27,5中山8,晴,11.0,有馬記念(G1),,16,5.0,9,2.5,1,1,北村友一,55,芝2500,良,10.0,2:35.0,0.0,115.0,12-12-3-3,30.8-36.6,36.2,474(+10),,,(サラキア),30340.2,1,87341.99999999999,6718.615384615384,-0.07692307692307693,104.76923076923077,1,1,0.07692307692307693,34.36923076923077,0.9325842696629213,5
1,1,2021/06/05,4中京1,曇,11.0,鳴尾記念(G3),,13,3.0,3,20.6,8,1,坂井瑠星,56,芝2000,良,-13.0,2:00.7,-0.6,96.0,1-1-1-1,38.0-34.1,34.1,528(-4),,,(ショウナンバルディ),4145.5,2,11728.599999999999,651.5888888888888,0.8666666666666667,90.22222222222223,0,10,0.5555555555555556,35.80555555555555,0.588495575221239,5
2,2,2021/04/04,2阪神4,雨,11.0,大阪杯(G1),,13,6.0,8,12.2,4,1,川田将雅,55.0,芝2000,重,20.0,2:01.6,-0.7,112.0,1-1-1-1,35.6-36.8,36.8,422(-2),,出遅れ,(モズベッロ),13781.4,3,22651.700000000004,3775.283333333334,-0.3333333333333333,101.83333333333333,1,2,0.3333333333333333,34.93333333333333,1.0,4
3,3,2021/05/02,2阪神12,晴,11.0,天皇賞(春)(G1),,17,2.0,3,7.3,4,3,戸崎圭太,56,芝3200,良,-10.0,3:15.2,0.5,108.0,3-3-2-2,35.8-37.4,37.7,480(+2),,,ワールドプレミア,3851.0,4,43505.700000000004,2900.38,0.20666666666666667,100.2,0,6,0.42857142857142855,35.073333333333345,0.8861386138613861,5
4,4,2021/03/14,2中京2,晴,11.0,金鯱賞(G2),,10,7.0,7,10.0,3,5,Ｍ．デム,57.0,芝2000,重,18.0,2:02.0,0.2,112.0,10-10-10-10,37.1-36.8,35.9,504(-12),,出脚鈍い,ギベオン,670.0,5,66926.29999999999,2677.0519999999997,0.43999999999999995,106.76,1,-4,-0.16,35.56399999999999,0.7467532467532467,7
5,5,2021/05/30,2東京12,晴,12.0,目黒記念(G2),,16,8.0,15,7.8,3,12,福永祐一,54,芝2500,良,-24.0,2:34.2,1.4,81.0,11-11-11-10,31.2-32.8,33.2,460(+4),,,ウインキートス,0.0,6,12420.300000000001,345.0083333333334,0.8833333333333333,83.63888888888889,3,4,0.18181818181818182,36.522222222222226,0.6357615894039735,6
6,6,2021/06/06,3東京2,曇,11.0,安田記念(G1),,14,6.0,10,167.9,14,6,武豊,58.0,芝1600,良,-18.0,1:32.2,0.5,110.0,12-14,34.9-33.9,33.2,480(-4),,出遅れ,ダノンキングリー,0.0,7,21043.100000000002,678.8096774193549,0.9161290322580645,97.80645161290323,-1,15,0.4838709677419355,34.95161290322581,0.5560747663551402,7
7,7,2021/04/04,2阪神4,雨,11.0,大阪杯(G1),,13,1.0,1,68.8,6,2,池添謙一,57,芝2000,重,20.0,2:02.3,0.7,106.0,10-10-9-5,35.6-36.8,36.8,486(+2),,出遅れ,レイパパレ,5480.4,8,23049.8,1280.5444444444445,0.6722222222222223,97.83333333333333,1,19,1.0555555555555556,35.71666666666667,0.691304347826087,5
8,8,2021/05/02,2阪神12,晴,11.0,天皇賞(春)(G1),,17,1.0,2,3.8,2,4,ルメール,58.0,芝3200,良,-10.0,3:15.2,0.5,108.0,6-6-5-4,35.8-37.4,37.3,474(-6),,,ワールドプレミア,2300.0,9,19495.3,1624.6083333333333,0.2916666666666667,99.16666666666667,0,10,0.9090909090909091,35.49166666666667,0.8602941176470589,4
9,9,2021/06/05,4中京1,曇,11.0,鳴尾記念(G3),,13,4.0,5,162.6,12,5,松若風馬,56,芝2000,良,-13.0,2:01.6,0.9,89.0,4-4-4-3,38.0-34.1,34.5,532(-4),,,ユニコーンライオン,410.0,10,8766.6,313.09285714285716,0.5035714285714287,93.75,0,9,0.32142857142857145,35.01428571428572,0.660427807486631,6
10,10,2021/06/12,3東京3,晴,11.0,ジューンS(3勝クラス),,11,6.0,7,10.0,5,10,戸崎圭太,54,芝2400,良,-19.0,2:26.7,2.1,82.0,8-9-9-9,37.3-34.5,35.6,346(+4),,出遅れ,シルヴァーソニック,0.0,11,5523.0,240.1304347826087,0.9695652173913045,88.21739130434783,0,1,0.05263157894736842,35.7695652173913,0.5351170568561873,5
11,11,2021/05/30,2東京12,晴,12.0,目黒記念(G2),,16,2.0,3,170.7,15,3,北村宏司,53,芝2500,良,-24.0,2:33.4,0.6,86.0,4-3-3-3,31.2-32.8,33.0,468(-12),,,ウインキートス,1416.0,12,7715.400000000001,275.55,0.8392857142857144,91.14285714285714,2,21,0.8076923076923077,34.825,0.4879518072289157,6
12,12,2021/05/02,2阪神12,晴,11.0,天皇賞(春)(G1),,17,2.0,4,182.3,17.0,16,松若風馬,58,芝3200,良,-10.0,3:18.4,3.7,92.0,4-5-5-7,35.8-37.4,40.3,502(-4),,,ワールドプレミア,0.0,13,11052.3,307.0083333333333,0.6499999999999999,93.47222222222223,0,32,0.9411764705882353,37.29444444444443,0.6781857451403888,7
13,13,2020/04/05,2阪神4,晴,11.0,大阪杯(G1),,12,8.0,12,5.2,4,2,北村友一,55,芝2000,良,-10.0,1:58.4,0.0,116.0,3-3-3-3,36.9-34.2,34.0,454(-6),,,ラッキーライラック,5474.4,1,37787.8,3778.78,-0.009999999999999998,102.0,-2,2,0.2,34.15,0.9259259259259259,4
14,14,2020/05/03,3京都4,曇,11.0,天皇賞(春)(G1),,14,5.0,8,5.3,3,6,武豊,58.0,芝3200,良,-14.0,3:17.3,0.8,102.0,1-1-1-1,38.0-36.0,36.8,512(+6),,,フィエールマン,0.0,2,55913.90000000001,2942.8368421052637,0.33157894736842114,106.0,2,-7,-0.3684210526315789,35.32105263157894,0.7787610619469026,6
15,15,2020/05/03,3京都4,曇,11.0,天皇賞(春)(G1),,14,1.0,1,15.8,5,7,池添謙一,58,芝3200,良,-14.0,3:17.4,0.9,103.0,4-4-4-4,38.0-36.0,35.8,478(+6),,出遅れ,フィエールマン,0.0,3,13095.400000000001,1007.3384615384616,0.4,96.23076923076923,2,10,0.7692307692307693,35.223076923076924,0.73125,4
16,16,2020/03/15,1中京6,晴,11.0,金鯱賞(G2),,12,5.0,6,1.3,1,1,ルメール,58,芝2000,良,-2.0,2:01.6,-0.3,106.0,5-5-5-5,37.9-33.8,33.2,502(-2),,,(サトノソルタス),6785.4,4,50058.5,5562.055555555556,0.07777777777777778,101.55555555555556,0,-14,-1.5555555555555556,34.28888888888889,0.9166666666666666,4
17,17,2020/05/03,3京都4,曇,11.0,天皇賞(春)(G1),,14,7.0,11,54.0,10,8,幸英明,58,芝3200,良,-14.0,3:17.5,1.0,103.0,12-12-5-8,38.0-36.0,35.8,470(+8),,出遅れ,フィエールマン,0.0,5,11217.599999999999,801.2571428571428,0.5714285714285714,96.85714285714286,2,3,0.21428571428571427,35.64999999999999,0.6285714285714286,4
18,18,2020/04/05,2阪神4,晴,11.0,大阪杯(G1),,12,5.0,5,4.1,2,1,Ｍ．デム,55.0,芝2000,良,-10.0,1:58.4,0.0,116.0,3-3-3-5,36.9-34.2,33.9,520(+2),,,(クロノジェネシス),13760.4,6,56552.30000000001,4039.4500000000007,0.12142857142857143,104.42857142857143,-2,-10,-0.7142857142857143,33.91428571428571,0.8717948717948718,5
19,19,2020/05/10,1新潟2,曇,11.0,新潟大賞典(G3),,16,5.0,9,19.4,10,1,横山和生,54.0,芝2000,良,-1.0,1:58.6,-0.2,105.0,4-4,35.1-35.4,35.0,482(-6),,,(アトミックフォース),4160.2,7,14268.499999999998,509.58928571428567,0.3892857142857143,88.85714285714286,0,15,0.6,35.47142857142857,0.7465753424657534,5
20,20,2020/05/03,3京都4,曇,11.0,天皇賞(春)(G1),,14,3.0,3,19.8,7,5,藤岡康太,58,芝3200,良,-14.0,3:17.2,0.7,104.0,14-14-7-8,38.0-36.0,35.3,458(+4),,出遅れ,フィエールマン,1500.0,8,10124.600000000002,723.1857142857144,0.38571428571428573,92.64285714285714,2,6,0.42857142857142855,34.5,0.717391304347826,4
21,21,2020/05/03,3京都4,曇,11.0,天皇賞(春)(G1),,14,3.0,4,27.1,8.0,9,松若風馬,58,芝3200,良,-14.0,3:17.6,1.1,100.0,2-2-2-2,38.0-36.0,36.7,490(+2),,,フィエールマン,0.0,9,30197.5,1437.9761904761904,0.5238095238095238,99.85714285714286,2,14,0.6666666666666666,35.642857142857146,0.700374531835206,6
22,22,2020/06/06,3阪神1,晴,11.0,鳴尾記念(G3),,16,4.0,8,9.9,4,3,酒井学,56,芝2000,良,-10.0,2:00.2,0.1,96.0,15-14-13-13,36.0-36.3,35.2,486(0),,出遅れ,パフォーマプロミス,1008.2,10,8249.0,749.9090909090909,0.41818181818181815,97.81818181818181,0,-13,-1.1818181818181819,34.99999999999999,0.7318840579710145,4
23,23,2020/05/03,3京都4,曇,11.0,天皇賞(春)(G1),,14,4.0,6,64.2,11,2,北村友一,58,芝3200,良,-14.0,3:16.5,0.0,107.0,3-3-3-3,38.0-36.0,35.1,446(-2),,,フィエールマン,6086.4,11,33121.100000000006,1182.8964285714287,0.6107142857142858,98.07142857142857,1,28,1.0,35.960714285714275,0.7168674698795181,6
24,24,2020/04/05,2阪神4,晴,11.0,大阪杯(G1),,12,8.0,11,68.2,11,4,鮫島克駿,57.0,芝2000,良,-10.0,1:58.6,0.2,114.0,11-11-12-12,36.9-34.2,33.5,486(+12),,,ラッキーライラック,2000.0,12,20043.100000000002,871.4391304347827,0.8478260869565218,95.91304347826087,-2,12,0.5217391304347826,34.995652173913044,0.5615141955835962,6
25,25,2020/04/05,2阪神4,晴,11.0,大阪杯(G1),,12,4.0,4,5.2,5,5,福永祐一,57,芝2000,良,-10.0,1:58.8,0.4,112.0,5-5-5-8,36.9-34.2,34.0,466(+8),,,ラッキーライラック,1350.0,13,50623.700000000004,4218.641666666667,0.125,101.5,-1,-13,-1.0833333333333333,34.43333333333334,0.841726618705036,5
26,26,2020/05/09,2東京5,曇,10.0,メトロポリタンS(L),,11,8.0,11,143.8,11,8,吉田豊,56,芝2400,良,-21.0,2:26.4,0.6,89.0,10-10-11-10,37.1-33.6,33.6,468(-4),,,ウラヌスチャーム,0.0,14,6299.400000000001,299.9714285714286,0.6142857142857144,90.42857142857143,0,8,0.38095238095238093,34.68095238095238,0.5107296137339056,5
27,27,2020/06/07,3東京2,晴,11.0,安田記念(G1),,14,5.0,7,142.4,10,9,田辺裕信,58,芝1600,稍,-15.0,1:32.7,1.1,105.0,9-11,34.2-34.3,34.6,502(0),,出遅れ,グランアレグリア,0.0,15,39636.8,1801.6727272727273,0.3318181818181818,103.95454545454545,-1,-1,-0.045454545454545456,34.422727272727265,0.7525773195876289,6
28,28,2020/04/05,2阪神4,晴,11.0,大阪杯(G1),,12,3.0,3,4.3,3,7,川田将雅,57.0,芝2000,良,-10.0,1:59.0,0.6,111.0,9-10-8-3,36.9-34.2,34.4,542(-4),,,ラッキーライラック,0.0,16,57235.6,4769.633333333333,0.05833333333333333,103.0,-1,-2,-0.16666666666666666,34.62499999999999,0.8397435897435898,5
29,29,2019/10/06,4京都2,晴,11.0,京都大賞典(G2),,17,8.0,16,2.0,1,6,Ｍ．デム,57,芝2400,良,-11.0,2:24.3,0.8,105.0,3-3-5-6,35.4-35.2,35.7,452(-4),,,ドレッドノータス,0.0,17,18361.399999999998,2040.1555555555553,0.12222222222222226,98.22222222222223,-1,4,0.4444444444444444,34.74444444444444,0.8672566371681416,5
30,30,2020/05/31,2東京12,曇,12.0,目黒記念(G2),,18,4.0,8,28.6,11,11,福永祐一,55,芝2500,良,-20.0,2:30.3,0.7,99.0,12-12-12-8,29.9-35.9,35.9,464(0),,,キングオブコージ,0.0,18,8125.6,477.9764705882353,0.5823529411764706,92.88235294117646,0,-3,-0.17647058823529413,35.39411764705882,0.6039603960396039,5
31,31,2019/03/10,2中京2,雨,11.0,金鯱賞(G2),,13,7.0,11,8.7,5,2,シュタル,55.0,芝2000,稍,0.0,2:00.3,0.2,112.0,8-7-6-6,35.6-34.6,34.1,458(+2),,出遅れ,ダノンプレミアム,2526.4,1,43141.70000000001,2537.74705882353,0.14117647058823532,103.47058823529412,0,1,0.058823529411764705,33.93529411764706,0.8807692307692307,5
32,32,2019/03/31,2阪神4,曇,11.0,大阪杯(G1),,14,4.0,6,4.1,2,2,川田将雅,57.0,芝2000,良,3.0,2:01.0,0.0,104.0,2-2-2-2,36.4-35.5,35.4,508(+2),,,アルアイン,4885.2,2,46840.700000000004,3122.7133333333336,0.21999999999999995,105.0,0,-6,-0.4,35.06666666666667,0.8089887640449438,5
33,33,2019/02/24,2中山2,晴,11.0,中山記念(G2),,11,8.0,10,5.6,4,4,Ｍ．デム,58.0,芝1800,良,-14.0,1:45.7,0.2,114.0,6-6-5-4,35.0-35.6,33.8,524(+14),,,ウインブライト,930.0,3,54976.600000000006,3926.9000000000005,0.15714285714285717,103.92857142857143,-2,-9,-0.6428571428571429,34.199999999999996,0.8430232558139535,5
34,34,2019/03/31,2阪神4,曇,11.0,大阪杯(G1),,14,3.0,3,22.2,9,1,北村友一,57.0,芝2000,良,3.0,2:01.0,0.0,105.0,4-3-4-4,36.4-35.5,35.2,524(-4),,,(キセキ),12298.2,4,48870.200000000004,3258.013333333334,0.24666666666666665,102.8,0,12,0.8,35.28666666666667,0.855,5
35,35,2018/12/23,5中山8,曇,11.0,有馬記念(G1),,16,6.0,12,2.2,1,2,ルメール,57.0,芝2500,稍,-5.0,2:32.2,0.0,114.0,9-9-9-8,30.2-36.9,35.4,490(+8),,,ブラストワンピース,12096.0,5,85655.0,7786.818181818182,-0.03636363636363637,105.81818181818181,-1,-14,-1.2727272727272727,34.654545454545456,0.9459459459459459,5
36,36,2019/06/01,3阪神1,晴,11.0,鳴尾記念(G3),,9,5.0,5,18.5,6,5,高倉稜,56.0,芝2000,良,-3.0,2:00.0,0.4,104.0,5-6-5-5,36.2-35.3,35.2,498(0),,,メールドグラース,410.0,6,21389.5,629.1029411764706,0.3999999999999999,94.6470588235294,0,10,0.29411764705882354,35.30882352941177,0.7078651685393258,6
37,37,2019/03/31,2阪神4,曇,11.0,大阪杯(G1),,14,8.0,13,119.5,13,7,田辺裕信,57.0,芝2000,良,3.0,2:01.5,0.5,100.0,2-3-2-3,36.4-35.5,35.9,450(0),,,アルアイン,0.0,7,18550.5,883.3571428571429,0.42857142857142855,95.95238095238095,0,28,1.3333333333333333,35.78571428571428,0.7755102040816326,5
38,38,2019/04/28,3京都3,晴,11.0,天皇賞(春)(G1),,13,8.0,12,9.2,4,10,三浦皇成,58.0,芝3200,良,-15.0,3:17.7,2.7,96.0,8-8-11-11,36.0-34.5,36.5,496(+2),,,フィエールマン,0.0,8,21226.399999999998,1632.7999999999997,0.7384615384615384,98.23076923076923,2,24,1.8461538461538463,36.13076923076923,0.6046511627906976,5
39,39,2019/04/28,3京都3,晴,11.0,天皇賞(春)(G1),,13,2.0,2,3.3,2,4,Ｍ．デム,58.0,芝3200,良,-15.0,3:16.0,1.0,107.0,13-13-9-5,36.0-34.5,35.2,472(+6),,,フィエールマン,2300.0,9,19778.2,1798.0181818181818,0.22727272727272727,96.9090909090909,0,-16,-1.4545454545454546,34.436363636363645,0.8709677419354839,4
40,40,2019/06/09,3東京4,雨,11.0,エプソムC(G3),,13,1.0,1,79.4,12,4,吉田豊,56.0,芝1800,稍,-9.0,1:49.6,0.5,91.0,9-10-11,38.4-32.9,32.7,458(0),,,レイエンダ,620.0,10,14391.799999999997,293.7102040816326,0.7142857142857143,97.65306122448979,2,52,1.1063829787234043,34.791836734693874,0.543247344461305,8
41,41,2019/03/31,2阪神4,曇,11.0,大阪杯(G1),,14,1.0,1,37.4,10,4,岩田康誠,57.0,芝2000,良,3.0,2:01.2,0.2,105.0,14-14-11-11,36.4-35.5,34.9,506(-8),,,アルアイン,1800.0,11,51709.5,3447.3,0.30666666666666664,105.53333333333333,0,3,0.2,34.580000000000005,0.7979274611398963,6
42,42,2018/06/24,3阪神8,晴,11.0,宝塚記念(G1),,16,6.0,12,166.0,16,15,秋山真一,58.0,芝2200,稍,-1.0,2:14.6,3.0,94.0,2-2-2-4,34.4-36.3,38.9,492(+2),,出遅れ,ミッキーロケット,0.0,12,12683.0,634.15,0.915,89.45,1,17,0.8947368421052632,36.5,0.6317829457364341,7
43,43,2018/04/29,3京都4,晴,11,天皇賞(春)(G1),,17,1,1,38.5,9,4,和田竜二,58.0,芝3200,良,-13,3:16.4,0.2,106,7-7-11-8,35.6-35.9,35.5,480(-8),,,レインボーライン,2300.0,1,20911.8,995.8,0.5142857142857145,99.9047619047619,1,11,0.5238095238095238,35.19047619047619,0.7528089887640449,5
44,44,2018/05/27,2東京12,晴,12,目黒記念(G2),,16,2,4,28.8,10,2,高倉稜,55.0,芝2500,良,-18,2:29.8,0.1,105,3-2-2-3,30.2-34.5,34.4,490(+4),,,ウインテンダネス,2333.2,3,16271.5,581.125,0.25,92.96428571428571,-1,7,0.25,35.18571428571429,0.7632508833922261,5
45,45,2018/02/25,2中山2,曇,11.0,中山記念(G2),,10,3.0,3,6.4,3,8,内田博幸,56.0,芝1800,良,-5.0,1:48.1,0.5,101.0,7-7-7-7,36.2-36.6,34.9,436(0),,,ウインブライト,0.0,4,16309.800000000001,1482.709090909091,0.20909090909090908,95.18181818181819,0,3,0.2727272727272727,34.5,0.7315436241610739,5
46,46,2018/04/01,2阪神4,晴,11.0,大阪杯(G1),,16,7.0,14,20.1,8.0,6,浜中俊,57.0,芝2000,良,-13.0,1:58.8,0.6,104.0,2-2-3-4,36.5-34.1,34.5,482(+8),,,スワーヴリチャード,0.0,5,17347.3,1445.6083333333333,0.26666666666666666,97.66666666666667,-1,12,1.0,35.46666666666667,0.7647058823529411,4
47,47,2018/04/01,2阪神4,晴,11.0,大阪杯(G1),,16,1.0,2,4.0,3,7,戸崎圭太,57.0,芝2000,良,-13.0,1:59.2,1.0,101.0,6-5-12-12,36.5-34.1,34.5,508(+2),,,スワーヴリチャード,0.0,6,79728.4,6644.033333333333,-0.024999999999999994,106.41666666666667,-1,-15,-1.25,34.45833333333333,0.9182389937106918,5
48,48,2018/05/06,1新潟4,晴,11.0,新潟大賞典(G3),,16.0,7.0,13,5.9,3,11,和田竜二,58.0,芝2000,良,-2.0,2:00.6,0.6,95.0,11-10,36.9-33.1,33.1,486(+2),,,スズカデヴィアス,0.0,7,33459.90000000001,1454.7782608695657,0.3391304347826087,102.21739130434783,1,13,0.5909090909090909,34.61304347826086,0.7896341463414634,7
49,49,2018/03/24,3中山1,晴,11.0,日経賞(G2),,15,8.0,14,3.3,1,9,ルメール,57.0,芝2500,良,-3.0,2:34.6,0.7,105.0,3-1-1-1,31.0-36.0,36.7,496(+5),,出遅れ,ガンコ,0.0,8,21315.900000000005,2368.433333333334,0.12222222222222223,100.77777777777777,1,3,0.3333333333333333,34.87777777777777,0.8282828282828283,4
50,50,2018/05/27,2東京12,晴,12,目黒記念(G2),,16,4,8,3.9,1,3,Ｍ．デム,56.0,芝2500,良,-18,2:29.8,0.1,106,3-5-5-5,30.2-34.5,34.2,452(0),,,ウインテンダネス,1416.6,9,15147.199999999997,1165.1692307692306,0.23076923076923078,99.15384615384616,-1,8,0.6153846153846154,35.0,0.8653846153846154,6
51,51,2018/04/29,3京都4,晴,11.0,天皇賞(春)(G1),,17,8.0,16,73.3,12,7,四位洋文,56.0,芝3200,良,-13.0,3:16.8,0.6,105.0,17-17-17-15,35.6-35.9,35.3,470(-4),,,レインボーライン,0.0,10,47984.399999999994,1654.6344827586204,0.22758620689655173,105.03448275862068,1,-4,-0.13793103448275862,34.0551724137931,0.8058968058968059,8
52,52,2018/06/02,3阪神1,晴,11,鳴尾記念(G3),,11,7,8,5.9,4,1,Ｍ．デム,56.0,芝2000,良,-18,1:57.2,-0.1,110,5-5-5-4,34.2-35.3,34.8,520(-2),,,(トリオンフ),4139.2,11,13785.5,861.59375,0.5375,95.875,-3,0,0.0,35.81875,0.7166666666666667,5
53,53,2017/12/24,5中山8,晴,11.0,有馬記念(G1),,16,6.0,12,9.8,4,13,ムーア,57.0,芝2500,良,-5.0,2:34.6,1.0,103.0,10-10-10-11,30.3-35.2,35.4,496(0),,,キタサンブラック,0.0,12,48603.6,3240.24,0.42666666666666664,103.93333333333334,1,11,0.7333333333333333,35.31333333333334,0.6746411483253588,6
54,54,2018/04/29,3京都4,晴,11,天皇賞(春)(G1),,17,7,14,10.1,6.0,8,ルメール,58.0,芝3200,良,-13,3:16.8,0.6,104,13-12-8-8,35.6-35.9,36.1,474(-8),,,レインボーライン,0.0,13,35901.4,1237.9793103448276,0.30000000000000004,98.65517241379311,1,15,0.5357142857142857,34.796551724137935,0.7525510204081632,7
55,55,2018/05/27,2東京12,晴,12,目黒記念(G2),,16,1,2,7.7,3,6,戸崎圭太,57.5,芝2500,良,-18,2:30.0,0.3,105,9-9-9-10,30.2-34.5,34.0,496(-2),,直線不利,ウインテンダネス,0.0,14,16384.0,1365.3333333333333,0.19166666666666665,95.58333333333333,-1,5,0.4166666666666667,34.85833333333333,0.844311377245509,5
56,56,2018/06/02,3阪神1,晴,11,鳴尾記念(G3),,11,7,9,11.7,5,10,秋山真一,56.0,芝2000,良,-18,1:58.9,1.7,96,7-7-7-7,34.2-35.3,36.3,490(+4),,出遅れ,ストロングタイタン,0.0,15,12683.0,667.5263157894736,0.805263157894737,89.21052631578948,-1,16,0.8888888888888888,36.373684210526314,0.6666666666666666,6
57,57,2018/06/03,3阪神2,晴,11,グリーンS(1600万下),,12,4,4,8.4,4.0,1,小牧太,54.0,芝2400,良,-18,2:24.2,-0.3,104,1-1-1-1,35.6-34.6,34.6,450(-10),,,(アドマイヤエイカン),1845.9,16,16020.2,281.05614035087723,0.4385964912280705,93.66666666666667,-12,19,0.3333333333333333,34.96491228070176,0.6886930983847284,8
58,58,2017/04/02,2阪神4,晴,11.0,大阪杯(G1),,14,5.0,7,4.6,3,6,Ｍ．デム,57,芝2000,良,-2.0,1:59.3,0.4,111.0,5-5-6-5,35.5-35.3,34.2,478(-12),,,キタサンブラック,0.0,1,27263.4,2478.490909090909,0.36363636363636354,102.45454545454545,-1,3,0.2727272727272727,34.93636363636364,0.695364238410596,5
59,59,2017/04/30,3京都4,晴,11.0,天皇賞(春)(G1),,17,6.0,12,20.7,5,7,横山典弘,58.0,芝3200,良,-12.0,3:13.6,1.1,120.0,13-13-11-11,35.6-35.5,35.5,494(-4),,出遅れ,キタサンブラック,0.0,2,68258.40000000001,3412.9200000000005,0.16499999999999998,100.05,-1,16,0.8,34.910000000000004,0.8531468531468531,6
60,60,2017/05/14,2東京8,曇,11.0,ヴィクトリアマイル(G1),,17,6.0,11,1.9,1,7,浜中俊,55,芝1600,稍,-4.0,1:34.4,0.5,106.0,6-9,35.6-33.8,33.8,440(+2),,,アドマイヤリード,0.0,3,44943.4,3210.2428571428572,0.09285714285714286,105.14285714285714,0,-1,-0.07142857142857142,34.16428571428572,0.8878504672897196,5
61,61,2017/04/30,3京都4,晴,11.0,天皇賞(春)(G1),,17,1.0,1,9.9,3,9,田辺裕信,58,芝3200,良,-12.0,3:13.7,1.2,117.0,5-5-6-5,35.6-35.5,36.0,508(-2),,出遅れ,キタサンブラック,0.0,4,12158.499999999998,1736.928571428571,0.05714285714285712,105.0,-1,-10,-1.4285714285714286,35.07142857142857,0.8817204301075269,4
62,62,2017/04/30,3京都4,晴,11.0,天皇賞(春)(G1),,17,8.0,16,23.2,7,12,Ｍ．デム,58,芝3200,良,-12.0,3:14.3,1.8,117.0,17-17-17-14,35.6-35.5,35.7,442(-6),,出遅れ,キタサンブラック,0.0,5,17556.6,1097.2875,0.36874999999999997,96.0625,0,9,0.5625,34.7375,0.75,4
63,63,2017/04/02,2阪神4,晴,11.0,大阪杯(G1),,14,1.0,1,14.6,6,7,和田竜二,57.0,芝2000,良,-2.0,1:59.4,0.5,112.0,11-11-11-13,35.5-35.3,33.9,480(0),,,キタサンブラック,0.0,6,15133.4,1080.9571428571428,0.3285714285714286,98.21428571428571,-1,-2,-0.14285714285714285,34.70714285714286,0.8034682080924855,4
64,64,2017/06/03,3阪神1,晴,11.0,鳴尾記念(G3),,10,2.0,2,56.4,10,5,幸英明,56.0,芝2000,良,-15.0,1:59.8,0.4,102.0,6-5-5-5,36.9-34.1,34.1,496(-2),,,ステイインシアトル,410.0,7,9017.599999999999,300.58666666666664,1.1933333333333331,89.26666666666667,0,34,1.1333333333333333,36.393333333333345,0.5447368421052632,5
65,65,2017/04/30,3京都4,晴,11.0,天皇賞(春)(G1),,17,3.0,6,12.0,4.0,2,福永祐一,58,芝3200,良,-12.0,3:12.7,0.2,124.0,5-5-4-3,35.6-35.5,35.2,468(-6),,,キタサンブラック,6104.4,8,41291.3,2173.226315789474,0.16842105263157892,100.89473684210526,-2,-10,-0.5263157894736842,34.78947368421052,0.8464730290456431,5
66,66,2017/04/30,3京都4,晴,11.0,天皇賞(春)(G1),,17,2.0,3,2.2,1,1,武豊,58,芝3200,良,-12.0,3:12.5,-0.2,124.0,2-2-2-1,35.6-35.5,35.3,536(-4),,,(シュヴァルグラン),15365.4,9,134413.90000000002,8400.868750000001,0.09374999999999999,106.0,-2,-3,-0.1875,34.962500000000006,0.9078947368421053,5
67,67,2017/06/11,3東京4,曇,11.0,エプソムC(G3),,18,7.0,13,43.5,12,4,川田将雅,56,芝1800,良,-10.0,1:46.1,0.2,107.0,2-5-5,36.1-34.5,34.2,498(0),,,ダッシングブレイズ,620.0,10,12539.599999999999,501.58399999999995,0.40399999999999997,99.52,0,4,0.16666666666666666,34.31199999999999,0.617816091954023,6
68,68,2017/05/28,2東京12,晴,12.0,目黒記念(G2),,18,7.0,13,70.2,15,13,大野拓弥,57.5,芝2500,良,-12.0,2:32.3,1.4,98.0,16-16-16-16,29.4-35.1,34.8,514(-8),,,フェイムゲーム,0.0,11,40466.3,778.198076923077,0.8057692307692308,98.92307692307692,1,34,0.6538461538461539,35.38461538461538,0.5748251748251748,9
69,69,2016/05/29,2東京12,晴,12,目黒記念(G2),,18,3,6,3.0,1,2,蛯名正義,56,芝2500,良,-16,2:30.6,0.0,107,8-8-8-7,29.7-34.9,34.4,438(0),,,クリプトグラム,2336.4,1,25364.600000000006,1585.2875000000004,0.14375000000000002,98.8125,0,17,1.0625,34.50625,0.874439461883408,5
70,70,2016/02/28,2中山2,晴,11.0,中山記念(G2),,11,7.0,9,2.1,1,1,Ｍ．デム,57.0,芝1800,良,-10.0,1:45.9,0.0,117.0,5-5-5-4,36.5-34.9,34.1,502(+18),,出遅れ,(アンビシャス),6281.2,2,45557.5,6508.214285714285,-0.3142857142857142,103.42857142857143,-2,-5,-0.7142857142857143,33.871428571428574,0.9772727272727273,4
71,71,2016/05/01,3京都4,晴,11,天皇賞(春)(G1),,18,1,1,4.5,2,1,武豊,58,芝3200,良,-11,3:15.3,0.0,112,1-1-1-1,37.5-35.0,35.0,524(0),,,(カレンミロティック),15378.0,3,53657.700000000004,5365.77,0.21999999999999997,100.2,0,0,0.0,34.88999999999999,0.8741258741258742,4
