,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
269,270,2006/03/11,2中山5,晴,10.0,アネモネS(OP),,16.0,4.0,8,2.5,1.0,1,柴田善臣,54.0,芝1600,良,-3.0,1:35.1,-0.3,101.0,1-1-1,35.9-35.6,35.6,508(-4),,,(グレイスティアラ),1941.3,4,7162.6,895.325,0.1875,
270,271,2006/03/04,1阪神3,晴,11.0,チューリップ賞(G3),,16.0,4.0,8,12.0,6.0,2,岩田康誠,54.0,芝1600,良,7.0,1:36.5,0.0,89.0,6-4-5,35.6-36.4,35.9,450(-8),,,アドマイヤキッス,1617.2,5,4197.2,524.65,0.625,
271,272,2006/03/04,1阪神3,晴,11.0,チューリップ賞(G3),,16.0,8.0,15,91.6,11.0,3,秋山真一,54.0,芝1600,良,7.0,1:36.8,0.3,86.0,16-15-14,35.6-36.4,35.7,448(+2),,出遅れ,アドマイヤキッス,1008.6,6,1708.6,427.15,0.39999999999999997,85.5
272,273,2006/03/12,1阪神6,曇,11.0,フィリーズレビュー(G2),,16.0,7.0,14,3.8,2.0,4,武豊,54.0,芝1400,稍,7.0,1:24.0,0.9,84.0,9-8,34.8-36.6,36.4,446(+6),,アオル,ダイワパッション,780.0,7,9695.8,1211.975,0.3,
273,274,2006/03/04,1阪神3,晴,11.0,チューリップ賞(G3),,16.0,6.0,11,3.1,1.0,4,上村洋行,54.0,芝1600,良,7.0,1:37.1,0.6,83.0,6-7-6,35.6-36.4,36.3,480(+2),,,アドマイヤキッス,600.0,8,8460.3,1692.06,0.24000000000000005,
274,275,2006/03/04,1阪神3,晴,11.0,チューリップ賞(G3),,16.0,5.0,9,8.1,4.0,5,蛯名正義,54.0,芝1600,良,7.0,1:37.1,0.6,83.0,2-2-2,35.6-36.4,36.7,480(-14),,,アドマイヤキッス,400.0,9,3727.4,745.48,0.26,
275,276,2006/03/04,1阪神3,晴,11.0,チューリップ賞(G3),,16.0,5.0,10,5.5,3.0,9,柴原央明,54.0,芝1600,良,7.0,1:37.9,1.4,74.0,4-2-2,35.6-36.4,37.4,434(+2),,,アドマイヤキッス,0.0,10,2637.8,659.45,0.575,
276,277,2006/03/12,1阪神6,曇,11.0,フィリーズレビュー(G2),,16.0,5.0,9,76.6,11.0,11,石橋守,54.0,芝1400,稍,7.0,1:24.6,1.5,77.0,3-2,34.8-36.6,38.0,432(+2),,,ダイワパッション,0.0,11,2569.4,428.23333333333335,0.8666666666666667,
277,278,2006/03/12,1阪神6,曇,11.0,フィリーズレビュー(G2),,16.0,4.0,7,12.1,5.0,3,福永祐一,54.0,芝1400,稍,7.0,1:23.6,0.5,89.0,2-1,34.8-36.6,37.1,456(-4),,,ダイワパッション,1318.6,12,5347.8,594.2,0.6333333333333333,
278,279,2006/03/12,1阪神6,曇,11.0,フィリーズレビュー(G2),,16.0,1.0,1,17.8,6.0,2,渡辺薫彦,54.0,芝1400,稍,7.0,1:23.4,0.3,91.0,9-8,34.8-36.6,35.8,438(-8),,,ダイワパッション,2137.2,13,4938.7,352.7642857142857,0.8428571428571427,
279,280,2006/03/18,2中山7,曇,11.0,フラワーC(G3),,16.0,3.0,6,2.0,1.0,2,角田晃一,54.0,芝1800,良,-1.0,1:49.1,0.2,93.0,2-2-2-1,35.5-37.2,37.3,480(-4),,,キストゥヘヴン,1616.8,14,5055.299999999999,722.1857142857142,0.3571428571428571,
280,281,2006/03/11,2中山5,晴,10.0,アネモネS(OP),,16.0,2.0,3,16.6,6.0,2,田中勝春,54.0,芝1600,良,-3.0,1:35.4,0.3,98.0,8-6-6,35.9-35.6,34.9,446(-12),,,アサヒライジング,771.8,15,7451.8,1064.5428571428572,0.7428571428571428,
281,282,2006/03/12,1阪神6,曇,11.0,フィリーズレビュー(G2),,16.0,8.0,15,7.8,3.0,1,長谷川浩,54.0,芝1400,稍,7.0,1:23.1,-0.3,95.0,4-4,34.8-36.6,36.0,466(-6),,,(ユメノオーラ),5330.2,16,10257.5,1282.1875,0.75,
282,283,2006/03/11,1中京3,晴,11.0,中スポ賞ファルコンS(G3),,14.0,8.0,14,20.4,8.0,4,二本柳壮,54.0,芝1200,良,-4.0,1:10.1,0.2,86.0,3-3,34.2-35.7,35.6,440(0),,,タガノバスティーユ,600.0,17,2716.8,388.11428571428576,0.7428571428571429,
283,284,2006/03/11,1中京3,晴,11.0,中スポ賞ファルコンS(G3),,14.0,3.0,4,16.6,6.0,2,中舘英二,54.0,芝1200,良,-4.0,1:10.0,0.1,87.0,1-1,34.2-35.7,35.8,504(+4),,,タガノバスティーユ,1616.4,18,4076.4,582.3428571428572,0.5142857142857142,
