,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
496,496,2019/04/21,3京都2,晴,11.0,読売マイラーズC(G2),,10,3.0,3,4.7,2,4,福永祐一,56,芝1600,良,-17.0,1:32.8,0.2,112.0,3-3,36.0-32.3,32.1,470(+10),,,ダノンプレミアム,890.0,2,51812.99999999999,3238.3124999999995,0.031249999999999997,106.25
497,497,2020/06/07,3東京2,晴,11.0,安田記念(G1),,14,6.0,9,20.2,6,6,川田将雅,58.0,芝1600,稍,-15.0,1:32.3,0.7,108.0,3-3,34.2-34.3,34.7,476(+6),,,グランアレグリア,0.0,3,32219.499999999996,2929.045454545454,0.13636363636363635,100.81818181818181
498,498,2020/11/01,4東京8,曇,11,天皇賞(秋)(G1),,12,7,10,42.3,8.0,9,岩田康誠,56,芝2000,良,-9,1:59.2,1.4,108,11-11-12,36.5-33.6,33.7,488(+14),,出遅れ,アーモンドアイ,0.0,4,18353.600000000002,834.2545454545456,0.6636363636363636,97.86363636363636
499,499,2019/10/05,4東京1,晴,11.0,サウジアラビアRC(G3),,9,3.0,3,1.5,1,1,石橋脩,55,芝1600,良,-18.0,1:32.7,-0.2,104.0,3-3,35.1-33.5,33.1,540(+6),,,(クラヴァシュドール),3331.5,5,33088.5,4726.928571428572,-0.05714285714285715,102.28571428571429
500,500,2019/10/13,4京都4,晴,10.0,三年坂特別(2勝クラス),,13,6.0,9,1.7,1,1,福永祐一,55,芝1600,稍,4.0,1:33.7,-0.4,110.0,4-4,35.1-34.7,34.3,478(+8),,,(シベリアンタイガー),1531.5,6,14696.500000000002,1049.7500000000002,0.19285714285714287,99.21428571428571
501,501,2019/06/02,3東京2,曇,11.0,安田記念(G1),,16,7.0,13,36.2,8,10,Ｍ．デム,58,芝1600,良,-17.0,1:31.8,0.9,120.0,16-16,34.5-33.9,32.7,494(0),,S不利,インディチャンプ,0.0,7,43351.2,1667.353846153846,0.5038461538461539,103.3076923076923
502,502,2019/05/11,3京都7,晴,11,都大路S(L),,11,2,2,34.7,9,4,松山弘平,57,芝1800,良,-15.0,1:45.1,0.5,104.0,3-3,34.9-35.0,34.9,514(+4),,,ソーグリッタリング,390.0,9,20647.799999999996,469.26818181818174,0.5181818181818182,94.86363636363636
503,503,2019/10/05,4京都1,晴,11,長岡京S(3勝クラス),,10,8,10,1.8,1.0,1,福永祐一,53,芝1600,良,-11,1:33.1,-0.1,109,2-2,35.9-33.9,33.8,452(+4),,,(ミッキーブリランテ),1841.0,10,25934.700000000004,1296.7350000000001,0.16499999999999998,100.4
504,504,2019/08/31,2小倉11,曇,11,北九州短距離S(3勝クラス),,17,8,15,25.6,10,13,松若風馬,54,芝1200,良,-2,1:08.7,0.5,92,15-14,33.9-34.3,34.0,538(+4),,出遅れ,メイショウカズヒメ,0.0,11,10211.4,329.4,0.632258064516129,91.09677419354838
505,505,2019/10/14,4京都5,曇,11,夕刊フジ杯オパールS(L),,18,1,1,10.7,4,1,北村友一,52.0,芝1200,稍,5,1:09.2,0.0,101,9-7,34.0-35.2,34.6,470(+10),,,(エイシンデネブ),2537.8,12,16213.7,1080.9133333333334,0.42666666666666675,95.33333333333333
