,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
118,118,2010/03/27,2中京7,晴,10.0,フリージア賞(500万下),,14.0,3.0,4,8.2,4.0,1,飯田祐史,56.0,芝2000,良,7.0,2:02.2,0.0,94.0,8-7-7-5,35.7-35.6,35.2,472(+4),,,(ブレイクアセオリー),1037.8,8,11673.3,507.5347826086956,0.35217391304347834,95.26086956521739
119,119,2011/10/09,5京都2,晴,11.0,京都大賞典(G2),,8.0,1.0,1,30.0,7.0,5,ピンナ,57.0,芝2400,良,-16.0,2:24.7,0.6,104.0,2-2-2-2,35.6-33.8,34.1,496(+6),,,ローズキングダム,650.0,10,25017.9,893.4964285714286,0.885714285714286,97.96428571428571
120,120,2012/03/18,1阪神8,曇,11.0,阪神大賞典(G2),,12.0,6.0,7,175.5,10.0,7,木幡初広,56.0,芝3000,稍,23.0,3:14.0,2.2,83.0,11-11-9-9,38.9-37.3,38.9,474(0),,,ギュスターヴクライ,0.0,11,7096.1,191.7864864864865,0.9837837837837842,90.94594594594595
121,121,2011/07/23,3新潟3,晴,8.0,3歳以上500万下,,17.0,8.0,17,109.7,12.0,7,平野優,54.0,芝2400,良,-8.0,2:28.7,0.8,80.0,6-6-4-4,34.9-35.4,35.8,482(-6),,,マイネルウーノ,0.0,12,4540.2,181.608,0.784,82.2
122,122,2011/01/05,1中山1,晴,11.0,日刊スポ賞中山金杯(G3),,16.0,7.0,13,13.5,6.0,5,吉田豊,56.0,芝2000,良,-7.0,1:59.9,0.1,107.0,2-2-2-2,36.2-34.6,34.6,500(+6),,,コスモファントム,430.0,13,17558.5,516.4264705882352,0.738235294117647,95.70588235294117
123,123,2010/06/26,1函館3,晴,9.0,竜飛崎特別(1000万下),,12.0,6.0,8,151.8,11.0,11,大野拓弥,57.0,ダ1700,良,-4.0,1:47.0,1.5,88.0,8-9-10-12,28.9-38.1,38.5,474(-8),,,ベルモントガリバー,0.0,14,4960.0,160.0,1.261290322580645,90.83870967741936
124,124,2009/10/11,4京都2,晴,11,京都大賞典(G2),,14,6,10,9.5,5,7,松岡正海,59.0,芝2400,良,-13.0,2:25.1,0.8,105.0,12-12-8-11,34.6-37.1,35.1,488(+6),,,オウケンブルースリ,0.0,1,54383.80000000001,1359.5950000000003,0.4124999999999999,105.65
125,125,2011/11/12,6京都3,晴,10,比叡S(1600万下),,14,6,10,9.2,4,3,四位洋文,55.0,芝2400,良,-7.0,2:24.8,0.4,108.0,4-5-6-4,35.2-34.7,34.5,460(+4),,,スマートロビン,444.5,2,6331.0,527.5833333333334,0.6083333333333333,83.25
126,126,2009/05/03,3京都4,曇,10.0,天皇賞(春)(G1),,18.0,4.0,8,73.0,15.0,6,和田竜二,58.0,芝3200,良,-7.0,3:15.1,0.7,114.0,12-12-14-15,36.4-35.1,34.7,454(+2),,アオル,マイネルキッツ,0.0,3,38105.3,1029.872972972973,0.8081081081081083,105.86486486486487
127,127,2010/09/04,1札幌7,晴,8,富良野特別(500万下),,14,4,6,4.9,2,7,武幸四郎,57.0,芝2600,良,-2.0,2:43.1,0.5,94.0,10-11-10-7,36.0-37.6,36.7,460(0),,,マストハブ,0.0,4,6476.1,231.28928571428574,0.8357142857142857,89.96428571428571
128,128,2008/08/10,2小倉8,晴,12,3歳以上500万下,,15,7,12,1.8,1.0,1.0,小牧太,54.0,芝2000,良,-6.0,2:00.5,-0.3,94.0,9-9-7-6,34.3-36.2,35.5,488(+4),,アオル,(スカイリュウホー),740.0,5.0,30984.7,1032.8233333333333,0.48666666666666675,101.26666666666667
129,129,2010/11/20,3福島9,晴,11,福島記念(G3),,15,2,4,12.4,6,4,武幸四郎,56.0,芝2000,良,-7.0,1:59.1,0.2,105.0,3-4-4-4,35.4-35.6,35.5,468(+4),,,ダンスインザモア,620.0,6,18251.3,506.98055555555555,0.8444444444444444,100.27777777777777
130,130,2010/12/04,5中山1,晴,11,ステイヤーズS(G2),,15,3,4,4.8,4,5,デムーロ,58.0,芝3600,良,-10.0,3:43.9,0.5,108.0,6-6-2-1,36.6-36.5,36.9,488(-4),,,コスモヘレノス,640.0,7,24417.9,976.716,0.8520000000000002,97.84
