,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
212,212,2019/04/28,2東京4,晴,8,4歳以上500万下,,12,4,4,46.5,9.0,5,野中悠太,55,ダ2100,良,6.0,2:16.0,1.1,80.0,8-8-8-8,31.7-37.0,37.5,480(-4),,,ラボーナ,75.0,5,1185.0,37.03125,1.1468749999999999,71.5
213,213,2019/11/30,4中京1,晴,12,長良川特別(1勝クラス),,16,8,16,57.3,13.0,7,荻野極,55,芝2200,良,-13.0,2:14.5,0.8,86.0,2-2-4-3,35.6-34.6,35.0,484(+8),,直線不利,ニューポート,0.0,6,650.0,54.166666666666664,1.5916666666666666,77.83333333333333
214,214,2017/06/25,1函館4,晴,4,3歳未勝利,,15,6,12,71.4,13.0,12.0,丸山元気,56,芝1800,良,-17.0,1:48.4,0.9,81.0,9-9-10-10,35.4-35.4,35.5,444(-2),,,メイショウサワカゼ,0.0,7.0,1027.5,36.69642857142857,1.375,70.21428571428571
215,215,2017/07/29,2小倉1,晴,7,3歳以上500万下,,18,7,15,8.7,5.0,1,水口優也,54,芝1200,良,-8.0,1:08.1,-0.1,95.0,2-2,33.6-34.5,34.4,492(+4),,,(ジェスロ),750.0,8,2652.0,68.0,1.3051282051282052,75.94871794871794
216,216,2019/11/17,5京都6,晴,5,2歳新馬,,9,6,6,19.8,5,6,藤岡康太,55,芝2000,良,-3,2:05.2,1.1,60,2-2-2-1,37.6-35.3,36.4,524(0),,,ディアマンミノル,0.0,10,130.0,21.666666666666668,1.6166666666666665,70.33333333333333
217,217,2019/12/15,5阪神6,晴,2,2歳未勝利,,15,7,13,11.9,6,7,坂井瑠星,55,ダ1800,良,3,1:56.8,1.3,67,7-7-7-4,38.3-37.8,38.6,434(-2),,,マイネルクライマー,0.0,11,222.0,27.75,1.1125,72.75
218,218,2020/02/23,2京都8,晴,2,3歳未勝利,,15,3,5,40.5,10,11,太宰啓介,56,ダ1800,重,-14,1:54.1,2.5,69,12-12-12-12,36.2-38.0,38.7,418(-2),,出遅れ,ワイドソロモン,0.0,12,70.0,11.666666666666666,1.4166666666666667,67.5
219,219,2020/03/01,1阪神2,晴,5,3歳新馬,,16,4,8,6.3,3,3,浜中俊,56,芝2000,稍,-6,2:05.3,0.2,66,11-11-11-8,37.2-35.6,35.0,462(0),,,トリンカデイラ,150.0,6,150.0,75.0,1.05,72.0
220,220,2019/09/22,4阪神7,曇,5,2歳新馬,,11,2,2,6.3,3,5,幸英明,54,芝2000,良,-18,2:02.9,1.0,73,6-7-7-10,35.9-34.4,34.8,526(0),,,チュウワノキセキ,70.0,8,277.0,46.166666666666664,1.3166666666666667,72.16666666666667
221,221,2020/03/15,1阪神6,晴,3,3歳未勝利,,14,6,9,120.9,13,11,松田大作,56,ダ1800,重,-7,1:59.0,4.4,37,11-10-12-12,37.4-39.4,41.1,422(-4),,出遅れ,ジロー,0.0,10,0.0,0.0,3.2500000000000004,53.25
222,222,2018/11/17,5京都5,晴,8,3歳以上1000万下,,11,3,3,13.7,5,3,太宰啓介,57,芝2000,良,-7,2:01.4,0.5,90,1-1-1-1,36.4-34.6,35.1,494(+10),,,モーヴサファイア,260.0,1,8876.699999999999,341.41153846153844,1.1038461538461537,88.1923076923077
223,223,2018/02/11,2京都6,曇,8,4歳以上500万下,,15,5,9,13.1,7,6,岩田康誠,56,ダ1900,不,-5.0,1:58.7,1.2,98.0,9-8-7-5,29.2-37.5,38.1,470(+8),,,スズカガルチ,0.0,2,7560.7,328.7260869565217,0.5434782608695652,91.6086956521739
224,224,2018/08/26,2札幌4,晴,12,オールスターJ第4戦(1000万下),,14,8,14,61.2,10.0,8,桑村真明,58,芝1800,稍,12.0,1:51.3,1.0,93.0,11-11-11-10,37.4-36.0,36.3,492(+4),,,スマートエレメンツ,0.0,5,6486.2,196.55151515151513,0.7636363636363637,85.9090909090909
225,225,2019/01/05,1中山1,晴,6,3歳500万下,,12,5,5,117.2,11,11,武藤雅,55,芝2000,良,-10,2:04.0,1.6,74,12-12-12-12,36.9-35.2,35.2,464(-6),,出遅れ,エングレーバー,0.0,6,5106.900000000001,243.1857142857143,1.0095238095238097,83.33333333333333
226,226,2018/07/29,1札幌2,晴,7,3歳以上500万下,,9,3,3,22.4,6,7,藤岡佑介,54,芝2000,良,-14.0,2:01.6,1.5,90.0,6-6-6-7,36.5-34.4,34.9,440(-6),,,スマートエレメンツ,0.0,7,4513.0,180.52,0.964,86.84
227,227,2019/11/10,5京都4,晴,9,黄菊賞(1勝クラス),,10,3,3,3.1,2,4,川田将雅,55,芝2000,良,-4,2:02.7,0.6,80,4-3-4-7,37.3-34.8,35.2,464(+4),,,シンプルゲーム,150.0,4,2566.6000000000004,366.6571428571429,0.17142857142857143,84.42857142857143
228,228,2018/11/18,3福島6,晴,6,3歳以上500万下,,15,6,11,10.3,5,8,城戸義政,57,ダ1700,良,0.0,1:47.3,1.1,84.0,3-2-4-5,30.1-37.5,38.3,494(-2),,,フュージョンロック,0.0,1,4936.2,164.54,0.8733333333333333,82.23333333333333
229,229,2018/05/26,3京都11,晴,7,3歳500万下,,12,7,10,6.0,4,5,酒井学,56,芝2000,良,-8.0,2:00.9,0.4,93.0,5-5-2-3,36.5-34.4,34.6,472(+4),,,キボウノダイチ,72.0,2,4985.799999999999,191.76153846153844,0.4499999999999999,87.42307692307692
230,230,2019/01/06,1中山2,曇,12,4歳以上1000万下,,12,6,8,12.0,6,9,石橋脩,56,芝2000,良,-9.0,2:02.0,1.0,88.0,4-3-3-3,36.7-35.7,36.5,512(+2),,,ゴールドギア,0.0,3,3392.3999999999996,226.15999999999997,0.6000000000000001,88.8
231,231,2018/08/05,1札幌4,晴,6,3歳以上500万下,,12,3,3,2.9,1,6,藤岡康太,57,ダ2400,良,-3.0,2:35.7,1.5,87.0,2-2-2-2,38.0-38.3,39.7,486(+6),,,イルフォーコン,0.0,4,6288.0,196.5,0.759375,87.9375
232,232,2018/06/09,3阪神3,晴,10,三田特別(1000万下),,8,4,4,32.5,7,3,酒井学,54,芝2400,良,-16.0,2:26.1,0.5,96.0,5-5-5-6,37.1-33.9,34.1,440(-4),,,グローブシアター,383.0,5,6392.6,182.6457142857143,0.7857142857142859,86.82857142857142
233,233,2018/11/24,5京都7,晴,9,高雄特別(1000万下),,9,1,1,40.6,8,9,福永祐一,54,芝2400,良,-7.0,2:28.2,1.3,88.0,6-5-6-7,37.0-34.4,35.2,492(+8),,,マイハートビート,0.0,6,7474.0,166.0888888888889,0.8,90.55555555555556
234,234,2018/11/24,5京都7,晴,11,ラジオN杯京都2歳S(G3),,9,8,9,18.5,5,5,浜中俊,55,芝2000,良,-7.0,2:02.5,1.0,83.0,8-8-9-8,37.1-34.4,34.7,486(+12),,出遅れ,クラージュゲリエ,330.0,8,3251.5,325.15,0.38999999999999996,91.8
235,235,2019/08/25,2新潟10,晴,7,3歳以上1勝クラス,,11,8,11,4.1,1,1,宮崎北斗,55,芝2200,良,2.0,2:16.0,0.0,81.0,2-2-2-2,37.6-36.0,35.9,452(+8),,,(チェリーレッド),750.0,10,2289.4,88.05384615384615,1.073076923076923,78.5
236,236,2019/01/20,1中京2,曇,9,4歳以上500万下,,18,2,4,10.5,5,14,武豊,56,芝2000,良,-8.0,2:03.3,1.0,81.0,13-13-16-16,36.6-34.3,34.0,474(+6),,,サトノシリウス,0.0,11,2330.8,145.675,0.88125,81.375
237,237,2017/11/01,園田,晴,6,C2二,,10,6,6,2.0,1,1,大山真吾,56,ダ1400,良,3,1:30.5,-1.0,69,2-2-2-1,,39.3,507(+23),,,(ナリタアマリリス),35.0,1,2516.4,209.70000000000002,0.24166666666666667,82.83333333333333
238,238,2017/10/08,4京都2,晴,3,2歳未勝利,,9,8,8,3.9,2,1,酒井学,55,芝2000,稍,-10,2:01.2,-0.1,86,2-2-2-2,36.4-35.2,35.0,474(-2),,,(ウォルビスベイ),500.0,3,3309.4,150.42727272727274,0.4409090909090908,86.45454545454545
239,239,2018/01/20,1京都6,晴,10,若駒S(OP),,9,5,5,18.4,5,7,松山弘平,54,芝2000,稍,8,2:04.2,1.5,78,5-3-5-7,38.0-34.8,35.8,396(-6),,,ケイティクレバー,0.0,5,1863.8,109.63529411764705,0.723529411764706,85.94117647058823
240,240,2019/02/10,1小倉2,晴,10,小倉城特別(500万下),,17,8,15,5.0,2,17,丸山元気,56,芝2000,良,9,2:06.7,4.5,50,12-10-15-15,36.0-36.7,39.8,440(0),,,ムーンレイカー,0.0,6,1891.2,189.12,0.7499999999999999,83.0
241,241,2018/10/13,4東京4,曇,11.0,アイルランド府中牝馬(G2),,11,8.0,10,3.0,2,2,Ｍ．デム,54.0,芝1800,良,-15.0,1:44.7,0.0,115.0,9-7-7,34.9-34.8,32.6,460(+12),,出遅れ,ディアドラ,2222.8,1,58397.90000000001,3244.3277777777785,0.10555555555555557,104.27777777777777
242,242,2018/06/03,3東京2,晴,11.0,安田記念(G1),,16,1.0,1,2.8,1,3,Ｍ．デム,58.0,芝1600,良,-20.0,1:31.4,0.1,113.0,5-5,34.2-34.5,33.9,506(-10),,,モズアスコット,2849.8,3,58813.200000000004,3920.88,0.2,104.46666666666667
243,243,2018/10/28,4東京9,晴,11.0,天皇賞(秋)(G1),,12,5.0,7,12.7,5,4,北村友一,58.0,芝2000,良,-18.0,1:57.2,0.4,111.0,2-2-2,36.2-34.5,34.5,512(-6),,,レイデオロ,2300.0,4,51170.20000000001,3198.1375000000007,0.30000000000000004,103.1875
244,244,2018/02/11,2京都6,晴,11.0,京都記念(G2),,10,6.0,6,1.6,1,3,バルジュ,57.0,芝2200,重,25.0,2:16.5,0.2,108.0,6-6-2-3,37.3-36.3,36.4,488(+4),,アオル,クリンチャー,1610.0,5,87155.0,7262.916666666667,0.07500000000000001,106.0
245,245,2017/04/29,3京都3,曇,10.0,烏丸S(1600万下),,12,8.0,11,17.6,7,2,高倉稜,55.0,芝2400,良,-11.0,2:24.0,0.1,108.0,3-4-4-3,35.5-34.8,34.6,482(0),,,サラトガスピリット,737.4,6,21389.5,611.1285714285714,0.43428571428571416,94.97142857142858
246,246,2018/06/17,1函館2,曇,12.0,北斗特別(1000万下),,15,4.0,8,5.3,2,1,丸山元気,57.0,芝1800,良,-17.0,1:47.5,-0.3,95.0,1-1-1-1,36.3-34.4,34.4,450(+2),,,(ジェネラルゴジップ),1534.3,7,18550.5,843.2045454545455,0.48181818181818187,96.4090909090909
247,247,2018/04/28,2東京3,晴,11.0,テレビ東京杯青葉賞(G2),,18,7.0,15,19.6,7,2,石橋脩,56.0,芝2400,良,-17.0,2:24.7,0.3,99.0,5-6-7-4,36.2-34.4,34.6,450(-6),,,ゴーフォザサミット,2236.0,9,19778.2,1648.1833333333334,0.35833333333333334,97.5
248,248,2019/03/03,1阪神4,小雨,11.0,大阪城S(L),,15,6.0,11,20.4,9,9,鮫島克駿,54.0,芝1800,良,-5.0,1:46.7,0.6,102.0,15-15,35.4-35.5,34.3,452(-6),,出遅れ,スピリッツミノル,0.0,10,14391.799999999997,287.83599999999996,0.7360000000000001,97.78
249,249,2017/04/02,2阪神4,晴,11.0,大阪杯(G1),,14,8.0,14,3.8,2,4,ルメール,57.0,芝2000,良,-2.0,1:59.3,0.4,113.0,11-12-13-10,35.5-35.3,33.9,502(0),,,キタサンブラック,1800.0,11,51709.5,3231.84375,0.41875000000000007,105.3125
250,250,2018/06/24,3阪神8,晴,11.0,宝塚記念(G1),,16,6.0,12,166.0,16,15,秋山真一,58.0,芝2200,稍,-1.0,2:14.6,3.0,94.0,2-2-2-4,34.4-36.3,38.9,492(+2),,出遅れ,ミッキーロケット,0.0,12,12683.0,603.952380952381,1.0190476190476188,89.71428571428571
251,251,2018/10/28,3新潟6,曇,10,松浜特別(500万下),,17,4,8,9.8,6,2,吉田隼人,55,芝1800,重,16,1:48.7,0.1,91,9-9,36.0-35.8,35.0,458(-2),,出遅れ,レッドラフェスタ,435.0,2,2345.0,180.3846153846154,0.5692307692307692,84.76923076923077
252,252,2019/01/05,1京都1,晴,7,4歳以上500万下,,16,8,15,230.8,14,14,中井裕二,57,芝2000,良,3,2:04.2,2.2,70,8-8-2-5,37.0-36.0,38.0,494(-2),,,ナリタゴールド,0.0,5,2495.0,67.43243243243244,1.0270270270270272,81.78378378378379
253,253,2018/03/10,2中京1,晴,8,4歳以上500万下,,16,2,4,150.5,14,6,西村淳也,54,ダ1400,稍,-10.0,1:25.1,0.8,85.0,5-5,34.8-37.8,38.1,436(-4),,,レイダー,0.0,6,1265.0,36.142857142857146,1.4542857142857144,75.91428571428571
254,254,2018/04/21,1福島5,晴,7,3歳未勝利,,16,7,13,6.8,4,1,岩崎翼,56,芝2000,良,3,2:02.9,-0.1,83,4-3-4-3,35.0-36.7,36.4,450(+2),,,(クスリバコ),500.0,7,815.0,62.69230769230769,0.8307692307692307,79.3076923076923
255,255,2018/04/07,2阪神5,晴,10,白鷺特別(1000万下),,8,7,7,23.1,6,6,鮫島克駿,57,芝2400,良,-4,2:29.7,1.0,86,2-2-2-2,39.0-36.0,36.8,440(+4),,,ヒシマサル,0.0,9,2561.8,116.44545454545455,1.0090909090909088,83.36363636363636
256,256,2018/04/29,3京都4,晴,9,糺の森特別(1000万下),,10,7,8,16.5,7.0,5,岩田康誠,55,芝1800,良,-13,1:47.0,0.4,91,8-8,35.5-35.7,34.3,472(+10),,,エマノン,150.0,11,3568.3,198.2388888888889,0.8055555555555557,87.22222222222223
257,257,2018/11/18,5京都6,晴,3,2歳未勝利,,10,4,4,75.3,9,8,戸崎圭太,55,芝2000,良,-6,2:03.2,1.9,72,8-8-8-8,35.3-35.9,36.6,450(-6),,直線不利,プランドラー,0.0,7,0.0,0.0,1.3499999999999999,68.5
258,258,2018/11/24,5京都7,晴,4,2歳未勝利,,8,2,2,21.6,5,8,川田将雅,55,芝1800,良,-7,1:51.7,3.3,53,5-7,37.4-34.0,36.9,466(+2),,,サトノルークス,0.0,11,110.0,22.0,2.6999999999999997,59.0
259,259,2018/04/15,2阪神8,曇,6.0,3歳500万下,,10,1.0,1,7.4,4,6,荻野極,55.0,芝2000,重,1.0,2:03.2,1.2,84.0,9-8-6-5,37.0-35.5,36.0,462(0),,,タニノフランケル,0.0,1,5911.0,422.2142857142857,0.32142857142857145,85.42857142857143
260,260,2017/08/06,2小倉4,曇,11.0,小倉記念(G3),,13,4.0,4,18.1,9,5,中谷雄太,55.0,芝2000,良,-7.0,1:58.4,0.8,103.0,10-9-8-9,34.4-35.9,36.0,524(+4),,,タツゴウゲキ,410.0,3,10238.2,393.7769230769231,0.7153846153846154,87.88461538461539
