,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
43,43,2019/12/21,高知,曇,10,Aー3,,9,6,6,6.1,4.0,2.0,倉兼育康,56,ダ1400,重,21.0,1:33.4,0.3,54.0,7-7-6-2,0.0-40.8,38.8,533(+3),,,ピースフルリバティ,24.5,1.0,15413.999999999998,285.4444444444444,0.7,79.92592592592592,38.46666666666666,0.6743801652892562
44,44,2019/10/27,高知,曇,11,手箱山特別,,12,5,6,4.9,2.0,1,妹尾浩一,54,ダ1400,不,-18.0,1:29.7,-0.3,57.0,1-1-1-1,0.0-39.4,39.4,455(+1),,,(スノードルフィン),70.0,2,1878.7,41.74888888888889,0.833333333333333,58.53333333333333,38.78666666666666,0.6260683760683761
45,45,2019/12/21,高知,曇,6,愛馬の塚特別,,10,3,3,8.0,2.0,2,山崎雅由,56,ダ1400,重,21.0,1:33.9,0.2,49.0,3-3-2-1,0.0-41.3,41.4,515(+3),,,マイネルトゥラン,24.5,3,2630.0,42.41935483870968,0.8516129032258065,68.1774193548387,37.55161290322581,0.6024096385542169
46,46,2019/12/21,高知,曇,10,Aー3,,9,7,7,18.4,5.0,6,多田羅誠,54,ダ1400,重,21.0,1:34.9,1.8,38.0,5-5-5-6,0.0-40.8,40.7,458(-3),,,ピースフルリバティ,0.0,4,710.0,12.909090909090908,1.0454545454545456,47.472727272727276,39.878181818181815,0.5963963963963964
47,47,2019/12/21,高知,曇,10,Aー3,,9,5,5,3.8,2.0,7.0,赤岡修次,56,ダ1400,重,21.0,1:35.1,2.0,35.0,1-1-1-3,0.0-40.8,42.1,493(+1),,,ピースフルリバティ,0.0,5.0,1926.7,27.13661971830986,0.9394366197183097,54.436619718309856,39.13098591549297,0.6212765957446809
48,48,2019/12/21,高知,曇,10,Aー3,,9,4,4,173.8,9.0,4.0,岡村卓弥,56,ダ1400,重,21.0,1:34.7,1.6,40.0,9-9-8-7,0.0-40.8,39.6,500(+2),,,ピースフルリバティ,10.5,6.0,11807.3,173.63676470588234,1.0279411764705881,75.25,38.86029411764705,0.615681233933162
49,49,2019/12/07,高知,曇,10,ふじさま誕生日特別,,9,3,3,170.0,9.0,6,林謙佑,54,ダ1600,重,4.0,1:48.2,0.9,37.0,7-6-5-3,0.0-41.1,41.4,517(+2),,,クレスタラン,0.0,7,1119.0,23.3125,0.9708333333333333,52.875,39.66666666666666,0.6196319018404908
50,50,2019/10/14,4京都5,曇,9,鳴滝特別(2勝クラス),,10,3,3,104.6,9.0,9,川又賢治,57,芝2200,稍,5.0,2:17.1,2.2,78.0,4-4-3-7,37.0-34.7,36.4,482(+8),,,バイマイサイド,0.0,8,3375.8,82.33658536585367,1.0097560975609754,82.51219512195122,36.45121951219513,0.5053995680345572
51,51,2019/12/21,高知,曇,10,Aー3,,9,1,1,145.9,8.0,8,林謙佑,56,ダ1400,重,21.0,1:35.4,2.3,32.0,4-4-4-5,0.0-40.8,41.5,505(-6),,,ピースフルリバティ,0.0,9,2159.1,38.55535714285714,0.7625,51.42857142857143,40.566071428571426,0.7074010327022375
52,52,2019/11/23,高知,晴,11,物部川特別,,10,8,9,1.6,1.0,1,倉兼育康,56,ダ1300,重,-8,1:22.1,-0.4,79,2-2-2-2,0.0-38.1,37.8,504(-6),,,(マイネルトゥラン),70.0,1,5477.3,176.68709677419355,0.6161290322580645,83.90322580645162,38.51290322580645,0.6828703703703703
53,53,2019/11/24,高知,曇,8,Aー3,,11,2,2,34.2,7.0,3,西川敏弘,56,ダ1400,重,-13.0,1:30.7,0.7,51.0,8-8-8-6,0.0-39.9,38.6,527(-3),,,マイネルサリューエ,14.0,2,1243.1999999999998,13.225531914893615,1.112765957446809,59.97872340425532,39.35744680851064,0.5757978723404256
54,54,2019/11/24,高知,曇,8,Aー3,,11,8,11,8.3,4.0,5.0,倉兼育康,56,ダ1400,重,-13.0,1:31.0,1.0,47.0,3-4-4-3,0.0-39.9,40.3,530(+3),,,マイネルサリューエ,7.0,3.0,15319.499999999998,294.60576923076917,0.7249999999999999,80.92307692307692,38.43846153846153,0.66723259762309
55,55,2019/11/24,高知,曇,8,Aー3,,11,7,8,15.9,5.0,7,上田将司,56,ダ1400,重,-13,1:31.2,1.2,45,11-11-11-11,0.0-39.9,37.2,492(+1),,,マイネルサリューエ,0.0,4,8089.2,102.39493670886075,0.9721518987341774,72.9873417721519,37.73164556962025,0.586527293844367
56,56,2019/11/24,高知,曇,8,Aー3,,11,3,3,63.6,8.0,9.0,妹尾浩一,56,ダ1400,重,-13.0,1:31.8,1.8,38.0,10-10-10-10,0.0-39.9,39.2,470(+5),,,マイネルサリューエ,0.0,5.0,4540.1,70.9390625,1.0968749999999998,65.6875,38.3890625,0.5844327176781002
57,57,2019/11/24,高知,曇,8,Aー3,,11,4,4,23.4,6.0,11,林謙佑,56,ダ1400,重,-13,1:32.3,2.3,33,4-3-3-7,0.0-39.9,41.6,507(-4),,,マイネルサリューエ,0.0,6,2159.1,39.983333333333334,0.7018518518518517,52.2037037037037,40.53148148148148,0.7256637168141593
58,58,2019/11/24,高知,曇,8,Aー3,,11,8,10,119.5,10.0,8.0,岡村卓弥,56,ダ1400,重,-13.0,1:31.4,1.4,43.0,9-9-9-9,0.0-39.9,39.2,502(+8),,,マイネルサリューエ,0.0,7.0,11796.8,178.73939393939392,1.0106060606060605,76.34848484848484,38.82878787878788,0.6181102362204725
59,59,2019/11/24,高知,曇,8,Aー3,,11,7,9,3.3,3.0,2.0,赤岡修次,56,ダ1400,重,-13.0,1:30.3,0.3,55.0,2-2-2-1,0.0-39.9,39.8,490(0),,,マイネルサリューエ,24.5,8.0,1919.7,27.821739130434782,0.9144927536231883,54.95652173913044,39.069565217391315,0.6269956458635704
60,60,2019/11/24,高知,曇,8,Aー3,,11,6,6,78.4,9.0,6,佐原秀泰,56,ダ1400,重,-13.0,1:31.1,1.1,46.0,6-6-7-5,0.0-39.9,39.7,482(-3),,,マイネルサリューエ,0.0,9,4101.3,56.18219178082192,0.9383561643835618,62.986301369863014,38.906849315068484,0.5923645320197044
61,61,2019/09/07,高知,曇,5,仁淀川特別,,10,7,8,2.6,1,1,赤岡修次,56,ダ1400,不,-7,1:31.1,-0.4,52,2-2-2-1,0.0-39.7,39.6,533(-2),,,(ピースフルリバティ),100.0,1,10006.2,164.03606557377051,0.6081967213114752,81.18032786885246,37.97868852459017,0.7007194244604317
62,62,2019/09/07,高知,曇,5,仁淀川特別,,10,8,10,14.7,5.0,2,西川敏弘,56,ダ1400,不,-7.0,1:31.5,0.4,48.0,7-4-4-3,0.0-39.7,39.7,524(0),,,ビッグリバティ,35.0,2,1183.6999999999998,13.299999999999997,1.1191011235955062,60.79775280898876,39.339325842696624,0.5667613636363636
63,63,2019/09/08,高知,曇,11,サファイア特別,,10,7,7,68.4,8,8,林謙佑,56,ダ1400,不,-20,1:30.7,2.4,44,5-4-5-7,0.0-38.5,40.3,505(-6),,,ウォーターマーズ,0.0,3,2138.1,43.634693877551015,0.6020408163265305,53.857142857142854,40.44489795918367,0.7524177949709865
64,64,2019/09/07,高知,雨,11,AB混合,,8,8,8,48.1,6,3,妹尾浩一,54,ダ1400,不,-8,1:31.8,0.7,43,5-5-5-5,0.0-40.4,40.4,477(-6),,,キモンダッシュ,14.0,4,1588.7,56.739285714285714,1.107142857142857,60.607142857142854,38.310714285714276,0.5634674922600619
65,65,2019/08/04,高知,晴,9,町田の餃子黒焦げ特別,,9,8,8,3.9,2.0,3,西川敏弘,56,ダ1400,良,-2.0,1:32.0,1.4,47.0,8-8-8-7,0.0-40.0,39.5,509(-1),,,ナムラメルシー,14.0,5,979.2,19.2,0.7039215686274511,50.68627450980392,39.60588235294117,0.7295597484276729
66,66,2019/09/08,高知,曇,10,祝亮太&優さん特別,,9,8,9,4.7,3.0,3,赤岡修次,56,ダ1400,不,-20.0,1:30.9,2.0,41.0,2-2-2-2,0.0-39.1,40.5,537(+5),,,デルマキミノナハ,14.0,6,1682.3,35.793617021276596,0.6936170212765957,60.361702127659576,39.95106382978724,0.7244897959183674
67,67,2019/09/08,高知,曇,10,祝亮太&優さん特別,,9,8,8,87.8,8,7,石本純也,56,ダ1400,不,-20,1:31.8,2.9,31,7-7-8-8,0.0-39.1,39.6,495(-5),,,デルマキミノナハ,0.0,7,3246.0,43.86486486486486,1.0567567567567564,61.5945945945946,38.45540540540539,0.5933412604042806
68,68,2019/09/07,高知,雨,11,AB混合,,8,3,3,5.2,3.0,2,永森大智,55,ダ1400,不,-8.0,1:31.6,0.5,46.0,3-3-4-4,0.0-40.4,40.3,471(-10),,,キモンダッシュ,24.5,8,4084.3,60.063235294117646,0.9073529411764706,64.86764705882354,38.757352941176464,0.5997375328083989
69,69,2019/08/25,高知,曇,10,第2回中屋特別,,9,8,8,87.5,8.0,6,石本純也,56,ダ1400,不,-29,1:29.9,1.4,44,6-6-6-6,0.0-38.4,39.0,534(+5),,,サンマルドライヴ,0.0,9,5948.0,83.77464788732394,0.863380281690141,56.394366197183096,39.71126760563382,0.6388526727509778
70,70,2019/07/21,高知,曇,7,トレノ賞(G),,10,5,5,72.9,7,6,山崎雅由,57,ダ1300,不,-24,1:22.5,1.2,58,8-8-8-8,0.0-38.5,38.5,510(+1),,,ケイマ,0.0,10,2969.9,78.15526315789474,0.9921052631578946,69.76315789473684,38.247368421052634,0.5666666666666667
71,71,2019/08/03,高知,晴,10,Bー2,,11,5,5,1.6,1.0,1,永森大智,56,ダ1400,良,-2,1:31.1,-0.1,57,2-3-2-1,0.0-38.7,38.5,528(-3),,,(ピースフルリバティ),60.0,11,5940.4,135.0090909090909,1.5454545454545454,78.8409090909091,38.538636363636364,0.527363184079602
72,72,2019/05/19,高知,雨,10,エメラルド特別,,9,1,1,18.8,4,6,宮川実,56,ダ1400,稍,-2.0,1:32.5,1.4,41.0,3-3-3-3,0.0-40.1,41.1,479(+1),,,サクラインザスカイ,0.0,1,2024.5,59.544117647058826,0.7323529411764708,68.8529411764706,37.088235294117645,0.6035634743875279
