,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,本番年齢,レース評価,レース評価平均
186,186,2021/06/27,3東京8,曇,5,2歳新馬,,16,7,14,40.6,11,13,永野猛蔵,51,芝1600,良,-19,1:37.0,1.6,61,16-15,35.9-34.6,35.0,450(0),,,アバンチュリエ,0.0,14,0.0,0.0,1.6,61.0,31,31,31.0,35.0,0.2,16.0,15.0,2.0,3.0,1.0,15.0,16.0,2.0,3.0,1.0,2,1.015625,1.015625
187,187,2021/06/26,3東京7,曇,5,2歳新馬,,10,7,7,84.3,7,10,杉原誠人,54,芝1800,良,-20,1:51.3,3.1,50,1-2-2,38.1-33.5,36.6,496(0),,,ジオグリフ,0.0,15,0.0,0.0,3.1,50.0,44,44,44.0,36.6,0.0,1.0,2.0,-8.0,-9.0,-1.0,2.0,1.0,-8.0,-9.0,-1.0,2,1.01,1.01
188,188,2021/06/20,3東京6,晴,5,2歳新馬,,16,2,3,22.4,6,13,野中悠太,54,芝1400,稍,-14.0,1:27.8,2.1,24.0,13-13,39.0-33.6,34.7,462(0),,出遅れ,キミワクイーン,0.0,16,0.0,0.0,2.1,24.0,68,68,68.0,34.7,0.2,13.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,2,1.015625,1.015625
189,189,2021/06/19,3東京5,雨,5,2歳新馬,,16,8,16,26.5,6,5,三浦皇成,54,芝1600,稍,-15,1:37.5,0.7,64,8-9,37.0-34.1,34.1,514(0),,出遅れ,アライバル,70.0,1,70.0,70.0,0.7,64.0,36,36,36.0,34.1,0.7333333333333333,8.0,9.0,4.0,3.0,-1.0,9.0,8.0,4.0,3.0,-1.0,2,1.046875,1.046875
190,190,2021/06/12,3東京3,晴,5,2歳新馬,,18,1,1,53.9,9,13,吉田豊,54,芝1400,良,-19,1:23.7,1.5,59,5-4,34.8-35.7,36.7,460(0),,,ハイアムズビーチ,0.0,2,0.0,0.0,1.5,59.0,27,27,27.0,36.7,0.29411764705882354,5.0,4.0,-9.0,-8.0,1.0,4.0,5.0,-9.0,-8.0,1.0,2,1.0185185185185186,1.0185185185185186
191,191,2021/06/26,3東京7,曇,5,2歳新馬,,10,7,8,7.5,4,5,武士沢友,54,芝1800,良,-20,1:49.8,1.6,68,9-10-8,38.1-33.5,34.4,442(0),,出遅れ,ジオグリフ,70.0,3,70.0,70.0,1.6,68.0,29,29,29.0,34.4,0.5555555555555556,9.0,8.0,3.0,4.0,1.0,8.0,9.0,3.0,4.0,1.0,2,1.06,1.06
192,192,2021/06/13,3東京4,曇,5,2歳新馬,,8,7,7,51.5,7,5,石川裕紀,54,芝1800,良,-18,1:51.9,1.0,53,1-2-1,38.7-34.3,35.3,468(0),,,ヴァーンフリート,70.0,4,70.0,70.0,1.0,53.0,50,50,50.0,35.3,0.42857142857142855,1.0,1.0,-4.0,-4.0,0.0,1.0,1.0,-4.0,-4.0,0.0,2,1.0625,1.0625
193,193,2021/06/19,3東京5,雨,5,2歳新馬,,16,4,7,59.2,10,16,武藤雅,54,芝1600,稍,-15,1:38.7,1.9,50,16-14,37.0-34.1,34.9,472(0),,出遅れ,アライバル,0.0,5,0.0,0.0,1.9,50.0,48,48,48.0,34.9,0.0,16.0,14.0,-2.0,0.0,2.0,14.0,16.0,-2.0,0.0,2.0,2,1.00390625,1.00390625
194,194,2021/06/20,3東京6,晴,5,2歳新馬,,16,4,8,171.7,14,14,嶋田純次,54,芝1400,稍,-14,1:27.9,2.2,23,9-10,39.0-33.6,35.0,456(0),,,キミワクイーン,0.0,6,0.0,0.0,2.2,23.0,69,69,69.0,35.0,0.13333333333333333,9.0,10.0,-4.0,-5.0,-1.0,10.0,9.0,-4.0,-5.0,-1.0,2,1.01171875,1.01171875
195,195,2021/06/13,3東京4,曇,5,2歳新馬,,8,4,4,55.9,8,7,江田照男,54,芝1800,良,-18,1:52.7,1.8,46,7-8-7,38.7-34.3,35.7,444(0),,出遅れ,ヴァーンフリート,0.0,7,0.0,0.0,1.8,46.0,58,58,58.0,35.7,0.14285714285714285,7.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,1.03125,1.03125
196,196,2021/06/26,3東京7,晴,1,2歳未勝利,,8,4,4,206.4,8,8,武士沢友,54,芝1600,良,-20,1:38.8,3.0,39,8-8,37.3-34.0,35.7,490(+2),,出遅れ,フェスティヴボス,0.0,8,0.0,0.0,3.25,39.0,49,99,49.5,36.05,0.058823529411764705,8.0,8.0,0.0,0.0,0.0,9.0,8.5,0.0,-0.5,-0.5,2,1.015625,1.0160769628099173
197,197,2021/06/20,1札幌4,曇,5,2歳新馬,,16,1,2,144.5,14,16,秋山稔樹,52,芝1200,稍,-21,1:13.4,3.9,24,16-16,34.7-34.8,35.2,498(0),,出遅れ,グランアプロウソ,0.0,9,0.0,0.0,3.9,24.0,44,44,44.0,35.2,0.0,16.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,2,1.00390625,1.00390625
198,198,2021/06/05,3東京1,曇,10,由比ヶ浜特別(2勝クラス),,14,4,6,13.4,7,3,木幡巧也,52,芝1400,良,-21,1:20.8,0.7,97,5-5,35.3-33.6,33.9,472(+2),,,アビッグチア,384.7,1,3130.9,240.83846153846156,0.7076923076923076,86.07692307692308,-1,105,10.5,36.25384615384615,0.75,5.0,5.0,2.0,2.0,0.0,3.923076923076923,3.6923076923076925,-0.6153846153846154,-0.8461538461538461,-0.23076923076923078,4,3.061224489795918,1.8949236761527635
199,199,2021/04/25,2東京2,曇,9,石和特別(2勝クラス),,10,7,7,4.6,3,3,ルメール,55,芝1800,良,-25,1:48.3,0.4,78,7-7-7,37.0-33.7,33.7,424(+8),,直線不利,ダイワクンナナ,383.2,2,1996.5,285.2142857142857,0.3571428571428572,85.42857142857143,14,62,8.857142857142858,34.34285714285714,0.7272727272727273,7.0,7.0,4.0,4.0,0.0,5.142857142857143,5.714285714285714,0.7142857142857143,1.2857142857142858,0.5714285714285714,5,3.08,2.036349206349206
