,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
108,108,2014/04/27,3京都2,晴,11.0,読売マイラーズC(G2),,16.0,2.0,4,6.4,3,1,シュタル,56.0,芝1600,良,-22.0,1:31.4,-0.2,111.0,4-4,34.9-33.6,33.2,466(+16),,,(フィエロ),5830.2,5,21350.5,2372.277777777778,0.1333333333333333,100.44444444444444,34.422222222222224,0.8925619834710744
109,109,2013/06/02,3東京2,晴,11.0,安田記念(G1),,18.0,3.0,6,37.1,11,11,ホワイト,58.0,芝1600,良,-14.0,1:32.2,0.7,112.0,11-11,33.9-34.5,33.8,482(+5),,出遅れ,ロードカナロア,0.0,6,0.0,0.0,0.8333333333333334,108.66666666666667,35.5,0.44
110,110,2014/03/02,2中山2,雨,11.0,中山記念(G2),,15.0,7.0,13,96.5,15,7,田中勝春,57.0,芝1800,稍,28.0,1:50.8,1.0,108.0,13-13-13-11,37.3-36.9,36.6,514(-2),,出遅れ,ジャスタウェイ,0.0,7,36806.200000000004,1533.591666666667,0.4791666666666667,105.66666666666667,34.74583333333333,0.7138964577656676
111,111,2014/04/27,3京都2,晴,11.0,読売マイラーズC(G2),,16.0,3.0,5,2.2,1,2,武豊,56.0,芝1600,良,-22.0,1:31.6,0.2,110.0,6-5,34.9-33.6,33.2,506(-6),,,ワールドエース,2337.2,8,9332.9,933.29,0.18,97.3,34.74,0.8618421052631579
112,112,2014/04/06,3中山4,曇,11.0,ダービー卿チャレンジ(G3),,16.0,1.0,2,6.9,4,1,秋山真一,57.5,芝1600,稍,13.0,1:34.6,0.0,114.0,1-2-4,34.8-36.7,36.5,468(-2),,,(カオスモス),3861.6,9,28619.600000000002,2201.5076923076927,0.5538461538461538,102.84615384615384,35.815384615384616,0.6617647058823529
113,113,2014/05/17,2東京7,晴,11.0,京王杯スプリングC(G2),,15.0,6.0,10,4.2,2,2,川田将雅,56.0,芝1400,良,-10.0,1:19.9,0.2,114.0,4-4,33.7-35.0,34.6,492(-8),,出遅れ,レッドスパーダ,2334.0,10,26068.6,1303.4299999999998,0.45999999999999996,102.3,34.870000000000005,0.6933333333333334
114,114,2014/05/17,3京都7,晴,11.0,都大路S(OP),,18.0,8.0,17,10.7,5,1,秋山真一,56.0,芝1800,良,-19.0,1:43.9,-0.9,111.0,2-2,33.9-34.4,34.0,508(-6),,,(ディサイファ),2244.8,11,13359.5,1214.5,1.0636363636363635,89.27272727272727,36.9,0.66
115,115,2014/04/27,3京都2,晴,11.0,読売マイラーズC(G2),,16.0,6.0,12,4.7,2,3,川田将雅,56.0,芝1600,良,-22.0,1:31.9,0.5,107.0,8-7,34.9-33.6,33.2,468(-2),,,ワールドエース,1418.6,12,15812.099999999999,878.4499999999999,0.3611111111111111,98.83333333333333,34.638888888888886,0.7081545064377682
116,116,2014/03/30,2中京6,曇,11.0,高松宮記念(G1),,18.0,3.0,6,16.7,7,9,戸崎圭太,57.0,芝1200,不,54.0,1:13.3,1.1,102.0,7-6,34.5-37.7,37.6,512(-16),,,コパノリチャード,0.0,13,32973.6,1433.6347826086956,0.5260869565217392,104.17391304347827,34.97391304347826,0.6487252124645893
117,117,2014/02/16,2京都6,晴,11.0,京都記念(G2),,12.0,7.0,10,3.7,2,2,武豊,58.0,芝2200,稍,8.0,2:16.1,0.1,107.0,7-7-5-4,38.3-34.2,34.0,474(+14),,,デスペラード,2424.4,14,42985.399999999994,1953.8818181818178,0.5363636363636364,101.5,35.02272727272727,0.738831615120275
