,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,本番年齢,レース評価,レース評価平均
150,150,2022/03/19,1阪神11,小雨,11,若葉S(L),,10,8,10,42.7,8,9,藤岡康太,56,芝2000,稍,-5,2:01.4,1.2,90,9-9-10-10,36.5-35.3,35.3,462(-2),,出遅れ,デシエルト,0.0,7,1606.0,267.6666666666667,0.6666666666666666,81.0,8,98,16.333333333333332,34.61666666666667,0.5185185185185185,9.0,10.0,1.0,0.0,-1.0,8.333333333333334,8.666666666666666,3.0,3.3333333333333335,0.3333333333333333,3,0.0,4.0
151,151,2022/03/21,2中山8,晴,6,3歳1勝クラス,,13,7,10,9.6,4,4,内田博幸,56,芝1600,稍,-7,1:35.1,0.5,89,9-6-6,34.4-35.9,35.2,522(0),,出遅れ,サーマルウインド,110.0,8,815.0,163.0,0.48,76.2,8,100,20.0,35.88000000000001,0.7538461538461538,9.0,6.0,2.0,5.0,3.0,6.8,7.2,2.6,3.0,0.4,3,2.0,1.6
152,152,2022/03/21,2中山8,晴,6,3歳1勝クラス,,13,7,11,2.2,1,2,川田将雅,56,芝1600,稍,-7,1:34.7,0.1,92,5-5-4,34.4-35.9,34.9,436(-2),,,サーマルウインド,300.0,9,820.0,273.3333333333333,1.1666666666666667,75.66666666666667,4,60,20.0,36.8,0.7073170731707317,5.0,4.0,2.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,3,3.0,2.0
153,153,2022/04/03,2阪神4,曇,5,3歳1勝クラス,,13,5,6,11.7,4,6,横山典弘,56,芝1600,良,-10,1:35.1,0.2,83,1-2,35.9-34.9,34.9,456(-2),,,メモリーレゾン,0.0,10,1010.0,112.22222222222223,0.7000000000000001,75.88888888888889,9,129,14.333333333333334,35.98888888888889,0.51,1.0,2.0,-4.0,-5.0,-1.0,5.555555555555555,5.555555555555555,-0.8888888888888888,-0.8888888888888888,0.0,3,2.0,2.0
154,154,2022/01/29,1中京9,曇,9,白梅賞(1勝クラス),,11,7,9,11.2,5,1,松山弘平,56,芝1600,良,-5,1:36.0,0.0,82,2-2-2,37.0-34.6,34.4,432(0),,,(タガノエスコート),1055.2,11,3582.1000000000004,511.72857142857146,0.4428571428571429,79.85714285714286,21,116,16.571428571428573,34.91428571428572,0.703125,2.0,2.0,1.0,1.0,0.0,5.857142857142857,5.714285714285714,2.142857142857143,2.0,-0.14285714285714285,3,3.0,5.142857142857143
155,155,2022/03/13,1阪神10,曇,5,3歳1勝クラス,,13,4,5,2.5,1,1,池添謙一,56,ダ1400,良,-4,1:24.6,0.0,95,1-1,34.4-38.2,38.2,576(-4),,,(テーオーステルス),750.0,12,1591.0,318.2,0.3,86.0,10,73,14.6,36.720000000000006,0.8428571428571429,1.0,1.0,0.0,0.0,0.0,4.8,5.0,1.6,1.8,0.2,3,3.0,2.0
156,156,2022/01/29,1中京9,曇,9,白梅賞(1勝クラス),,11,6,6,20.7,7,3,古川吉洋,56,芝1600,良,-5,1:36.1,0.1,81,1-1-1,37.0-34.6,34.7,434(-2),,,カワキタレブリー,263.6,13,963.6,240.9,0.55,83.25,22,62,15.5,35.224999999999994,0.6538461538461539,1.0,1.0,-2.0,-2.0,0.0,2.75,3.25,-2.75,-2.25,0.5,3,3.0,4.5
157,157,2022/03/19,1阪神11,小雨,11,若葉S(L),,10,5,5,12.8,5,6,浜中俊,56,芝2000,稍,-5,2:01.1,0.9,92,2-2-2-2,36.5-35.3,36.0,482(+2),,,デシエルト,0.0,14,1190.0,297.5,0.42500000000000004,89.0,5,37,9.25,35.55,0.7368421052631579,2.0,2.0,-4.0,-4.0,0.0,2.25,2.75,-1.25,-0.75,0.5,3,0.0,2.5
158,158,2022/03/27,2阪神2,晴,6,3歳未勝利,,17,8,17,9.0,4,1,和田竜二,56,芝1600,稍,-9,1:35.2,0.0,82,7-7,35.5-35.2,34.8,488(+4),,,(ハギノモーリス),520.0,15,797.0,113.85714285714286,0.6428571428571429,78.14285714285714,10,103,14.714285714285714,34.77142857142857,0.7037037037037037,7.0,7.0,6.0,6.0,0.0,10.714285714285714,9.857142857142858,5.142857142857143,4.285714285714286,-0.8571428571428571,3,2.0,1.2857142857142858
159,159,2022/03/26,2阪神1,小雨,6,3歳1勝クラス,,9,1,1,2.9,2,5,福永祐一,56,芝1400,稍,2,1:23.0,0.6,90,3-4,35.9-34.5,34.8,470(-4),,出遅れ,ケイアイオメガ,75.0,16,1075.0,215.0,0.45999999999999996,80.8,20,111,22.2,35.94,0.76,3.0,4.0,-1.0,-2.0,-1.0,2.0,2.0,-1.4,-1.4,0.0,3,2.0,1.8
160,160,2022/03/19,2中京3,曇,11,中スポ賞ファルコンS(G3),,18,8,17,25.9,9.0,17,武豊,56,芝1400,稍,-6,1:23.6,2.7,64,4-5,33.1-36.5,38.8,492(+10),,,プルパレイ,0.0,17,2164.2,360.7,0.8166666666666668,78.33333333333333,25,104,17.333333333333332,36.449999999999996,0.5901639344262295,4.0,5.0,-12.0,-13.0,-1.0,3.3333333333333335,3.0,-1.8333333333333333,-2.1666666666666665,-0.3333333333333333,3,6.0,4.0
161,161,2022/03/26,3中山1,小雨,5,3歳1勝クラス,,13,2,2,4.2,3,1,武豊,56,芝1200,良,-7,1:09.1,0.0,92,1-1,34.1-35.0,35.0,480(-4),,S接触,(アラクレ),750.0,18,2255.1,451.02,0.44000000000000006,79.2,6,72,14.4,35.28,0.7272727272727273,1.0,1.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,3,3.0,4.8
162,162,2022/03/21,2中京4,晴,7,4歳以上1勝クラス,,16,7,14,2.3,1,1,岩田望来,57,芝1600,良,-5,1:35.4,0.0,86,7-7-7,36.1-35.1,34.1,502(-6),,,(ディープリッチ),770.0,1,2207.2,245.2444444444444,0.28888888888888886,88.44444444444444,15,94,10.444444444444445,34.87777777777777,0.7757009345794392,7.0,7.0,6.0,6.0,0.0,3.6666666666666665,4.0,0.0,0.3333333333333333,0.3333333333333333,4,3.0,2.2222222222222223
163,163,2022/03/21,2中京4,晴,7,4歳以上1勝クラス,,16,8,15,12.3,4,3,横山典弘,57,芝1600,良,-5,1:35.4,0.0,86,11-9-9,36.1-35.1,34.0,522(+4),,,ヴィアルークス,190.0,2,980.0,140.0,1.3571428571428572,80.14285714285714,15,153,21.857142857142858,35.628571428571426,0.59,11.0,9.0,6.0,8.0,2.0,9.857142857142858,9.142857142857142,3.0,2.2857142857142856,-0.7142857142857143,4,3.0,2.857142857142857
164,164,2022/03/21,2中山8,晴,9,隅田川特別(2勝クラス),,10,8,10,89.0,9,5,北村宏司,55,芝1600,良,-7,1:35.0,0.5,90,10-10-9,35.2-35.9,35.2,472(-4),,出遅れ,ユキノファラオ,151.0,3,8144.800000000001,177.06086956521742,0.7326086956521741,89.73913043478261,7,573,12.456521739130435,34.99130434782608,0.4732334047109208,10.0,9.0,4.0,5.0,1.0,7.826086956521739,8.065217391304348,1.4782608695652173,1.7173913043478262,0.2391304347826087,8,3.0,2.891304347826087
165,165,2022/03/13,1阪神10,曇,12,4歳以上2勝クラス,,15,6,10,24.5,9,8,松若風馬,55,ダ1400,良,-4,1:25.6,0.7,83,3-3,34.5-38.1,38.5,478(+2),,,ゴダイリキ,0.0,4,1330.0,133.0,1.03,81.8,20,159,15.9,35.78,0.39823008849557523,3.0,3.0,-5.0,-5.0,0.0,4.4,4.0,-3.4,-3.8,-0.4,4,3.0,2.7
166,166,2022/03/21,2中京4,晴,10,熱田特別(2勝クラス),,12,3,3,28.9,7,6,和田竜二,55,芝1400,良,-5,1:21.6,0.8,90,5-5,34.2-35.0,35.0,444(+12),,,タイニーロマンス,0.0,5,1811.0,150.91666666666666,0.65,83.66666666666667,5,160,13.333333333333334,35.2,0.6706586826347305,5.0,5.0,-1.0,-1.0,0.0,5.5,5.083333333333333,-0.08333333333333333,-0.5,-0.4166666666666667,4,3.0,2.25
167,167,2022/03/19,1阪神11,小雨,12,4歳以上2勝クラス,,16,1,1,13.3,6,10,角田大河,52,ダ1200,重,-23,1:11.9,0.5,77,12-13,34.8-36.6,35.8,476(-14),,,タマモヒメギミ,0.0,6,2667.0,148.16666666666666,0.5666666666666667,85.38888888888889,12,216,12.0,36.17777777777778,0.68,12.0,13.0,3.0,2.0,-1.0,8.833333333333334,8.833333333333334,3.388888888888889,3.388888888888889,0.0,5,3.0,2.5
168,168,2022/03/26,2阪神1,小雨,10,天神橋特別(2勝クラス),,10,7,8,4.6,3,2,横山典弘,55,芝1600,稍,4,1:35.8,0.1,93,7-7,37.2-33.8,33.4,478(-2),,出遅れ,メモリーエフェクト,606.8,7,2381.2,264.5777777777778,1.1555555555555557,81.66666666666667,16,123,13.666666666666666,37.07777777777778,0.625,7.0,7.0,5.0,5.0,0.0,4.666666666666667,6.0,-0.6666666666666666,0.6666666666666666,1.3333333333333333,4,4.0,2.3333333333333335
169,169,2022/03/13,2中京2,曇,9,岡崎特別(2勝クラス),,10,2,2,4.9,3,3,福永祐一,57,芝1400,良,-17,1:20.1,0.1,97,5-5,34.3-34.2,33.4,516(-10),,,ショウナンアレス,383.8,8,2991.8,249.3166666666667,0.8166666666666668,87.91666666666667,-10,92,7.666666666666667,35.00833333333333,0.6304347826086957,5.0,5.0,2.0,2.0,0.0,5.666666666666667,6.416666666666667,0.4166666666666667,1.1666666666666667,0.75,5,4.0,3.4166666666666665
170,170,2022/03/13,2中京2,曇,9,岡崎特別(2勝クラス),,10,4,4,38.8,8,6,藤岡康太,57,芝1400,良,-17.0,1:20.5,0.5,92.0,7-7,34.3-34.2,33.5,462(-10),,,ショウナンアレス,0.0,9,3288.2,182.67777777777778,0.6388888888888888,88.72222222222223,-6,153,8.5,34.43333333333334,0.5844748858447488,7.0,7.0,1.0,1.0,0.0,10.444444444444445,11.166666666666666,4.388888888888889,5.111111111111111,0.7222222222222222,4,3.0,3.3333333333333335
