,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
307,307,2012/07/22,2中京8,晴,11,トヨタ賞中京記念(G3),,16,2,4,59.4,15.0,8.0,佐藤哲三,55.0,芝1600,良,9.0,1:35.8,0.7,103.0,9-10-11,35.3-36.0,35.8,446(-2),,,フラガラッハ,,10.0,,418.74117647058824,0.5349999999999999,91.3,0,,,35.11999999999999,0.6754385964912281,16.701461377870565,16.819369230613084,95.8,9.0,11.0,35.3,36.0,0.5,-0.20000000000000284,-0.7000000000000028,-0.17499999999999966,-0.12000000000000063,0.05499999999999901,3.0,1.0,-2.0,7.05,1.0,-0.05,-1.05,13.856079160614499,1.2288667050110877,5,35.699999999999996,35.218333333333334,102.75
308,308,2012/07/22,2中京8,晴,11,トヨタ賞中京記念(G3),,16,2,3,43.9,13,9,藤岡康太,56.0,芝1600,良,9,1:35.8,0.7,103,12-10-3,35.3-36.0,36.2,492(-4),,,フラガラッハ,,11,,494.3275,0.4829268292682925,99.07317073170732,0,,,34.60975609756097,0.7075306479859895,16.701461377870565,16.97498823160041,95.8,12.0,3.0,35.3,36.0,0.9000000000000057,0.20000000000000284,-0.7000000000000028,-0.3658536585365853,-0.34146341463414637,0.02439024390243894,-6.0,3.0,9.0,7.219512195121951,2.073170731707317,2.5365853658536586,0.4634146341463415,8.292860902614573,0.9616247824501106,7,35.833333333333336,34.84552845528455,102.25
309,309,2012/07/29,2新潟6,晴,11,NST賞(OP),,12,6,7,4.1,2.0,4,松岡正海,56,芝1800,良,-9.0,1:46.3,0.3,101.0,11-11,35.8-33.3,33.0,500(0),,出遅れ,スマートシルエット,330.0,12,,455.95384615384614,0.446875,93.28125,0,,,35.09687499999999,0.8108882521489972,16.933207902163687,16.62114281702685,106.3,11.0,11.0,35.8,33.3,-2.799999999999997,-0.29999999999999716,2.5,-0.6187500000000008,-0.29375000000000084,0.32499999999999996,7.0,7.0,0.0,6.53125,2.0,2.09375,0.09375,13.768851339804307,1.1593988499634635,5,34.03333333333333,35.401041666666664,103.5
310,310,2011/04/17,2阪神8,晴,11,読売マイラーズC(G2),,18,1,1,81.1,13.0,11,柴田善臣,57,芝1600,良,-6,1:33.2,0.9,111,11-13,35.0-34.3,33.5,444(+2),,,シルポート,,13,,417.80454545454546,0.4379310344827586,96.3103448275862,0,,,35.13103448275862,0.6468646864686468,17.167381974248926,16.812330683604042,93.2,11.0,13.0,35.0,34.3,-1.5,-0.7999999999999972,0.7000000000000028,0.11034482758620676,-0.23793103448275857,-0.3482758620689653,2.0,0.0,-2.0,6.758620689655173,1.3103448275862069,1.3103448275862069,0.0,11.1942941815115,1.3419885742186237,7,34.266666666666666,35.17356321839081,106.0
311,311,2012/06/10,3東京4,晴,11,エプソムC(G3),,18,4,8,25.7,10,7,武豊,56.0,芝1800,良,0,1:47.7,1.0,103,17-16-13,35.3-35.6,34.2,488(-2),,,トーセンレーヴ,,14,,329.15263157894736,0.4103448275862069,95.82758620689656,0,,,34.73103448275862,0.748062015503876,16.71309192200557,16.752811325297,107.7,17.0,13.0,35.3,35.6,-1.0999999999999943,-1.3999999999999986,-0.30000000000000426,-0.8862068965517245,-0.46206896551724086,0.42413793103448366,6.0,10.0,4.0,8.724137931034482,4.206896551724138,4.931034482758621,0.7241379310344828,10.23067283548187,0.8747317048990254,5,35.03333333333334,35.180459770114936,102.75
312,312,2012/07/22,2中京8,晴,11,トヨタ賞中京記念(G3),,16,3,5,38.4,12,13,幸英明,53,芝1600,良,9,1:36.2,1.1,99,6-8-9,35.3-36.0,36.3,466(+8),,,フラガラッハ,,15,,366.0655172413793,0.39677419354838706,93.83870967741936,0,,,35.16129032258065,0.739454094292804,16.632016632016633,16.87417956893008,96.2,6.0,9.0,35.3,36.0,1.0,0.29999999999999716,-0.7000000000000028,-0.19677419354838668,-0.05161290322580673,0.14516129032257996,-4.0,-7.0,-3.0,4.516129032258065,0.0967741935483871,0.1935483870967742,0.0967741935483871,7.403282633399862,0.9858173956164497,6,35.86666666666667,35.244086021505375,102.25
313,313,2011/11/20,6京都6,晴,11,マイルチャンピオンS(G1),,18,7,14,60.7,15,12,メンディ,57.0,芝1600,稍,13,1:34.8,0.9,107,6-6,34.4-35.3,35.7,498(-8),,,エイシンアポロン,,16,,868.0133333333332,0.45217391304347826,95.04347826086956,0,,,35.856521739130436,0.7326732673267327,16.877637130801688,16.391892434468446,94.8,6.0,6.0,34.4,35.3,1.3000000000000043,0.4000000000000057,-0.8999999999999986,0.03478260869565267,-0.10434782608695523,-0.1391304347826079,-6.0,-6.0,0.0,4.608695652173913,-0.08695652173913043,1.2608695652173914,1.3478260869565217,15.01197438713509,1.3472966760640852,7,35.13333333333333,35.879710144927536,107.5
314,314,2012/07/22,2中京8,晴,11,トヨタ賞中京記念(G3),,16,1,1,29.2,11,16,酒井学,57,芝1600,良,9,1:37.1,2.0,89,1-1-1,35.3-36.0,38.0,492(+2),,,フラガラッハ,,17,,886.0000000000001,0.5833333333333333,98.5,0,,,35.72083333333334,0.6463414634146342,16.4778578784758,16.808869931576847,97.1,1.0,1.0,35.3,36.0,2.700000000000003,2.0,-0.7000000000000028,0.6708333333333337,0.2666666666666672,-0.4041666666666665,-15.0,-15.0,0.0,3.0,-2.7916666666666665,-2.875,-0.08333333333333333,12.026237982012496,1.240967364599085,7,36.43333333333333,35.40833333333333,96.25
315,315,2012/07/22,2中京8,晴,11,トヨタ賞中京記念(G3),,16,7,13,6.6,3,6,川須栄彦,56,芝1600,良,9.0,1:35.7,0.6,107.0,12-14-15,35.3-36.0,35.3,472(-6),,出遅れ,フラガラッハ,,18,,654.5111111111112,0.2277777777777778,97.83333333333333,0,,,34.29444444444445,0.8380566801619433,16.718913270637408,17.01377448111259,95.7,12.0,15.0,35.3,36.0,0.0,-0.7000000000000028,-0.7000000000000028,-1.0222222222222226,-0.5333333333333334,0.48888888888888915,9.0,6.0,-3.0,7.611111111111111,4.388888888888889,4.555555555555555,0.16666666666666666,9.737837786929033,0.6316666605758943,5,35.53333333333333,34.812962962962956,107.75
316,316,2011/07/16,3新潟1,晴,6,2歳新馬,,16,5,10,5.2,3,1,田中勝春,54,芝1400,良,-9,1:22.7,0,73,4-3,35.0-35.8,35.1,464(0),,,(ニシノビークイック),700.0,1,,700.0,0.0,73.0,0,,,35.1,1.0,16.928657799274486,16.928657799274486,82.7,4.0,3.0,35.0,35.8,0.10000000000000142,-0.6999999999999957,-0.7999999999999972,0.10000000000000142,-0.6999999999999957,-0.7999999999999972,2.0,3.0,1.0,3.0,2.0,3.0,1.0,12.0,1.1999999999999993,2,35.300000000000004,35.300000000000004,73.0
