,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢
142,142,2021/09/05,4新潟8,晴,9,飯豊特別(2勝クラス),,14,3,4,30.7,8,5,三浦皇成,57,芝1200,良,5.0,1:10.3,0.5,83.0,1-1,34.9-34.9,35.4,476(-8),,,エムオーシャトル,150.0,1,3738.0,133.5,0.6035714285714285,85.03571428571429,0,,,35.396428571428565,0.6201923076923077,17.069701280227598,17.22774111770296,70.3,1.0,1.0,-4.0,-4.0,0.0,2.8214285714285716,-3.8214285714285716,-4.142857142857143,-0.32142857142857145,9.467385658192617,1.4653995895979421,6
143,143,2021/08/14,4新潟1,雨,11,稲妻S(3勝クラス),,16,6,12,4.0,2,3,小林脩斗,51,芝1000,稍,1.0,0:55.6,0.8,92.0,2,32.9-32.5,33.2,448(-8),,,ジュニパーベリー,465.0,2,2463.0,144.88235294117646,0.8764705882352942,77.94117647058823,0,,,35.564705882352946,0.5791505791505791,17.985611510791365,17.135247719375165,55.6,2.0,2.0,-1.0,-1.0,0.0,4.0588235294117645,-3.3529411764705883,-3.1176470588235294,0.23529411764705882,12.44605644321342,1.7390929947660774,4
144,144,2021/10/09,5新潟1,晴,8,3歳以上1勝クラス,,18,7,14,6.4,3,1,亀田温心,54,芝1000,良,-8.0,0:54.8,0.0,105.0,2,33.0-32.5,32.4,466(0),,,(リュッカ),760.0,3,1395.4,82.08235294117648,0.9352941176470588,72.58823529411765,0,,,36.44705882352941,0.5434782608695652,18.248175182481752,16.754566626330504,54.8,2.0,2.0,1.0,1.0,0.0,3.176470588235294,-4.0,-4.235294117647059,-0.23529411764705882,18.1261014990967,1.88296456566648,5
145,145,2021/07/10,1函館3,雨,9,3歳以上2勝クラス,,12,5,6,5.2,2,7,秋山稔樹,53,ダ1000,稍,-14.0,0:59.4,1.0,76.0,1-1,34.0-35.7,36.7,470(+4),,,ミスズグランドオー,0.0,4,2351.0,180.84615384615384,0.5769230769230769,73.92307692307692,0,,,36.53846153846154,0.7321428571428571,16.835016835016834,16.8776841434866,59.4,1.0,1.0,-6.0,-6.0,0.0,2.4615384615384617,-2.0,-2.076923076923077,-0.07692307692307693,10.38665745373479,1.666904744900388,4
146,146,2021/08/08,3新潟6,曇,9,驀進特別(2勝クラス),,18,4,7,101.6,14,14,城戸義政,55,芝1000,良,-6.0,0:56.0,1.6,78.0,5,31.9-32.7,33.9,452(-2),,,ジャスパージャック,0.0,5,3583.8,108.60000000000001,0.8181818181818182,81.54545454545455,0,,,34.96060606060606,0.4746450304259635,17.857142857142858,17.297428393824287,56.0,5.0,5.0,-9.0,-9.0,0.0,6.303030303030303,-2.5454545454545454,-2.696969696969697,-0.15151515151515152,8.777379309523576,1.3269791642758169,6
147,147,2021/08/08,3新潟6,曇,9,驀進特別(2勝クラス),,18,2,4,16.4,8,9,小林脩斗,52,芝1000,良,-6.0,0:55.1,0.7,94.0,1,31.9-32.7,33.4,468(+2),,,ジャスパージャック,0.0,6,2271.4,162.24285714285716,0.6857142857142857,80.35714285714286,0,,,35.66428571428571,0.6748768472906403,18.148820326678766,17.24974309785902,55.1,1.0,1.0,-8.0,-8.0,0.0,3.0714285714285716,-2.642857142857143,-2.857142857142857,-0.21428571428571427,14.817407180595243,1.8940843580885076,3
148,148,2021/07/11,1福島4,小雨,12,彦星賞(2勝クラス),,16,7,14,42.7,12.0,16,丸山元気,55,ダ1150,重,-15.0,1:10.5,2.7,50.0,3-3,31.4-36.4,38.9,472(-4),,,グラスボイジャー,0.0,7,3111.4,259.28333333333336,0.8916666666666666,79.91666666666667,0,,,36.666666666666664,0.5864197530864198,16.31205673758865,16.815306582310054,70.5,3.0,3.0,-13.0,-13.0,0.0,4.833333333333333,-1.75,-1.6666666666666667,0.08333333333333333,13.322135337130769,1.934917394992299,4
149,149,2021/08/08,3新潟6,曇,9,驀進特別(2勝クラス),,18,3,5,71.8,11,15,Ｍ．デム,55,芝1000,良,-6.0,0:56.2,1.8,74.0,14,31.9-32.7,33.5,464(-4),,出遅れ,ジャスパージャック,0.0,8,1359.9,90.66000000000001,1.2533333333333334,70.0,0,,,36.773333333333326,0.4660633484162896,17.793594306049823,16.742680898274266,56.2,14.0,14.0,-1.0,-1.0,0.0,6.266666666666667,-2.6,-3.1333333333333333,-0.5333333333333333,12.31805077924263,2.076044541309265,4
150,150,2021/07/18,1函館6,晴,12,湯の川温泉特別(2勝クラス),,13,4,5,60.0,10.0,12,泉谷楓真,57,芝1200,良,-3.0,1:10.3,0.9,81.0,12-12,34.1-35.3,34.4,482(-12),,出遅れ,フォイアーロート,0.0,9,3662.6,228.9125,1.00625,78.6875,0,,,35.737500000000004,0.45454545454545453,17.069701280227598,16.992470338089543,70.3,12.0,12.0,0.0,0.0,0.0,5.125,-2.625,-2.375,0.25,10.076180415450384,1.2036852294050508,4
151,151,2021/07/17,1福島5,晴,10,横手特別(2勝クラス),,16,1,1,37.0,12,12,藤田菜七,55,芝1200,良,-9.0,1:10.2,1.1,74.0,5-3,34.1-35.0,35.8,468(-4),,出遅れ,クリッパークラス,0.0,10,1666.0,128.15384615384616,1.0846153846153845,75.6923076923077,0,,,37.938461538461546,0.5351351351351351,17.094017094017094,16.398970628711762,70.2,5.0,3.0,-9.0,-7.0,2.0,3.3846153846153846,-4.230769230769231,-4.461538461538462,-0.23076923076923078,11.538754575033526,1.5266509965627777,4
