,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均
68,68,2019/07/29,盛岡,曇,10,赤平金剛賞,,11,8,10,15.3,6.0,2,小林凌,54,ダ1200,良,-17.0,1:12.9,0.1,63.0,2-2,0.0-38.0,38.0,431(-6),,,ノリノリコユキ,7.8,1,,6.103225806451613,1.5872093023255813,27.774193548387096,0,,,40.900000000000006,0.43508771929824563,16.46090534979424,15.405161576493052,72.9,2.0,2.0,2.0,0.18181818181818182,0.0,38.0,38.0,0.0,-38.0,,,3.058139534883721,,,,0.0,0.0,0.0,0.26124786066646527,3.7209302325581395,2.604651162790698,-2.116279069767442,-3.2325581395348837,-1.1162790697674418,16.75935658245421,2.1626083787870614,4,0.1,1.5935483870967744,25.333333333333332,,-17.0,-2174.0,44.5
69,69,2019/07/29,盛岡,曇,9,C2一組,,10,3,3,28.6,8.0,1.0,南郷家全,54,ダ1400,良,-17.0,1:26.7,0.0,58.0,1-1,0.0-38.5,38.5,446(-4),,,(アナザフォー),20.0,2.0,,5.395,0.9765957446808511,47.55,0,,,39.09499999999999,0.6449704142011834,16.147635524798154,16.314034414875447,86.7,1.0,1.0,1.0,0.1,0.0,38.5,38.5,0.0,-38.5,16.680851063829788,37.03829787234043,5.363475177304965,20.79787234042553,0.44042553191489336,-20.35744680851064,0.0,0.0,0.0,0.4078347775156287,5.191489361702128,5.468085106382978,-1.553191489361702,-1.2765957446808511,0.2765957446808511,18.847339924302904,2.22471908339008,6,0.0,0.7075000000000001,25.666666666666668,30.399290780141847,-22.0,-879.0,51.5
70,70,2019/07/22,盛岡,曇,5,C2二組,,7,2,2,12.1,4.0,1,南郷家全,54,ダ1400,良,-10.0,1:27.9,-0.1,51.0,5-5,0.0-39.6,38.4,419(-7),,,(パルティーレ),20.0,3,,4.2,1.1769230769230767,50.666666666666664,0,,,38.18333333333333,0.43636363636363634,15.927189988623434,15.858284951688354,87.9,5.0,5.0,5.0,0.7142857142857143,0.0,39.6,38.4,-1.2000000000000028,-39.6,12.473076923076924,37.83461538461539,6.644230769230769,25.626923076923084,0.26538461538461533,-25.361538461538462,4.0,4.0,0.0,0.5571539571539572,6.769230769230769,6.5,0.038461538461538464,-0.23076923076923078,-0.2692307692307692,19.546715173503554,2.1071567904095314,5,-0.05,0.9416666666666668,26.0,29.469230769230776,-29.0,-762.0,46.25
71,71,2019/07/29,盛岡,曇,10,赤平金剛賞,,11,6,7,14.8,5.0,9,坂口裕一,56,ダ1200,良,-17.0,1:14.7,1.9,38.0,4-3,0.0-38.0,39.6,454(0),,,ノリノリコユキ,,4,,4.506818181818182,1.2000000000000002,39.31818181818182,0,,,40.02272727272727,0.5583333333333333,16.06425702811245,15.45621584101483,74.7,4.0,3.0,3.5,0.36363636363636365,0.0,38.0,39.6,1.6000000000000014,-38.0,,,3.6589743589743593,,,,-6.0,-5.0,1.0,0.3412470862470861,3.923076923076923,3.476923076923077,-1.0923076923076922,-1.5384615384615385,-0.4461538461538462,12.19195266663745,1.750477437168184,5,1.9,1.217045454545454,25.866666666666664,,-42.0,-2485.0,47.0
72,72,2019/07/27,盛岡,晴,9,C1三組,,11,5,5,11.5,6.0,2.0,岩本怜,53,ダ1400,良,-15.0,1:26.9,0.1,57.0,1-1,0.0-38.1,38.2,494(-1),,,ヤマニンセノーテ,7.8,5.0,,31.133333333333336,1.2150000000000003,49.708333333333336,0,,,39.525,0.6596638655462185,16.110471806674337,15.861817721367752,86.9,1.0,1.0,1.0,0.09090909090909091,0.0,38.1,38.2,0.10000000000000142,-38.1,10.106666666666666,38.786666666666655,3.183333333333333,29.599999999999998,0.9200000000000005,-28.679999999999996,-1.0,-1.0,0.0,0.2724416786916787,3.5,3.033333333333333,-1.8333333333333333,-2.3,-0.4666666666666667,15.35375436670021,2.069344153041076,4,0.1,0.7062500000000002,25.433333333333337,29.533333333333335,-23.0,-925.0,44.25
73,73,2019/07/27,盛岡,晴,9,C1三組,,11,8,10,5.4,2.0,4,鈴木祐,56,ダ1400,良,-15.0,1:27.0,0.2,56.0,5-5,0.0-38.1,37.6,534(+8),,,ヤマニンセノーテ,3.0,6,,12.163636363636364,1.1075949367088609,55.77272727272727,0,,,38.550000000000004,0.780952380952381,16.091954022988507,15.468071651573947,87.0,5.0,5.0,5.0,0.45454545454545453,0.0,38.1,37.6,-0.5,-38.1,,,7.775316455696203,,,,1.0,1.0,0.0,0.6952734677418222,6.974683544303797,8.430379746835444,1.6582278481012658,3.1139240506329116,1.4556962025316456,9.658537350448048,1.1906300852909772,7,0.2,0.4295454545454546,25.233333333333334,,-24.0,-2074.0,48.25
74,74,2019/07/29,盛岡,曇,10,赤平金剛賞,,11,1,1,16.8,7.0,5,菅原俊吏,54,ダ1200,良,-17.0,1:13.8,1.0,50.0,8-9,0.0-38.0,37.4,448(-1),,,ノリノリコユキ,1.5,7,,7.835999999999999,1.0327272727272725,48.44,0,,,38.79600000000001,0.7420814479638009,16.260162601626018,15.611482313360693,73.8,8.0,9.0,8.5,0.7272727272727273,0.0,38.0,37.4,-0.6000000000000014,-38.0,,,6.204545454545454,,,,4.0,3.0,-1.0,0.5724970484061392,6.127272727272727,6.163636363636364,0.7636363636363637,0.8,0.03636363636363636,11.41936012718251,1.5357765768097758,6,1.0,0.508,25.133333333333336,,-30.0,-1825.0,38.5
75,75,2019/07/27,盛岡,晴,9,C1三組,,11,6,6,8.3,4.0,6,菅原辰徳,54,ダ1400,良,-15.0,1:27.1,0.3,55.0,11-8,0.0-38.1,37.1,431(-7),,,ヤマニンセノーテ,,8,,6.014583333333333,1.4473333333333336,35.354166666666664,0,,,39.949999999999996,0.5407407407407407,16.073478760045926,15.235260372881621,87.1,11.0,8.0,9.5,1.0,0.0,38.1,37.1,-1.0,-38.1,,,5.503333333333333,,,,2.0,5.0,3.0,0.5544165464165463,5.613333333333333,5.4,0.41333333333333333,0.2,-0.21333333333333335,12.939958298836332,1.688093283417124,5,0.3,1.284375,25.066666666666666,,-25.0,-3327.0,46.5
76,76,2019/07/27,盛岡,晴,9,C1三組,,11,2,2,11.1,5.0,8,陶文峰,56,ダ1400,良,-15.0,1:27.4,0.6,52.0,8-8,0.0-38.1,37.8,481(-4),,,ヤマニンセノーテ,,9,,2.4865853658536583,1.1925233644859812,35.609756097560975,0,,,39.753658536585355,0.5200617283950617,16.018306636155604,15.498295470521207,87.4,8.0,8.0,8.0,0.7272727272727273,0.0,38.1,37.8,-0.30000000000000426,-38.1,,,5.2453271028037385,,,,0.0,0.0,0.0,0.5558382557214332,5.149532710280374,5.214953271028038,-0.028037383177570093,0.037383177570093455,0.06542056074766354,10.413896751064806,1.5628760178555205,6,0.6,1.1365853658536584,25.3,,-28.0,-4633.0,45.5
77,77,2019/07/27,盛岡,晴,9,C1三組,,11,7,9,41.1,10.0,5.0,塚本涼人,51,ダ1400,良,-15.0,1:27.1,0.3,55.0,2-2,0.0-38.1,38.3,447(-4),,,ヤマニンセノーテ,1.5,10.0,,5.64390243902439,1.2064220183486236,45.80487804878049,0,,,40.07560975609756,0.5410497981157469,16.073478760045926,15.553673660826437,87.1,2.0,2.0,2.0,0.18181818181818182,0.0,38.1,38.3,0.19999999999999574,-38.1,,,3.231651376146789,,,,-3.0,-3.0,0.0,0.26485166209936856,3.963302752293578,2.7155963302752295,-1.4678899082568808,-2.7155963302752295,-1.2477064220183487,10.219754812604462,1.4760201682870335,9,0.3,1.0762195121951217,25.46666666666667,,-25.0,-3912.0,41.25
