,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均,ﾀｲﾑ指数10平均
95,95,2022/07/17,佐賀,曇,1,C2ー7組,,9,5,5,1.6,1.0,2,加茂飛翔,52,ダ1400,重,9.0,1:32.9,0.1,32.0,6-6-4-2,0.0-40.8,40.3,464(+4),,,ケイツーフォリント,11.2,1,,2.2399999999999998,1.3045454545454545,30.4,0,,,40.660000000000004,0.8837209302325582,15.069967707212054,15.743210353866166,92.9,6.0,2.0,4.5,0.6666666666666666,0.0,40.8,40.3,-0.5,-40.8,20.475,38.208333333333336,6.673611111111111,18.124999999999996,0.39166666666666633,-17.733333333333338,0.0,4.0,4.0,0.5403860028860029,5.833333333333333,7.583333333333333,0.16666666666666666,1.9166666666666667,1.75,21.827456787781877,2.3656566447704845,4,0.1,1.13,27.03333333333333,32.42777777777777,-48.0,-323.0,29.0,51.09090909090909
96,96,2022/07/17,佐賀,曇,1,C2ー7組,,9,6,6,39.8,7.0,3.0,山田義貴,53,ダ1400,重,9.0,1:33.8,1.0,21.0,7-8-8-6,0.0-40.8,40.2,451(+1),,,ケイツーフォリント,6.3,2.0,,0.5727272727272728,1.5999999999999999,24.545454545454547,0,,,39.763636363636365,0.4,14.925373134328359,15.428778449570528,93.8,7.0,6.0,7.25,0.7777777777777778,0.0,40.8,40.2,-0.5999999999999943,-40.8,7.809756097560975,38.82682926829268,8.060975609756097,31.26585365853659,0.24878048780487846,-31.0170731707317,3.0,4.0,1.0,0.7655927744342379,8.0,8.146341463414634,1.5853658536585367,1.7317073170731707,0.14634146341463414,21.30019748026794,1.7429108110394218,5,1.0,1.5999999999999999,27.0,28.57073170731708,-59.0,-1831.0,17.5,24.545454545454547
97,97,2022/07/17,佐賀,曇,3,C2ー6組,,10,3,3,54.1,10.0,7.0,吉本隆記,56,ダ1400,重,9.0,1:34.6,2.8,12.0,10-10-10-9,0.0-40.0,39.9,490(+5),,,リアルモンテ,,3.0,,0.0,1.9954545454545454,9.363636363636363,0,,,40.84545454545455,0.35789473684210527,14.799154334038056,15.288733534930907,94.6,10.0,9.0,9.75,1.0,0.0,40.0,39.9,-0.10000000000000142,-40.0,6.28695652173913,39.286956521739135,6.489130434782608,34.18695652173914,1.1869565217391307,-33.00000000000001,2.0,3.0,1.0,0.5982213438735178,6.782608695652174,6.260869565217392,0.08695652173913043,-0.43478260869565216,-0.5217391304347826,19.089518648258846,1.9582047830148461,4,2.8,1.9954545454545454,26.633333333333336,28.682608695652174,-68.0,-1367.0,2.25,9.363636363636363
98,98,2022/07/15,佐賀,曇,2,C2ー10組,,10,3,3,1.1,1.0,1.0,飛田愛斗,56,ダ1400,稍,11.0,1:33.6,0.0,26.0,5-6-6-1,0.0-41.0,39.8,478(-11),,,(ドラコテソーロ),35.0,4.0,,3.1818181818181817,0.7909090909090909,41.90909090909091,0,,,39.58181818181818,0.6601941747572816,14.957264957264957,15.268990392737471,93.6,5.0,1.0,4.5,0.5,0.0,41.0,39.8,-1.2000000000000028,-41.0,0.0,39.74444444444444,5.513888888888889,39.56666666666666,-0.17777777777777792,-39.74444444444444,0.0,4.0,4.0,0.6073893698893699,4.555555555555555,6.222222222222222,1.0,2.6666666666666665,1.6666666666666667,11.97527461965138,0.8945820299504389,6,0.0,0.7727272727272727,26.933333333333334,26.437037037037044,-54.0,-664.0,42.25,40.63636363636363
99,99,2022/07/17,佐賀,曇,3,C2ー6組,,10,2,2,15.3,6.0,5.0,中山蓮王,51.0,ダ1400,重,9.0,1:34.1,2.3,18.0,7-7-7-7,0.0-40.0,41.1,402(-1),,,リアルモンテ,2.8,5.0,,0.2545454545454545,1.5772727272727272,9.0,0,,,41.40909090909091,0.45161290322580644,14.87778958554729,14.846602696206975,94.1,7.0,7.0,7.0,0.7,0.0,40.0,41.1,1.1000000000000014,-40.0,2.612280701754386,40.33157894736842,5.951754385964913,38.46666666666668,0.7473684210526315,-37.71929824561404,2.0,2.0,0.0,0.5126306928938507,6.508771929824562,5.456140350877193,0.17543859649122806,-0.8771929824561403,-1.0526315789473684,11.991686081502007,1.3427005725723835,6,2.3,1.5772727272727272,27.03333333333333,28.007602339181283,-62.0,-4089.0,10.25,9.0
100,100,2022/07/17,佐賀,曇,3,C2ー6組,,10,1,1,31.8,8.0,4.0,出水拓人,56,ダ1400,重,9.0,1:34.1,2.3,18.0,9-9-8-8,0.0-40.0,40.7,469(+2),,,リアルモンテ,4.2,6.0,,0.38181818181818183,1.2999999999999998,10.909090909090908,0,,,40.29090909090909,0.6210526315789474,14.87778958554729,15.032619123470385,94.1,9.0,8.0,8.5,0.9,0.0,40.0,40.7,0.7000000000000028,-40.0,3.8631578947368426,40.0921052631579,7.1535087719298245,36.31578947368421,0.08684210526315801,-36.22894736842105,4.0,5.0,1.0,0.7085326953748007,6.7631578947368425,7.526315789473684,1.2894736842105263,2.0526315789473686,0.7631578947368421,16.964285491836097,0.9333685538578547,5,2.3,1.2999999999999998,26.900000000000002,28.044736842105266,-62.0,-2227.0,13.0,10.909090909090908
101,101,2022/07/17,佐賀,曇,3,C2ー6組,,10,5,5,15.6,7.0,8.0,長田進仁,56,ダ1400,重,9.0,1:35.4,3.6,3.0,4-4-6-4,0.0-40.0,42.8,459(-2),,,リアルモンテ,,7.0,,0.0,2.0636363636363635,4.181818181818182,0,,,42.03636363636363,0.3804347826086957,14.675052410901467,15.090426294563933,95.4,4.0,4.0,4.5,0.4,0.0,40.0,42.8,2.799999999999997,-40.0,2.5385714285714283,39.21,3.817857142857143,38.194285714285705,1.5228571428571425,-36.671428571428585,-4.0,-4.0,0.0,0.3075551432694289,4.7,3.2285714285714286,-1.8571428571428572,-3.3285714285714287,-1.4714285714285715,20.401125251453436,1.9829285298400148,6,3.6,2.0636363636363635,27.599999999999998,27.493809523809528,-77.0,-4258.0,7.75,4.181818181818182
102,102,2022/07/24,佐賀,曇,1,C2ー5組,,9,4,4,15.2,6.0,6,山田義貴,53,ダ1300,稍,9.0,1:26.6,1.0,25.0,4-4-6-3,0.0-40.2,39.9,561(-5),,,マニトゥーリン,,8,,0.0,1.4227272727272728,10.181818181818182,0,,,40.945454545454545,0.5172413793103449,15.011547344110856,14.804295989737442,86.6,4.0,3.0,4.25,0.4444444444444444,0.0,40.2,39.9,-0.30000000000000426,-40.2,3.263636363636364,40.027272727272724,5.810606060606061,38.39545454545454,1.631818181818182,-36.76363636363636,-3.0,-2.0,1.0,0.5771710612619705,5.636363636363637,5.7272727272727275,-1.0454545454545454,-0.9545454545454546,0.09090909090909091,20.93865375739383,2.6788748590400737,4,1.0,1.4227272727272728,26.7,28.316666666666663,-55.0,-1744.0,16.5,10.181818181818182
103,103,2022/07/17,佐賀,曇,1,C2ー7組,,9,3,3,19.9,5.0,4,石川慎将,54,ダ1400,重,9.0,1:33.8,1.0,21.0,3-5-6-3,0.0-40.8,41.3,447(+2),,,ケイツーフォリント,4.2,9,,0.38181818181818183,1.1181818181818182,13.0,0,,,41.272727272727266,0.5978260869565217,14.925373134328359,15.21152358024038,93.8,3.0,3.0,4.25,0.3333333333333333,0.0,40.8,41.3,0.5,-40.8,7.46060606060606,39.31212121212121,5.090909090909091,33.009090909090915,1.1575757575757577,-31.85151515151514,-1.0,-1.0,0.0,0.4092258330894694,5.636363636363637,4.484848484848484,-0.7575757575757576,-1.9090909090909092,-1.1515151515151516,15.063561984271157,1.688975549942775,4,1.0,1.1181818181818182,27.366666666666664,29.08080808080808,-59.0,-2002.0,14.5,13.0
104,104,2022/07/17,佐賀,曇,3,C2ー6組,,10,7,8,6.4,4.0,6,倉富隆一,54,ダ1400,重,9.0,1:34.3,2.5,16.0,5-6-3-6,0.0-40.0,41.7,441(+1),,,リアルモンテ,,10,,0.0,1.5636363636363635,19.272727272727273,0,,,40.37272727272727,0.38144329896907214,14.846235418875928,15.204185901298327,94.3,5.0,6.0,5.0,0.5,0.0,40.0,41.7,1.7000000000000028,-40.0,19.068421052631578,39.357894736842105,7.258771929824561,20.878947368421052,0.5894736842105276,-20.28947368421053,0.0,-1.0,-1.0,0.6873870281765019,7.052631578947368,7.578947368421052,-0.5789473684210527,-0.05263157894736842,0.5263157894736842,18.78157341651652,1.2710232098588918,4,2.5,1.5636363636363635,27.233333333333334,32.79122807017544,-64.0,-914.0,15.0,19.272727272727273
