,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均,ﾀｲﾑ指数10平均
139,139,2022/07/10,佐賀,晴,5,KYUSHUDREA,,11,3,3,40.3,7.0,3,加茂飛翔,54,ダ1400,不,11,1:33.9,0.9,22,5-4-6-4,0.0-42.6,43.2,464(+3),,,ピーチリキュール,6.7,7,,0.6090909090909091,2.4818181818181824,0.45454545454545453,0,,,42.88181818181818,0.3548387096774194,14.90947816826411,14.752817271498387,93.9,5.0,4.0,4.75,0.45454545454545453,0.0,42.6,43.2,0.6000000000000014,-42.6,,,3.8666666666666667,,,,1.0,2.0,1.0,0.309028379028379,5.466666666666667,3.123809523809524,-1.1333333333333333,-3.4761904761904763,-2.342857142857143,19.472667081346277,1.8137613765538938,7,0.9,2.4818181818181824,28.600000000000005,,-58.0,-7666.0,18.0,0.45454545454545453
140,140,2022/07/05,佐賀,曇,7,KYUSHUDREA,,11,3,3,11.5,6.0,11.0,竹吉徹,54,ダ1400,不,13.0,1:33.9,1.7,24.0,9-9-11-11,0.0-40.5,40.5,447(-2),,,エコロペガサス,,8.0,,0.0,1.481818181818182,22.545454545454547,0,,,40.054545454545455,0.43157894736842106,14.90947816826411,15.312183799994221,93.9,9.0,11.0,10.0,0.8181818181818182,0.0,40.5,40.5,0.0,-40.5,4.5290322580645155,39.174193548387095,6.327956989247311,34.96129032258064,0.3161290322580642,-34.645161290322584,0.0,-2.0,-2.0,0.6077858073825816,6.193548387096774,6.354838709677419,0.8709677419354839,1.032258064516129,0.16129032258064516,17.992592877000803,1.6167941852629226,5,1.7,1.4909090909090912,27.0,27.731182795698924,-56.0,-1455.0,25.0,21.636363636363637
141,141,2022/06/05,佐賀,雨,10,SAGAイブニング賞,,12,3,3,13.8,5,10,山下裕貴,54,ダ1300,不,-7.0,1:25.4,1.4,23.0,7-7-8-7,0.0-39.2,39.5,495(+5),,,サイゴウパワー,,9,,0.0,1.531818181818182,39.09090909090909,0,,,39.40909090909091,0.5454545454545454,15.222482435597188,15.51419183486192,85.4,7.0,7.0,7.25,0.5833333333333334,0.0,39.2,39.5,0.29999999999999716,-39.2,9.382608695652175,38.46521739130434,5.565217391304348,29.55217391304348,0.46956521739130425,-29.082608695652173,-3.0,-3.0,0.0,0.46620867055649656,5.956521739130435,5.130434782608695,0.21739130434782608,-0.6086956521739131,-0.8260869565217391,16.355214934556976,1.677713390964685,6,1.4,1.4727272727272727,26.233333333333334,28.927536231884055,-57.0,-794.0,22.0,39.18181818181818
142,142,2022/07/05,佐賀,雨,4,さがけいば無料ネット,,9,4,4,27.5,6.0,8,加茂飛翔,52,ダ1400,不,13,1:33.7,1.7,26,9-9-9-8,0.0-40.1,40.0,410(-4),,,ランタン,,10,,0.0,1.0045454545454546,27.181818181818183,0,,,39.25454545454546,0.48936170212765956,14.941302027748131,15.471536647400887,93.7,9.0,8.0,8.75,1.0,0.0,40.1,40.0,-0.10000000000000142,-40.1,6.0813953488372094,38.988372093023266,8.023255813953488,32.55581395348838,-0.35116279069767525,-32.906976744186046,0.0,1.0,1.0,0.783911792342025,7.465116279069767,8.372093023255815,1.7674418604651163,2.6744186046511627,0.9069767441860465,9.102804717174168,1.2462422857176467,5,1.7,1.0045454545454546,26.7,27.90232558139535,-54.0,-2231.0,23.25,27.181818181818183
143,143,2022/06/19,佐賀,曇,7,SAGAイブニング賞,,11,6,7,11.6,5,9,倉富隆一,56,ダ1400,良,-2,1:32.7,2.0,23,2-2-3-4,0.0-39.1,41.3,519(+1),,,エルピーダ,,11,,0.0,1.2681818181818183,17.727272727272727,0,,,41.04545454545455,0.44329896907216493,15.102481121898597,15.226954199307094,92.7,2.0,4.0,2.75,0.18181818181818182,0.0,39.1,41.3,2.1999999999999957,-39.1,6.68125,39.3875,2.9375,33.7625,1.056249999999999,-32.70625,-5.0,-7.0,-2.0,0.24966856060606063,3.3125,2.75,-2.4375,-3.0,-0.5625,23.223898918331052,2.2265618910489056,5,2.0,1.2681818181818183,26.8,28.8375,-57.0,-831.0,18.5,17.727272727272727
144,144,2022/06/19,佐賀,曇,7,SAGAイブニング賞,,11,7,9,2.6,1,1,山下裕貴,54,ダ1400,良,-2,1:30.7,-0.7,45,4-4-1-1,0.0-39.1,39.4,400(+3),,,(ハートリンク),37.0,1,,4.111111111111111,1.0272727272727271,44.0,0,,,40.111111111111114,0.6907216494845361,15.435501653803748,15.623129816145642,90.7,4.0,1.0,2.5,0.36363636363636365,0.0,39.1,39.4,0.29999999999999716,-39.1,32.06923076923077,38.41538461538462,7.5256410256410255,6.630769230769232,0.2846153846153837,-6.346153846153848,0.0,3.0,3.0,0.5889249639249639,6.923076923076923,7.769230769230769,1.6153846153846154,2.4615384615384617,0.8461538461538461,13.698093119191475,2.312576529345921,4,-0.35,0.9333333333333331,26.166666666666668,36.3948717948718,-35.0,-382.0,41.5,48.18181818181818
145,145,2022/07/03,佐賀,曇,4,ヒラヤマン来場記念,,10,8,9,3.0,1,2,山田義貴,51,ダ1400,良,12,1:33.8,0.2,24,3-2-3-1,0.0-41.9,42.0,506(-5),,,ハートリンク,11.8,2,,1.0727272727272728,1.75,11.0,0,,,41.66363636363636,0.5,14.925373134328359,15.030936557227964,93.8,3.0,1.0,2.25,0.3,0.0,41.9,42.0,0.10000000000000142,-41.9,4.680952380952381,39.49047619047618,5.7976190476190474,36.54761904761905,1.7380952380952395,-34.809523809523796,-1.0,1.0,2.0,0.46887926887926895,6.428571428571429,5.428571428571429,-0.6190476190476191,-1.619047619047619,-1.0,23.858787386143288,1.9336087958029695,4,0.2,1.75,27.96666666666667,28.46666666666667,-56.0,-1424.0,17.75,11.0
146,146,2022/07/03,佐賀,曇,6,佐藤哲三来場記念,,10,6,6,28.0,8.0,3.0,長田進仁,54,ダ1400,良,12,1:34.1,0.8,21,8-7-8-8,0.0-41.7,40.5,464(+2),,,クレイジースピード,6.7,3.0,,0.6090909090909091,1.1090909090909091,26.727272727272727,0,,,39.418181818181814,0.5543478260869565,14.87778958554729,15.0482492510705,94.1,8.0,8.0,7.75,0.8,0.0,41.7,40.5,-1.2000000000000028,-41.7,16.81346153846154,39.62307692307692,7.570512820512819,23.211538461538456,0.4019230769230773,-22.809615384615388,5.0,5.0,0.0,0.7286150548169777,7.1923076923076925,7.961538461538462,1.3076923076923077,2.076923076923077,0.7692307692307693,9.961549431194513,1.14021289225225,5,0.8,1.1090909090909091,27.400000000000002,32.15384615384616,-59.0,-2508.0,29.25,26.727272727272727
147,147,2022/07/05,佐賀,雨,4,さがけいば無料ネット,,9,8,8,11.6,4.0,1,石川慎将,54.0,ダ1400,不,13.0,1:32.0,-0.1,46.0,1-1-1-1,0.0-40.1,40.1,461(-1),,,(ウィズザベスト),37.0,4,,3.3636363636363638,1.3681818181818182,25.727272727272727,0,,,41.70909090909091,0.5125,15.217391304347826,15.186924718606093,92.0,1.0,1.0,1.0,0.1111111111111111,0.0,40.1,40.1,0.0,-40.1,6.842045454545453,39.92499999999998,3.5,34.37272727272727,1.2897727272727268,-33.08295454545454,0.0,0.0,0.0,0.30195379115833654,4.3977272727272725,2.8181818181818183,-1.0340909090909092,-2.6136363636363638,-1.5795454545454546,18.220749370228308,1.4975542911502597,6,-0.05,1.3681818181818182,26.733333333333334,29.327272727272728,-34.0,-4459.0,32.5,25.727272727272727
148,148,2022/07/03,佐賀,曇,6,佐藤哲三来場記念,,10,7,7,37.5,9.0,4.0,出水拓人,56,ダ1400,良,12.0,1:34.3,1.0,19.0,2-2-2-2,0.0-41.7,42.5,453(-1),,,クレイジースピード,4.4,5.0,,0.4,1.8681818181818186,17.363636363636363,0,,,40.60909090909091,0.3225806451612903,14.846235418875928,15.159648019428818,94.3,2.0,2.0,2.0,0.2,0.0,41.7,42.5,0.7999999999999972,-41.7,2.6173076923076923,39.344230769230755,4.475961538461538,37.74999999999999,1.0230769230769239,-36.726923076923065,-2.0,-2.0,0.0,0.34403200965700964,5.538461538461538,3.5961538461538463,-1.1346153846153846,-3.076923076923077,-1.9423076923076923,12.68073329094232,1.3724933460851672,5,1.0,1.8681818181818186,28.066666666666666,27.442948717948727,-61.0,-2938.0,21.75,17.363636363636363
149,149,2022/06/17,佐賀,曇,7,熱血!さがけいば塾!,,11,7,8,13.0,6.0,5.0,山口勲,54,ダ1400,良,0.0,1:31.9,0.7,34.0,6-6-6-6,0.0-40.2,40.2,449(+3),,,アルファライン,3.0,6.0,,0.2727272727272727,2.209090909090909,19.454545454545453,0,,,41.39090909090909,0.3090909090909091,15.233949945593036,15.386698931939565,91.9,6.0,6.0,6.0,0.5454545454545454,0.0,40.2,40.2,0.0,-40.2,5.877142857142857,39.03428571428571,3.357142857142857,34.11714285714286,0.9600000000000001,-33.15714285714286,1.0,1.0,0.0,0.3322871572871573,3.342857142857143,3.5714285714285716,-2.5714285714285716,-2.342857142857143,0.22857142857142856,17.145798175113587,1.7053021889259263,6,0.7,2.145454545454545,26.8,28.301904761904762,-46.0,-1543.0,24.5,19.0
150,150,2022/06/19,佐賀,曇,5,さがけいば無料ネット,,8,7,7,1.5,1,1,中山蓮王,51,ダ1300,良,-2,1:24.5,-0.6,39,2-2-1-1,0.0-39.4,39.3,476(+4),,,(カシノマイスター),37.0,7,,3.3636363636363638,1.2045454545454546,27.727272727272727,0,,,40.32727272727273,0.6194029850746269,15.384615384615385,15.541584931085028,84.5,2.0,1.0,1.5,0.25,0.0,39.4,39.3,-0.10000000000000142,-39.4,26.063636363636363,39.60909090909091,4.4772727272727275,14.263636363636362,0.7181818181818174,-13.545454545454545,0.0,1.0,1.0,0.36666502689229963,4.181818181818182,4.818181818181818,-1.3636363636363635,-0.7272727272727273,0.6363636363636364,19.656777174524027,2.115156941904995,4,-0.3,1.2045454545454546,26.23333333333333,35.33333333333334,-41.0,-575.0,32.5,27.727272727272727
151,151,2022/06/26,佐賀,曇,3,さがけいば無料ネット,,8,7,7,51.4,6.0,3.0,村松翔太,54,ダ1400,重,-5.0,1:32.3,0.8,24.0,4-5-5-3,0.0-40.5,41.0,461(+2),,,メイショウドウダン,6.7,8.0,,0.6090909090909091,1.9090909090909087,22.90909090909091,0,,,40.10909090909091,0.3888888888888889,15.167930660888407,15.244376347053896,92.3,4.0,3.0,4.25,0.5,0.0,40.5,41.0,0.5,-40.5,12.154615384615381,39.56153846153847,7.512820512820513,27.83461538461539,0.42769230769230776,-27.40692307692306,0.0,1.0,1.0,0.7522747338131953,7.038461538461538,8.03076923076923,0.5384615384615384,1.5307692307692307,0.9923076923076923,9.686761225780115,1.4304467699489016,9,0.8,1.9090909090909087,27.166666666666668,30.568461538461545,-56.0,-6320.0,25.25,22.90909090909091
152,152,2022/06/26,佐賀,曇,3,さがけいば無料ネット,,8,1,1,5.7,3.0,4,竹吉徹,54,ダ1400,重,-5.0,1:32.6,1.1,21.0,1-1-1-2,0.0-40.5,41.6,415(-4),,,メイショウドウダン,4.4,9,,0.4,0.9545454545454546,33.09090909090909,0,,,40.50909090909091,0.6105263157894737,15.11879049676026,15.06999296459241,92.6,1.0,2.0,1.25,0.125,0.0,40.5,41.6,1.1000000000000014,-40.5,0.0,39.65952380952381,3.1051587301587293,41.72142857142857,2.0619047619047617,-39.65952380952381,-2.0,-3.0,-1.0,0.2755402666116951,4.428571428571429,2.4523809523809526,-1.880952380952381,-3.857142857142857,-1.9761904761904763,25.0146522773349,2.79865725356488,4,1.1,0.9545454545454546,27.366666666666664,27.126984126984127,-59.0,-2678.0,28.25,33.09090909090909
153,153,2022/06/26,佐賀,曇,3,さがけいば無料ネット,,8,5,5,7.2,4.0,5.0,金山昇馬,56,ダ1400,重,-5.0,1:32.8,1.3,19.0,6-6-8-6,0.0-40.5,41.0,444(+1),,,メイショウドウダン,3.0,10.0,,0.2727272727272727,1.5545454545454545,24.636363636363637,0,,,41.06363636363636,0.39603960396039606,15.086206896551724,15.21546577960528,92.8,6.0,6.0,6.5,0.75,0.0,40.5,41.0,0.5,-40.5,4.087096774193549,39.38387096774195,2.856182795698925,36.891935483870974,1.5951612903225802,-35.29677419354839,1.0,1.0,0.0,0.2474776567518502,3.7419354838709675,2.435483870967742,-2.225806451612903,-3.532258064516129,-1.3064516129032258,17.321569937058364,2.1647767791163504,5,1.3,1.5363636363636362,27.166666666666668,28.149999999999988,-61.0,-3439.0,21.0,25.545454545454547
154,154,2022/06/17,佐賀,曇,5,さがけいば無料ネット,,11,6,6,4.1,3,3,田中直人,56,ダ1400,良,0,1:31.4,1.0,40,8-8-6-5,0.0-39.8,38.8,475(-2),,,スリック,6.7,1,,2.2333333333333334,2.3375,30.666666666666668,0,,,39.233333333333334,0.8214285714285714,15.317286652078774,15.191649907279341,91.4,8.0,5.0,6.75,0.7272727272727273,0.0,39.8,38.8,-1.0,-39.8,18.2,39.18749999999999,8.5625,21.7625,0.7750000000000012,-20.987499999999997,2.0,5.0,3.0,0.6360479797979798,8.5,7.875,1.0,0.375,-0.625,14.772346537440226,1.6806083554607378,3,1.0,0.5,26.2,32.449999999999996,-40.0,-401.0,22.75,29.875
155,155,2022/06/11,佐賀,雨,5,佐賀競馬移転開設50,,9,5,5,2.8,2,1,倉富隆一,56,ダ1300,不,8,1:26.4,-0.1,26,3-3-3-2,0.0-40.3,40.0,479(0),,,(クラウンリース),37.0,2,,7.4,2.3899999999999997,14.4,0,,,40.44,0.4883720930232558,15.046296296296296,15.036044765715975,86.4,3.0,2.0,2.75,0.3333333333333333,0.0,40.3,40.0,-0.29999999999999716,-40.3,7.44,39.44,5.35,33.0,1.0,-32.0,1.0,2.0,1.0,0.5173737373737374,5.2,5.2,-0.2,-0.2,0.0,20.194196085894472,1.2184917817622813,3,-0.05,2.3899999999999997,26.766666666666666,29.106666666666673,-54.0,-328.0,22.75,14.4
156,156,2022/06/17,佐賀,曇,3,3歳ー6組,,10,7,8,4.6,3,1,川島拓,54,ダ1300,良,0,1:24.5,-0.1,41,3-4-1-1,0.0-39.3,38.9,466(-2),,,(マリノメローラ),37.0,3,,9.25,1.9055555555555554,23.75,0,,,39.825,0.631578947368421,15.384615384615385,15.60428814220156,84.5,3.0,1.0,2.25,0.3,0.0,39.3,38.9,-0.3999999999999986,-39.3,12.155555555555557,37.63333333333334,6.277777777777778,26.400000000000002,0.9222222222222219,-25.477777777777778,0.0,2.0,2.0,0.4637385762385763,6.555555555555555,5.777777777777778,-0.4444444444444444,-1.2222222222222223,-0.7777777777777778,16.6024094636893,1.4758048651498614,3,-0.05,0.9375,26.066666666666663,29.448148148148146,-39.0,-380.0,28.0,37.77777777777778
157,157,2022/06/19,佐賀,曇,6,KYUSHUDREA,,11,7,9,103.6,9,11,川島拓,56,ダ1400,良,-2,1:34.6,3.9,1,10-10-11-11,0.0-39.5,40.7,441(-9),,,サフランブライト,,4,,0.0,2.6045454545454545,17.166666666666668,0,,,40.416666666666664,0.48214285714285715,14.799154334038056,15.076718087537284,94.6,10.0,11.0,10.5,0.9090909090909091,0.0,39.5,40.7,1.2000000000000028,-39.5,17.245454545454546,39.50909090909091,8.681818181818182,23.09090909090909,0.827272727272728,-22.263636363636365,0.0,-1.0,-1.0,0.7245771904862813,8.909090909090908,8.363636363636363,0.5454545454545454,0.0,-0.5454545454545454,15.667553166408029,1.0271319292087062,3,3.9,1.658333333333333,26.733333333333334,32.36363636363637,-79.0,-576.0,12.25,27.636363636363637
158,158,2022/06/19,佐賀,曇,6,KYUSHUDREA,,11,6,7,109.8,10,5,小松丈二,54,ダ1400,良,-2,1:32.4,1.7,26,7-9-8-5,0.0-39.5,39.5,470(-2),,,サフランブライト,3.0,5,,0.42857142857142855,1.9636363636363638,12.428571428571429,0,,,41.55714285714286,0.5294117647058824,15.15151515151515,15.321930004374282,92.4,7.0,5.0,7.25,0.6363636363636364,0.0,39.5,39.5,0.0,-39.5,6.20909090909091,39.09090909090909,6.613636363636363,33.772727272727266,0.8909090909090907,-32.88181818181818,0.0,2.0,2.0,0.4751262626262627,7.181818181818182,5.909090909090909,0.2727272727272727,-1.0,-1.2727272727272727,11.14550233153366,2.286858592528673,3,1.7,1.8571428571428572,26.333333333333332,28.427272727272726,-54.0,-691.0,14.0,17.181818181818183
159,159,2022/06/19,佐賀,曇,6,KYUSHUDREA,,11,7,8,111.1,11,7,中山蓮王,51,ダ1400,良,-2,1:33.1,2.4,18,11-11-10-9,0.0-39.5,38.9,429(-5),,,サフランブライト,,6,,0.0,1.4272727272727272,12.0,0,,,40.611111111111114,0.5487804878048781,15.037593984962406,15.433887244410796,93.1,11.0,9.0,10.25,1.0,0.0,39.5,38.9,-0.6000000000000014,-39.5,0.0,38.93333333333334,4.9523809523809526,39.452380952380956,0.5190476190476196,-38.93333333333334,2.0,4.0,2.0,0.5030165601594172,4.714285714285714,5.0476190476190474,-1.2380952380952381,-0.9047619047619048,0.3333333333333333,10.333688787985738,1.4837480461529882,3,2.4,1.5777777777777777,26.133333333333336,26.128571428571426,-62.0,-1416.0,14.25,13.909090909090908
160,160,2022/06/19,佐賀,曇,6,KYUSHUDREA,,11,2,2,88.6,8,10,村松翔太,54,ダ1400,良,-2,1:34.1,3.4,7,1-1-2-7,0.0-39.5,42.9,446(+6),,,サフランブライト,,7,,0.0,2.118181818181818,6.909090909090909,0,,,41.63636363636364,0.46,14.87778958554729,14.675749005978703,94.1,1.0,7.0,2.75,0.09090909090909091,0.0,39.5,42.9,3.3999999999999986,-39.5,0.0,40.008333333333326,4.958333333333333,41.73333333333334,1.7249999999999985,-40.008333333333326,-3.0,-9.0,-6.0,0.48962542087542094,5.666666666666667,4.666666666666667,-0.25,-1.25,-1.0,15.874507866387544,1.6518592716252898,3,3.4,2.118181818181818,27.46666666666667,27.247222222222224,-73.0,-894.0,15.25,6.909090909090909
161,161,2022/06/19,佐賀,曇,6,KYUSHUDREA,,11,8,11,13.0,4.0,4,山口勲,56,ダ1400,良,-2,1:32.3,1.6,27,9-7-7-6,0.0-39.5,39.8,490(-8),,,サフランブライト,4.4,8,,0.44000000000000006,1.259090909090909,26.9,0,,,40.230000000000004,0.6276595744680851,15.167930660888407,15.509590653521075,92.3,9.0,6.0,7.25,0.8181818181818182,0.0,39.5,39.8,0.29999999999999716,-39.5,12.621428571428572,38.542857142857144,8.583333333333332,26.32857142857143,0.4071428571428563,-25.92142857142857,2.0,5.0,3.0,0.7903191579662167,7.642857142857143,9.642857142857142,1.2142857142857142,3.2142857142857144,2.0,19.492904692049702,2.185365466511773,3,1.6,1.2650000000000001,26.433333333333334,30.038095238095234,-53.0,-626.0,19.25,30.818181818181817
162,162,2022/06/18,佐賀,晴,10,有田焼特別,,10,7,7,82.6,10.0,9.0,山田義貴,51,ダ1750,良,-5.0,1:59.9,3.9,6.0,7-7-8-7,0.0-39.1,42.0,457(+2),,,ラスクミソ,,9.0,,0.2727272727272727,1.9454545454545453,20.181818181818183,0,,,40.32727272727272,0.4387755102040816,14.595496246872393,15.009175300529352,119.9,7.0,7.0,7.25,0.7,0.0,39.1,42.0,2.8999999999999986,-39.1,1.5086956521739132,39.326086956521735,6.880434782608695,38.743478260869566,0.926086956521739,-37.81739130434782,-2.0,-2.0,0.0,0.7010038270907836,7.0,6.6521739130434785,0.782608695652174,0.43478260869565216,-0.34782608695652173,10.293522099953067,1.2666392540893399,3,3.9,1.9272727272727272,27.03333333333333,27.02898550724638,-74.0,-1491.0,18.25,18.727272727272727
163,163,2022/06/19,佐賀,曇,6,KYUSHUDREA,,11,4,4,29.6,6,8,石川慎将,54,ダ1400,良,-2,1:34.0,3.3,8,8-8-9-10,0.0-39.5,40.8,447(-1),,,サフランブライト,,10,,0.0,1.8599999999999999,18.666666666666668,0,,,41.13333333333333,0.4583333333333333,14.893617021276595,15.362756024146616,94.0,8.0,10.0,8.75,0.7272727272727273,0.0,39.5,40.8,1.2999999999999972,-39.5,7.5,38.82000000000001,6.85,32.12,0.7999999999999986,-31.320000000000004,2.0,0.0,-2.0,0.5377705627705628,7.8,6.2,1.2,-0.4,-1.6,14.083086782851739,2.1108186931983424,3,3.3,2.033333333333333,26.766666666666666,28.646666666666665,-72.0,-274.0,20.5,25.2
164,164,2022/05/21,1新潟5,曇,6,3歳未勝利,,16,4,8,184.0,14,13,川端海翼,51,芝1000,良,-7,0:57.3,2.5,54,12,32.8-32.6,34.2,412(+6),,,ロサロッサーナ,,11,,48.0,1.61,33.0,0,,,40.9,0.7777777777777778,17.452006980802793,16.634403621243063,57.3,12.0,12.0,12.0,0.75,32.8,32.6,1.4000000000000057,1.6000000000000014,0.19999999999999574,30.889999999999997,35.82000000000001,9.775,5.549999999999999,0.6199999999999996,-4.93,-1.0,-1.0,0.0,0.6189880952380953,9.7,9.7,-0.9,-0.9,0.0,19.234524744551408,2.941692322288016,3,2.5,2.8,33.2,34.38333333333334,-26.0,-312.0,52.5,48.8
165,165,2022/05/14,佐賀,晴,6,くすの栄橋特別,,9,8,10,20.6,8,8,田中直人,54,ダ1750,不,-8,2:00.8,3.9,-5,3-5-6-8,0.0-39.5,42.9,411(-1),,,ラスクミソ,,12,,0.4,2.5954545454545452,-1.5454545454545454,0,,,42.08181818181818,0.32978723404255317,14.486754966887418,14.814221354156121,120.8,3.0,8.0,5.5,0.3333333333333333,0.0,39.5,42.9,3.3999999999999986,-39.5,0.0,39.34117647058823,4.8088235294117645,41.61176470588236,2.270588235294118,-39.34117647058823,0.0,-5.0,-5.0,0.40461123843476776,6.0588235294117645,3.8823529411764706,-0.35294117647058826,-2.5294117647058822,-2.176470588235294,21.81883884158508,2.3171462333367447,3,3.9,2.977272727272727,27.46666666666667,26.984313725490203,-85.0,-1504.0,11.25,2.4545454545454546
166,166,2022/06/18,佐賀,晴,9,うまかつジョッキーズ,,9,7,7,4.3,3,1,山口勲,54,ダ1400,良,-5,1:29.7,-0.5,54,5-4-4-2,0.0-38.7,38.2,447(-5),,,(トウカイキュニスカ),45.0,1,,11.25,0.509090909090909,45.0,0,,,39.175,1.0,15.607580824972128,15.645552223996757,89.7,5.0,2.0,3.75,0.5555555555555556,0.0,38.7,38.2,-0.5,-38.7,15.199999999999998,37.975,4.534722222222222,23.008333333333336,0.2333333333333337,-22.775000000000006,1.0,4.0,3.0,0.4311918405668406,3.6666666666666665,5.0,-1.5833333333333333,-0.25,1.3333333333333333,12.688810707066416,2.0710458153384166,3,-0.25,-0.35000000000000003,25.633333333333336,30.461111111111112,-26.0,-353.0,40.5,50.36363636363637
167,167,2022/06/19,佐賀,曇,8,スターダム特別,,10,6,6,2.1,1,1,石川慎将,56,ダ1400,良,-2,1:31.0,-0.2,42,6-5-5-1,0.0-39.7,39.1,493(+1),,,(ハナトップ),80.0,2,,16.0,1.2555555555555555,38.6,0,,,39.32000000000001,0.7,15.384615384615385,15.470233178645637,91.0,6.0,1.0,4.25,0.6,0.0,39.7,39.1,-0.6000000000000014,-39.7,12.366666666666667,38.58888888888889,5.092592592592593,26.844444444444445,0.6222222222222223,-26.22222222222222,0.0,5.0,5.0,0.4453703703703704,4.888888888888889,5.444444444444445,-1.1111111111111112,-0.5555555555555556,0.5555555555555556,11.833849753989613,2.137194422601744,3,-0.1,0.5700000000000001,26.26666666666667,30.055555555555557,-38.0,-370.0,36.0,38.888888888888886
168,168,2022/06/19,佐賀,曇,8,スターダム特別,,10,1,1,17.5,5,2,金山昇馬,54,ダ1400,良,-2,1:31.2,0.2,40,7-7-6-4,0.0-39.7,39.1,450(-7),,,リュウノマキロイ,25.6,3,,4.266666666666667,0.795,31.833333333333332,0,,,39.833333333333336,0.7833333333333333,15.350877192982455,15.10382691435872,91.2,7.0,4.0,6.0,0.7,0.0,39.7,39.1,-0.6000000000000014,-39.7,0.0,39.7,4.975,39.709999999999994,0.010000000000000142,-39.7,2.0,5.0,3.0,0.551060606060606,3.9,5.6,0.4,2.1,1.7,9.723448696087955,1.0671658611512147,3,0.2,0.49166666666666664,26.26666666666667,26.47,-40.0,-533.0,34.25,26.7
169,169,2022/06/19,佐賀,曇,8,スターダム特別,,10,5,5,4.7,3,3,長田進仁,56,ダ1400,良,-2,1:31.4,0.4,38,10-9-7-5,0.0-39.7,39.2,487(+1),,,リュウノマキロイ,14.4,4,,2.0571428571428574,0.7227272727272728,24.0,0,,,39.97142857142857,0.7058823529411765,15.317286652078774,15.195239696066151,91.4,10.0,5.0,7.75,1.0,0.0,39.7,39.2,-0.5,-39.7,9.733333333333333,39.36666666666667,7.633333333333334,29.779999999999994,0.1466666666666664,-29.633333333333333,2.0,7.0,5.0,0.7340488215488216,6.933333333333334,8.266666666666667,1.6666666666666667,3.0,1.3333333333333333,16.46539932707373,1.537639729422987,3,0.4,0.9071428571428571,26.3,29.537777777777773,-42.0,-714.0,39.5,26.363636363636363
170,170,2022/06/18,佐賀,晴,9,うまかつジョッキーズ,,9,5,5,32.9,8,4,金山昇馬,56,ダ1400,良,-5,1:30.8,1.1,41,9-9-8-7,0.0-38.7,38.5,474(0),,,シウラグランデ,5.4,5,,0.49090909090909096,0.5181818181818183,25.363636363636363,0,,,39.91818181818182,0.7547169811320755,15.418502202643172,15.136396383821449,90.8,9.0,7.0,8.25,1.0,0.0,38.7,38.5,-0.20000000000000284,-38.7,6.0777777777777775,39.46111111111111,6.541666666666667,33.794444444444444,0.41111111111111104,-33.383333333333326,3.0,5.0,2.0,0.6352693602693603,5.944444444444445,6.777777777777778,0.8888888888888888,1.7222222222222223,0.8333333333333334,14.43276512457936,1.3247902672036669,3,1.1,0.7090909090909091,25.733333333333334,28.47037037037037,-39.0,-1031.0,39.0,28.727272727272727
171,171,2022/06/04,佐賀,晴,10,スターマイン特別,,12,5,5,29.6,7.0,1.0,倉富隆一,54,ダ1400,良,2.0,1:30.9,0.0,47.0,3-3-3-2,0.0-39.3,39.1,451(-4),,,(フェアリーティンク),80.0,6.0,,7.2727272727272725,0.7045454545454546,24.363636363636363,0,,,40.28181818181818,0.7216494845360825,15.4015401540154,15.15202832930702,90.9,3.0,2.0,2.75,0.25,0.0,39.3,39.1,-0.19999999999999574,-39.3,0.0,39.516666666666666,3.7916666666666665,40.288888888888884,0.7722222222222221,-39.516666666666666,1.0,2.0,1.0,0.4212261503928171,3.7777777777777777,3.8333333333333335,-0.7222222222222222,-0.6666666666666666,0.05555555555555555,17.93524826128442,2.089546598224022,3,0.0,0.6954545454545454,26.133333333333336,26.601851851851848,-33.0,-1069.0,30.25,28.636363636363637
