年数,馬名,タイム指数2,タイム指数3,タイム指数4,ラベル,1F,3F,4F,上り,順位
2012,ルーラーシップ,113,121,118,1,12.9,41.2,56,32.7,3
2012,エイシンフラッシュ,108,124,110,1,11.6,39,52.7,34.4,4
2012,スカイディグニティ,114,106,87,1,12,38.9,53,36.1,5
2012,ダークシャドウ,113,119,108,2,12.3,37.8,51.7,32.8,6
2012,ナカヤマナイト,117,111,101,2,12.5,37.9,51.8,34,7
2012,ルルーシュ,110,108,110,2,12.7,41.9,55.2,34.5,8
2012,ビートブラック,106,106,99,2,13.8,40.4,54.7,35.6,9
2012,ダイワファルコン,116,112,109,2,12.3,37.8,50.9,35,10
2012,アーネクトリー,94,112,103,2,13.3,40.1,55.4,35.9,11
2012,ローズキングダム,96,108,111,3,13.5,41.7,57.6,35.2,12
2012,トレイルブレイザー,94,113,109,3,13.7,42.2,57.2,35.1,13
2012,オウケンブルースリ,102,102,110,3,13.8,40.4,54.7,34.5,14
2012,ネファブション,95,109,91,3,13.9,41.1,54.5,37.1,15
2012,トゥザグローリー,120,93,92,3,12.3,37.9,51.5,37.3,16
2011,オルフェーヴル,117,99,115,1,12.3,37.7,51.7,34.6,1
2011,エイシンフラッシュ,108,120,115,1,11.9,37,51,33.7,2
2011,トゥザグローリー,106,121,103,1,12.2,37.5,50.2,34.9,3
2011,ルーラーシップ,109,113,124,1,12.3,37.9,50.9,35.3,4
2011,トーセンジョーダン,112,128,105,1,12.1,40.3,55.3,34.3,5
2011,ヒルノダムール,99,116,108,2,12.2,40.4,54.7,35.3,6
2011,ブエナビスタ,112,123,116,2,12.3,37.5,51,33.9,7
2011,ヴィクトワールピサ,102,117,112,2,11.9,37.8,50.3,35,8
2011,レッドデイヴィス,119,89,100,3,12.6,37.4,50.7,33.6,9
2011,アーネストリー,105,110,117,3,13,37.8,51.7,37.5,10
2011,ジャガーメイル,110,118,108,3,11.2,35.4,49.6,34,11
2011,ローズキングダム,107,114,109,3,12.6,37.1,49.9,34.7,12
2011,キングトップガン,93,100,88,3,12.8,39.5,53.3,36.2,13
