,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
112,112,2013/12/08,5阪神4,晴,5,2歳新馬,,9,7,7,3.3,2,2,浜中俊,54,芝1800,良,-9,1:49.2,0.1,75,6-4,37.8-33.7,33.4,440(0),,,ブルーフラッシュ,280.0,6,13563.0,1356.3,0.12000000000000002,92.3
113,113,2014/04/26,2東京1,晴,11,メトロポリタンS(OP),,11,1,1,15.5,6,9,三浦皇成,52,芝2400,良,-10,2:26.2,1.0,96,10-10-10-10,36.4-35.0,34.9,484(0),,,ラブリーデイ,0.0,7,10973.6,313.5314285714286,0.5285714285714287,89.97142857142858
114,114,2014/07/06,2函館2,晴,11,巴賞(OP),,10,8,9,6.0,3,1,三浦皇成,54,芝1800,良,-8,1:48.1,0.0,105,10-10-9-8,36.6-35.6,34.5,468(+8),,,(セイルラージ),2221.0,8,18653.5,746.14,0.24400000000000002,96.72
115,115,2014/08/03,1札幌4,晴,11,クイーンS(G3),,14,3,4,47.1,11,10,松岡正海,55,芝1800,良,-14,1:46.7,1.0,103,2-2-3-4,35.1-36.4,36.3,444(+2),,,キャトルフィーユ,0.0,9,6155.6,323.9789473684211,0.7105263157894736,95.84210526315789
116,116,2014/05/18,2東京8,晴,11,ヴィクトリアマイル(G1),,18,7,14,28.3,11,1,内田博幸,55,芝1600,良,-10,1:32.3,-0.1,113,1-1,34.7-34.3,34.3,456(-4),,,(メイショウマンボ),9394.8,11,46079.5,2303.975,0.3349999999999999,98.85
117,117,2013/11/03,5京都2,曇,1,2歳未勝利,,13,5,7,5.1,3,2,藤岡康太,54,芝1400,良,-18,1:21.6,0.0,81,2-2,35.3-34.7,34.6,460(0),,,ベラフォレスタ,200.0,13,7914.299999999999,608.7923076923076,0.29230769230769227,89.07692307692308
118,118,2014/06/08,3東京2,小雨,11,安田記念(G1),,17,4,7,20.5,7,15,蛯名正義,56.0,芝1600,不,39,1:38.7,1.9,95,16-16,35.1-37.7,38.5,480(0),,出遅れ,ジャスタウェイ,0.0,15,52581.600000000006,1877.9142857142858,0.7607142857142856,97.17857142857143
119,119,2014/04/27,1福島6,晴,10,桑折特別(500万下),,15,2,3,10.0,5.0,6,丸田恭介,55,芝1800,良,-1,1:48.6,0.5,92,10-9-11-8,35.8-35.5,34.9,458(-16),,,ユッカマウンテン,0.0,18,5001.200000000001,208.38333333333335,0.8249999999999998,72.66666666666667
120,120,2012/05/06,3京都6,晴,9,矢車賞(500万下),,9,5,5,3.3,2,1,佐藤哲三,54,芝2000,良,-18,1:59.3,-0.4,94,7-7-6-3,36.0-34.1,33.7,450(+4),,,(フレイムコード),970.3,3,13468.1,792.2411764705882,0.1823529411764706,93.0
121,121,2012/05/13,2東京8,晴,11,ヴィクトリアマイル(G1),,18,6,12,7.2,4,1,横山典弘,55.0,芝1600,良,-9,1:32.4,-0.1,114,3-3,34.4-34.2,33.8,470(0),,,(ドナウブルー),9382.2,6,44396.1,2018.0045454545455,0.7727272727272727,94.9090909090909
122,122,2013/08/18,4函館2,小雨,11,札幌記念(G2),,16,1,2,47.7,11,6,川須栄彦,55,芝2000,重,46,2:09.4,2.9,85,11-13-14-11,36.2-39.7,40.0,468(-12),,,トウケイヘイロー,0.0,7,17991.8,749.6583333333333,0.4874999999999999,99.20833333333333
123,123,2012/05/06,2東京6,曇,11.0,NHKマイルC(G1),,18.0,4.0,7,13.7,6.0,7,田辺裕信,55.0,芝1600,良,0.0,1:35.3,0.8,95.0,14-12,35.1-34.6,34.5,414(0),,,カレンブラックヒル,0.0,8,13517.400000000001,750.9666666666667,0.3444444444444444,100.22222222222223
124,124,2012/05/20,2東京10,晴,11,優駿牝馬(G1),,18,5,9,3.6,2,2,内田博幸,55,芝2400,良,-16,2:24.4,0.8,99,6-8-8-9,35.1-35.7,35.3,432(-2),,,ジェンティルドンナ,4716.4,10,33348.09999999999,2382.0071428571423,0.2357142857142857,96.35714285714286
125,125,2012/10/14,4京都5,曇,11,秋華賞(G1),,18,7,15,28.0,5,11,蛯名正義,55,芝2000,良,-10,2:01.1,0.7,97,11-12-11-11,36.5-35.2,33.6,452(+10),,,ジェンティルドンナ,0.0,11,8279.5,459.97222222222223,0.42777777777777776,93.22222222222223
126,126,2013/09/17,4阪神5,晴,10,美作特別(1000万下),,10,6,6,5.0,4,1,藤田伸二,52,芝2000,良,-10,2:01.2,-0.2,92,1-1-2-1,37.9-35.5,35.5,458(-10),,,(エーティータラント),1465.9,12,6874.0,381.8888888888889,0.8944444444444444,84.66666666666667
127,127,2013/10/14,4東京5,晴,11,府中牝馬S(G2),,13,7,10,31.0,9,13,柴田善臣,56.0,芝1800,良,-13,1:49.4,0.6,92,9-10-11,37.9-32.8,32.5,464(0),,,ホエールキャプチャ,0.0,13,23207.300000000003,682.5676470588236,0.4558823529411764,95.79411764705883
128,128,2013/10/14,4東京5,晴,11,府中牝馬S(G2),,13,2,2,15.1,8,7,川田将雅,55,芝1800,良,-13,1:49.1,0.3,94,5-6-5,37.9-32.8,32.6,444(-20),,向正面不利,ホエールキャプチャ,0.0,15,26938.5,1224.4772727272727,0.5772727272727276,102.13636363636364
129,129,2012/09/01,2札幌5,晴,1,2歳未勝利,,14,2,2,4.8,2,3,秋山真一,54,芝1800,良,-13,1:51.1,0.7,67,6-6-4-5,36.8-35.8,36.3,474(-2),,,ダンツアトラス,130.0,16,2765.7,230.475,1.0166666666666668,79.91666666666667
130,130,2013/05/12,3京都8,晴,9,パールS(1600万下),,14,6,10,57.9,11,11,国分優作,55,芝1800,良,-5,1:48.0,0.8,89,10-10,36.4-34.9,34.8,510(+4),,,ゴールデンナンバー,0.0,17,6676.800000000001,215.38064516129035,0.6129032258064516,85.41935483870968
