,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
45,45,2012/03/18,2中山8,曇,11.0,フジTVスプリングS(G2),,14,6.0,9,2.2,1,2,岩田康誠,56,芝1800,重,19.0,1:50.9,0.2,99.0,4-4-4-3,37.5-36.4,35.8,502(-8),,,グランデッツァ,2131.2,1,29205.600000000002,4867.6,-0.05000000000000001,95.83333333333333
46,46,2012/05/05,3京都5,晴,11.0,京都新聞杯(G2),,13,2.0,2,10.8,5,1,ウィリア,56,芝2200,良,-20.0,2:10.0,-0.4,108.0,2-2-2-2,34.2-34.8,34.7,498(0),,,(ベールドインパクト),5298.0,3,11588.2,1655.457142857143,0.05714285714285715,86.85714285714286
47,47,2011/12/04,6阪神2,晴,4.0,2歳未勝利,,10,5.0,5,1.7,1,2,デムーロ,55,芝1800,良,0.0,1:51.3,0.3,65.0,9-4,37.9-33.3,33.4,486(-6),,出遅れ,ダノンオリエント,200.0,9,5756.3,719.5375,0.3499999999999999,90.0
48,48,2011/01/22,1京都7,晴,5,3歳未勝利,,16,6,12,6.0,4.0,7,岩田康誠,56,芝2200,良,3,2:16.8,0.4,83,14-15-13-13,35.9-35.2,34.7,516(0),,出遅れ,ギュスターヴクライ,0.0,5,9008.4,1286.9142857142856,0.3,86.42857142857143
49,49,2010/12/04,5中山1,晴,10,葉牡丹賞(500万下),,14,3,4,4.6,2.0,1,内田博幸,55,芝2000,良,-10,2:01.1,0.0,93,6-5-5-4,35.1-36.1,35.7,490(+4),,,(マイネルメダリスト),1032.9,6,4453.0,636.1428571428571,0.4000000000000001,84.85714285714286
50,50,2011/04/24,2東京2,晴,11,皐月賞(G1),,18,7,15,46.1,14.0,4,佐藤哲三,57,芝2000,良,3,2:01.4,0.8,100,15-15-16,36.4-35.3,34.4,530(-4),,出遅れ,オルフェーヴル,1500.0,12,5338.6,667.325,0.7000000000000001,84.625
51,51,2010/10/10,4東京2,曇,5,2歳新馬,,11,4,4,26.1,7.0,1,田中勝春,55,芝1800,重,10,1:51.9,-0.4,74,1-2-2,37.6-34.8,34.4,508(0),,出遅れ,(サトノペガサス),700.0,13,5870.8,978.4666666666667,0.7999999999999998,92.0
52,52,2011/03/27,2阪神2,晴,12,被災地支援毎日杯(G3),,18,2,3,11.4,4.0,2,小牧太,56,芝1800,良,-5,1:47.1,0.0,100,13-13,34.9-34.2,33.6,470(-2),,,レッドデイヴィス,1624.0,14,7536.400000000001,942.0500000000001,0.5250000000000001,95.875
53,53,2010/12/11,3小倉3,晴,4,2歳新馬,,10,6,7,2.2,1.0,1,丸山元気,54,芝2000,良,0,2:02.8,0.0,77,3-3-3-2,35.2-35.9,35.7,486(0),,,(ショウナンマハ),700.0,15,2623.1,524.62,0.82,84.0
54,54,2010/02/14,2京都6,曇,11,きさらぎ賞(G3),,11,8,11,2.1,1,2,藤岡佑介,56,芝1800,良,7,1:48.6,0.0,98,11-11,35.3-35.8,34.1,456(-4),,,ネオヴァンドーム,1612.2,11,4740.6,677.2285714285715,0.24285714285714285,92.71428571428571
55,55,2010/01/05,1中山1,晴,9,ジュニアC(OP),,16,5,9,2.4,1,1,内田博幸,56,芝1600,良,-4,1:34.6,-0.1,97,4-5-3,34.2-36.8,36.4,478(+6),,,(バトルシュリイマン),1937.8,16,6866.1,980.8714285714286,0.6285714285714287,87.71428571428571
56,56,2008/07/06,3阪神6,晴,4,2歳新馬,,12,6,8,2.9,2,1,武豊,54,芝1800,良,-7,1:49.1,-0.1,84,3-4,36.8-35.2,34.4,468(0),,,(プロスアンドコンズ),700.0,1,31499.100000000002,5249.85,-0.03333333333333334,99.66666666666667
57,57,2008/12/20,5阪神5,晴,5,2歳未勝利,,18,5,10,1.9,1,1,角田晃一,55,芝1400,良,-5,1:22.1,-0.4,94,4-2,34.8-35.7,35.5,512(+16),,出遅れ,(ゼットオーラ),500.0,3,9952.099999999999,1658.6833333333332,0.35000000000000003,96.5
58,58,2009/03/28,2阪神1,晴,10,毎日杯(G3),,14,7,11,3.6,2,3,内田博幸,56,芝1800,良,0,1:48.2,0.2,94,11-11,35.8-34.5,33.5,524(-6),,躓く,アイアンルック,1007.7,5,9353.5,1558.9166666666667,0.06666666666666667,91.0
59,59,2008/10/26,4京都6,雨,5,2歳新馬,,11,8,11,7.6,3,1,岩田康誠,55,芝1800,良,-1,1:51.7,-0.2,79,3-3,38.1-34.2,33.8,478(0),,,(リーチザクラウン),700.0,12,21797.9,3632.9833333333336,0.23333333333333325,95.66666666666667
60,60,2008/11/22,5東京5,晴,11,東京スポーツ杯2歳S(G3),,14,2,2,2.1,1,2,武豊,55,芝1800,良,-12,1:47.7,0.0,93,10-9-9,35.0-34.3,33.4,436(-4),,,ナカヤマフェスタ,1314.8,15,7927.500000000001,1132.5000000000002,0.6285714285714284,94.14285714285714
61,61,2009/02/15,1小倉4,晴,4,3歳新馬,,17,5,9,1.6,1,1,小牧太,56,芝1200,良,7,1:09.7,-1.1,85,8-5,34.2-35.5,34.8,530(0),,出遅れ,(コウセイグレイト),700.0,17,5353.9,1070.78,1.1800000000000002,91.0
62,62,2007/12/16,3中京6,晴,4,2歳未勝利,,16,4,7,2.5,1,2,野元昭嘉,55,芝1800,良,-9,1:49.6,0.1,80,8-8-4-5,36.1-36.1,35.9,506(+6),,,マイサイドキック,200.0,1,35140.1,3194.5545454545454,0.11818181818181818,91.36363636363636
63,63,2008/04/20,3中山8,曇,11,皐月賞(G1),,18,5,10,5.6,2,6,武豊,57,芝2000,良,5,2:02.2,0.5,103,9-11-11-8,36.2-35.2,34.8,530(-2),,,キャプテントゥーレ,0.0,3,12884.8,1431.6444444444444,0.15555555555555556,94.33333333333333
