,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
113,113,2020/10/24,佐賀,晴,9,あざみ賞,,11,3,3,26.6,5.0,11.0,兒島真二,54,ダ1300,重,-6.0,1:24.4,2.1,37.0,9-9-9-9,0.0-38.1,38.8,409(+4),,,トゥザキングダム,0.0,4.0,310.3999999999999,4.1945945945945935,1.137837837837838,41.0945945945946
114,114,2021/02/14,高知,雨,12,ファイナルレース,,12,8,11,17.8,10,9,西森将司,54,ダ1400,稍,0,1:34.3,2.0,23,5-6-6-5,0.0-40.5,42.0,466(+3),,,カメヤマシャチュウ,0.0,5,439.1,5.62948717948718,1.7474358974358983,34.08974358974359
115,115,2021/05/09,佐賀,晴,5,ほとめきナイター賞,,11,7,8,8.7,3.0,4.0,田中直人,56,ダ1400,良,7.0,1:32.5,1.0,34.0,3-3-3-3,0.0-41.2,42.0,495(-4),,,ピンギット,2.7,6.0,171.29999999999998,6.344444444444444,1.7259259259259256,33.51851851851852
116,116,2021/04/01,浦和,晴,5,C2八　九,,12,4,4,126.6,9,8,高橋哲也,54,ダ1500,稍,-11,1:39.6,2.3,39,10-11-11-9,31.8-38.9,39.7,461(+5),,,ピオレドール,0.0,7,390.2,9.517073170731708,1.6658536585365853,45.21951219512195
117,117,2020/05/09,1新潟1,曇,12,春日山特別(1勝クラス),,11,6,6,231.8,11,11,菊沢一樹,55,芝2000,良,-3.0,2:03.1,3.2,67.0,11-11,37.2-35.1,36.5,496(+6),,出遅れ,ブルーエクセレンス,0.0,8,186.70000000000002,5.657575757575758,1.2909090909090912,45.72727272727273
118,118,2021/01/26,佐賀,雨,8,孟陽賞,,11,5,5,12.8,5.0,5,池谷匠翔,51,ダ1400,不,-8.0,1:31.8,1.8,27.0,3-3-5-4,0.0-39.7,41.0,473(-2),,,ディーエスハリアー,1.8,9,168.1,4.8028571428571425,1.617142857142857,26.8
119,119,2021/02/28,高知,曇,4,瑛ちゃんの誕生日特別,,7,2,2,87.2,6,6,岡村卓弥,56,ダ1300,不,-15,1:26.4,2.0,20,6-6-7-7,0.0-40.3,40.3,477(-3),,,トウカイバリエンテ,0.0,10,424.0,7.709090909090909,1.541818181818182,29.527272727272727
120,120,2021/02/19,大井,晴,6,C2三　四五,,16,8,15,734.2,16,15,松崎正泰,54,ダ1200,稍,-12,1:16.7,2.4,20,15-15,36.0-38.3,38.3,432(-7),,,ギオンミスゴールド,0.0,11,369.0,11.53125,1.8843749999999997,44.59375
121,121,2021/05/08,佐賀,曇,11,薫風特選,,10,8,9,3.9,2,4,山口勲,56,ダ1800,稍,5,2:02.1,0.4,30,3-3-3-4,0.0-41.5,41.6,476(+1),,,ナンゴクジュリアン,3.2,12,167.99999999999994,4.540540540540539,1.4486486486486492,28.324324324324323
122,122,2019/11/23,5東京7,雨,8,3歳以上2勝クラス,,16,3,6,11.7,6,7,丹内祐次,57,ダ1600,不,-18,1:36.3,1.0,95,5-5,33.8-38.0,38.2,476(+6),,,フィールザファラオ,0.0,1,5570.1,222.804,0.7079999999999999,86.32
