index,開催所,平均タイム,平均上り
255,中山ダ2400不良,156.409836065574,38.86
256,中山ダ2500良,165.001886792453,39.4163636363636
257,中山ダ2500稍重,165.53,39.1
258,中山ダ2500不良,161.464285714286,39.36
259,中京芝1000良,59.1763532763533,34.93875
260,中京芝1000稍重,59.5540229885057,35.2066666666667
261,中京芝1000重,59.38,35.18
262,中京芝1000不良,61.4491228070176,36.27
263,中京芝1200良,69.9312418300653,34.4192
264,中京芝1200稍重,71.362293144208,35.6484
265,中京芝1200重,72.0718446601942,36.1533333333333
266,中京芝1200不良,73.166894977169,36.931724137931
267,中京芝1400良,82.5385572139303,35.0392
268,中京芝1400稍重,84.2227401129943,35.6722727272727
269,中京芝1400重,84.9079422382671,36.2368421052632
270,中京芝1400不良,85.9567010309278,36.8533333333333
271,中京芝1600良,95.860606060606,34.6628
272,中京芝1600稍重,97.2844677137871,35.0914285714286
273,中京芝1600重,97.6712365591398,35.7022222222222
274,中京芝1600不良,100.418110236221,37.3644444444444
275,中京芝1700良,105.128527607362,36.3664
276,中京芝1700稍重,106.070718232044,36.732
277,中京芝1700重,105.639024390244,37.54
278,中京芝1700不良,107.89,37.12
279,中京芝1800良,110.220457433291,35.7204
280,中京芝1800稍重,111.75332464146,36.5128
281,中京芝1800重,113.053333333333,37.4536842105263
282,中京芝1800不良,113.883064516129,37.975
283,中京芝2000良,122.887196110211,35.1408
284,中京芝2000稍重,124.837872340426,35.7788
285,中京芝2000重,125.250461538462,36.5169565217391
286,中京芝2000不良,128.068327402135,37.8073684210526
287,中京芝2200良,135.242467948718,
288,中京芝2200稍重,137.865697674419,35.8032
289,中京芝2200重,138.590052356021,36.59
290,中京芝2200不良,141.469565217391,37.5428571428571
291,中京芝2500良,156.828804347826,35.7572
292,中京芝2500稍重,158.141025641026,36.7271428571429
293,中京芝2500重,160.733928571429,37.21
294,中京芝2500不良,161.561904761905,37.06
295,中京ダ1000良,61.0645859872611,36.6316
296,中京ダ1000稍重,60.8618610747051,36.534
297,中京ダ1000重,61.0817813765182,36.6076
298,中京ダ1000不良,61.1034293552812,36.6148
299,中京ダ1200良,74.2346883468835,37.3808
300,中京ダ1200稍重,74.0911602209945,37.3264
301,中京ダ1200重,73.3681759379043,37.0672
302,中京ダ1200不良,73.1512886597938,36.7976923076923
303,中京ダ1400良,87.1884038199181,38.1572
304,中京ダ1400稍重,86.8731404958678,37.7828
305,中京ダ1400重,86.4133676092545,37.5284
306,中京ダ1400不良,86.1278877887789,37.6415
307,中京ダ1600良,103.527760252366,38.9952
308,中京ダ1600稍重,103.2744,39.061
309,中京ダ1600重,102.562280701754,38.8244444444444
310,中京ダ1600不良,103.962416107383,39.4309090909091
311,中京ダ1700良,108.982405063291,38.5476
312,中京ダ1700稍重,108.926343381389,38.4664
313,中京ダ1700重,108.125559947299,38.2608
314,中京ダ1700不良,108.478364116095,38.3928
315,中京ダ1800良,117.076610169492,38.8044
316,中京ダ1800稍重,116.144758735441,38.7124
317,中京ダ1800重,115.305934718101,38.028
318,中京ダ1800不良,114.761596385542,37.97
