,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
158,158,2009/04/05,2阪神4,晴,6,3歳500万下,,16,8,16,4.8,2,1,田中勝春,56.0,芝1600,良,3,1:37.4,0.0,77,11-7,36.6-34.2,33.6,458(+2),,出遅れ,(アルーリングムーン),700.0,8,12012.5,1092.0454545454545,0.5636363636363636,92.54545454545455
159,159,2007/04/01,2阪神4,曇,11.0,産経大阪杯(G2),,11.0,8.0,10,4.7,2.0,2,安藤光彰,57.0,芝2000,良,3.0,2:01.5,0.1,106.0,1-1-1-1,37.4-35.1,35.2,492(+2),,,メイショウサムソン,2623.6,9,16103.3,644.132,0.8720000000000002,102.04
160,160,2009/11/29,5東京8,曇,10.0,ジャパンC(G1),,18,8.0,17,123.9,17.0,12,五十嵐冬,57,芝2400,良,-8.0,2:24.4,2.0,108.0,16-17-15-13,35.2-35.1,36.3,510(+6),,,ウオッカ,0.0,10,14378.6,653.5727272727273,1.4272727272727275,106.68181818181819
161,161,2009/05/09,1新潟3,晴,11,新潟大賞典(G3),,16,8,15,31.6,9,6,北村友一,55.0,芝2000,良,0,1:57.7,0.8,113,2-2,34.9-34.3,34.9,492(-2),,,シンゲン,0.0,11,27367.4,1303.209523809524,0.4333333333333333,101.66666666666667
162,162,2006/01/08,1中山3,晴,9.0,寒竹賞(500万下),,11,5.0,5,4.3,2.0,3,石橋脩,56.0,芝2000,良,-4.0,2:01.4,0.1,93.0,7-7-6-8,36.4-37.0,36.2,482(+6),,出遅れ,モエレコネクション,254.1,12,24081.399999999998,963.2559999999999,0.76,104.52
163,163,2009/01/18,1京都6,雨,11,日経新春杯(G2),,16,5,10,34.4,11,1,荻野琢真,49,芝2400,良,13.0,2:26.6,-0.6,114.0,1-1-1-1,35.7-36.6,36.6,502(-4),,,(ナムラマース),5914.8,14,12613.8,434.95862068965516,1.775862068965517,96.48275862068965
164,164,2009/09/27,4阪神6,晴,10,神戸新聞杯(G2),,14,4,5,2.5,1,4,岩田康誠,56,芝2400,良,-16,2:24.9,0.7,100,7-7-8-8,35.5-34.5,34.6,472(0),,,イコピコ,810.0,15,22607.9,2511.988888888889,1.288888888888889,94.44444444444444
165,165,2008/11/02,4東京8,晴,11,天皇賞(秋)(G1),,17,4,7,3.6,2,2,安藤勝己,56,芝2000,良,-10,1:57.2,0.0,118,1-1-1,35.2-35.2,35.2,498(0),,,ウオッカ,5405.6,1,78668.5,6555.708333333333,-0.08333333333333333,109.41666666666667
166,166,2008/11/02,4東京8,晴,11,天皇賞(秋)(G1),,17,2,4,69.4,13,12,岩田康誠,58.0,芝2000,良,-10.0,1:58.2,1.0,114.0,12-12-12,35.2-35.2,35.0,458(-8),,,ウオッカ,0.0,2,31180.7,1484.7952380952381,0.5714285714285714,110.28571428571429
167,167,2007/10/20,4東京6,晴,11,富士S(G3),,18,4,7,4.2,1,4,安藤勝己,56,芝1600,良,-4.0,1:33.4,0.1,120.0,17-18,34.9-35.1,33.4,480(-4),,出脚鈍い,マイネルシーガル,620.0,3,35694.19999999999,1699.723809523809,0.3428571428571428,112.33333333333333
