,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,種牡馬成績,母父成績,相手勝率,相手着差
180,180,2022/11/27,5阪神8,晴,7,3歳以上1勝クラス,,8,5,5,5.3,2,2,小沢大仁,54,ダ1800,稍,**,1:52.6,0.4,**,2-2-2-2,38.1-36.5,36.8,510(+8),,,メイクアリープ,310.0,2,-0.20000000000005125,1.5666666666666667,0.68,-1.4035999999999997,1.2750000000000001,0.6333333333333333,,,0.30952380952380953,1.7571428571428573
181,181,2022/11/27,5阪神8,晴,7,3歳以上1勝クラス,,8,6,6,10.5,4,3,岩田望来,57,ダ1800,稍,**,1:53.2,1.0,**,3-5-3-3,38.1-36.5,37.3,530(+4),,,メイクアリープ,190.0,3,-0.09334862385321241,0.9076923076923075,0.6986301369863014,-0.015133333333331223,0.7619047619047616,0.7509578544061303,,,0.6535433070866141,0.6000000000000001
182,182,2022/11/27,5阪神8,晴,7,3歳以上1勝クラス,,8,2,2,7.4,3,4,鮫島克駿,55,ダ1800,稍,**,1:53.5,1.3,**,3-3-3-4,38.1-36.5,37.5,462(-8),,,メイクアリープ,120.0,4,0.09999999999999998,0.15,0.8888888888888888,0.6931999999999974,0.4875,0.6792452830188679,,,0.47368421052631576,1.225
183,183,2022/11/27,5阪神8,晴,7,3歳以上1勝クラス,,8,7,7,24.7,5,5,角田大河,55,ダ1800,稍,**,1:54.5,2.3,**,6-6-6-5,38.1-36.5,38.3,502(+22),,,メイクアリープ,77.0,5,-0.5506849315068494,1.1428571428571428,0.671875,0.4596000000000003,0.9919999999999998,0.6931034482758621,,,0.47368421052631576,1.1666666666666667
184,184,2022/11/27,5阪神8,晴,7,3歳以上1勝クラス,,8,8,8,62.9,6,6,坂井瑠星,55,ダ1800,稍,**,1:55.2,3.0,**,6-6-7-7,38.1-36.5,38.6,478(+8),,,メイクアリープ,,6,1.4765625000000022,2.3200000000000003,0.4576271186440678,-0.9102318840579701,1.764285714285714,0.5058823529411764,,,0.5072463768115942,1.839285714285714
185,185,2022/11/27,5阪神8,晴,7,3歳以上1勝クラス,,8,3,3,242.0,8,7,大久保友,54.0,ダ1800,稍,**,1:55.3,3.1,**,8-8-8-8,38.1-36.5,38.4,464(0),,,メイクアリープ,,7,-0.5788659793814439,1.7222222222222223,0.4774774774774775,0.35160000000000163,1.1547619047619047,0.5665399239543726,,,0.6062992125984252,1.040909090909091
186,186,2022/11/27,5阪神8,晴,7,3歳以上1勝クラス,,8,4,4,67.7,7,8,永島まな,51,ダ1800,稍,**,1:56.5,4.3,**,3-4-5-6,38.1-36.5,40.1,482(+2),,,メイクアリープ,,8,0.7749999999999977,3.9,0.1702127659574468,-1.818699999999998,2.29,0.35714285714285715,,,0.43529411764705883,1.6437499999999998
187,187,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,5,5,6.5,5,1,幸英明,55,ダ1800,稍,**,1:53.6,-0.2,**,5-5-5-6,37.2-37.4,37.0,502(+6),,,(パトリオットラン),770.0,1,-0.23999999999999944,1.1166666666666667,0.625,0.3130666666666701,1.1166666666666667,0.625,,,0.5255474452554745,0.9999999999999999
188,188,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,2,2,4.2,2,2,角田大河,53,ダ1800,稍,**,1:53.8,0.2,**,3-3-2-2,37.2-37.4,37.5,530(+10),,,ゼウスバイオ,310.0,2,-0.014285714285715345,1.535,0.49557522123893805,-0.5272000000000012,1.38125,0.449438202247191,,,0.47368421052631576,1.225
189,189,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,6,7,31.5,8,3,岩田望来,57,ダ1800,稍,**,1:54.2,0.6,**,8-8-5-1,37.2-37.4,37.5,498(+1),,,ゼウスバイオ,190.0,3,0.6437499999999865,1.6499999999999997,0.504950495049505,-0.17511111111110958,1.065,0.6388888888888888,,,0.3793103448275862,2.075
190,190,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,8,11,2.9,1,4,松山弘平,55,ダ1800,稍,**,1:54.4,0.8,**,11-12-11-2,37.2-37.4,37.6,504(+14),,,ゼウスバイオ,120.0,4,-0.56,0.45999999999999996,0.8305084745762712,0.6731999999999985,0.6333333333333333,0.7808219178082192,,,0.5434782608695652,1.25
191,191,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,7,9,16.2,6,5,福永祐一,55,ダ1800,稍,**,1:54.8,1.2,**,8-8-10-9,37.2-37.4,37.6,484(-5),,,ゼウスバイオ,77.0,5,-1.7812499999999996,1.2,0.4090909090909091,-0.08880000000000621,0.825,0.6086956521739131,,,0.352,1.5791666666666666
192,192,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,8,12,5.2,3,6,古川奈穂,51,ダ1800,稍,**,1:55.0,1.4,**,1-1-1-2,37.2-37.4,38.8,466(-2),,,ゼウスバイオ,,6,-1.7500000000000027,0.58,0.7868852459016393,-0.4140000000000029,0.425,0.84,,,0.6318181818181818,2.3156250000000003
193,193,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,5,6,22.6,7.0,7,和田竜二,57,ダ1800,稍,**,1:55.2,1.6,**,10-10-8-8,37.2-37.4,38.3,488(+2),,,ゼウスバイオ,,7,1.9200000000000088,1.4777777777777779,0.7115384615384616,-0.2523555555555564,0.9125000000000001,0.8297872340425532,,,0.5918367346938775,1.7055555555555555
194,194,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,3,3,75.9,9,8,古川吉洋,55,ダ1800,稍,**,1:55.4,1.8,**,4-4-3-2,37.2-37.4,38.9,488(0),,,ゼウスバイオ,,8,0.3590909090908937,1.6687499999999997,0.4444444444444444,-0.8224999999999971,1.6687499999999997,0.4444444444444444,,,0.6535433070866141,0.6000000000000001
195,195,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,4,4,161.9,11,9,今村聖奈,54.0,ダ1800,稍,**,1:55.9,2.3,**,7-7-7-9,37.2-37.4,39.0,464(+2),,,ゼウスバイオ,,9,-0.8823899371069182,1.6500000000000001,0.5,0.421400000000002,1.0975,0.5793650793650794,,,0.5443786982248521,1.614285714285714
196,196,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,6,8,6.2,4,10,川端海翼,54,ダ1800,稍,**,1:56.0,2.4,**,2-2-3-6,37.2-37.4,39.5,488(+8),,,ゼウスバイオ,,10,-3.699999999999998,0.5,0.8260869565217391,1.806600000000003,-0.059999999999999984,0.8921568627450981,,,0.5648148148148148,1.0277777777777777
197,197,2022/11/20,5阪神6,曇,6,3歳以上1勝クラス,,12,7,10,262.3,12,11,藤岡佑介,57,ダ1800,稍,**,1:57.2,3.6,**,11-11-11-9,37.2-37.4,40.1,514(0),,,ゼウスバイオ,,11,0.9541666666666679,1.714285714285714,0.42857142857142855,-0.8324499999999997,0.9315789473684208,0.6570048309178744,,,0.5443786982248521,1.614285714285714
