,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
22,22,2020/11/15,5阪神4,晴,11,エリザベス女王杯(G1),,18,8,16,109.9,13,10,加藤祥太,54,芝2200,良,-17,2:11.2,0.9,105,9-10-9-8,34.9-34.8,34.8,462(0),,,ラッキーライラック,,2,,671.5285714285716,0.3444444444444445,89.0,0,,,35.266666666666666,0.8539325842696629,16.76829268292683,16.516310650031837,131.2,9.0,8.0,9.0,34.9,34.8,-0.10000000000000142,0.0,0.10000000000000142,36.07777777777778,35.46666666666667,6.25,-0.8111111111111108,-0.19999999999999968,0.6111111111111112,-2.0,-1.0,1.0,6.333333333333333,2.6666666666666665,2.7777777777777777,0.1111111111111111,10.574024777727733,0.7365459931328127,4,34.833333333333336,35.6037037037037,99.0
23,23,2020/12/19,6阪神5,曇,10,再度山特別(2勝クラス),,11,4,4,16.8,6,1,団野大成,57,芝1800,良,-8,1:46.7,0.0,99,3-3,36.4-34.3,34.0,512(+12),,,(ラヴユーライヴ),1526.6,3,,377.875,0.3384615384615385,84.07692307692308,0,,,36.52307692307692,0.8415841584158416,16.869728209934394,16.19812267798615,106.7,3.0,3.0,3.0,36.4,34.3,-2.3999999999999986,-0.29999999999999716,2.1000000000000014,,,4.25,,,,2.0,2.0,0.0,3.769230769230769,0.8461538461538461,1.5384615384615385,0.6923076923076923,15.225515640877726,1.6260004769434744,7,34.9,,98.5
24,24,2020/11/07,5阪神1,曇,9,武田尾特別(2勝クラス),,9,1,1,1.8,1,1,福永祐一,55,芝1800,良,-21,1:45.0,0.0,102,3-2,35.8-33.8,33.5,456(0),,,(ファルコニア),1520.3,4,,475.8857142857143,0.37333333333333335,88.0,0,,,35.54666666666667,0.8620689655172413,17.142857142857142,16.506709699719885,105.0,3.0,2.0,2.5,35.8,33.8,-2.299999999999997,-0.29999999999999716,2.0,36.086666666666666,35.56666666666668,4.383333333333334,-0.5400000000000006,-0.020000000000000285,0.5200000000000002,1.0,2.0,1.0,3.7333333333333334,0.6,1.6,1.0,14.555389895155677,2.2217321508228665,5,34.36666666666667,35.733333333333334,97.25
25,25,2020/11/07,5東京1,曇,10,ノベンバーS(3勝クラス),,15,2,2,13.4,5,6,松山弘平,55,芝1800,良,-9,1:47.3,0.6,97,2-1-2,36.1-34.1,34.7,462(-8),,,ヒュミドール,,5,,400.0,0.24285714285714283,91.57142857142857,0,,,34.471428571428575,0.8526315789473684,16.775396085740915,16.817457024705504,107.3,2.0,2.0,1.6666666666666667,36.1,34.1,-1.3999999999999986,0.6000000000000014,2.0,36.12857142857143,34.41428571428571,2.4523809523809526,-1.6571428571428573,0.05714285714285694,1.7142857142857142,-4.0,-4.0,0.0,2.5714285714285716,-0.42857142857142855,-0.5714285714285714,-0.14285714285714285,9.310612224768036,0.8615937267645352,4,34.96666666666667,35.00476190476191,97.75
26,26,2020/12/20,6阪神6,晴,9,サンタクロースH(3勝クラス),,18,8,18,11.4,5,12,酒井学,57,芝1600,良,-9,1:33.3,0.7,104,6-7,33.9-35.5,34.3,500(+18),,出遅れ,トリプルエース,,6,,406.92631578947373,0.44615384615384607,89.53846153846153,0,,,35.79230769230769,0.6973180076628352,17.14898177920686,16.46933139129092,93.3,6.0,7.0,6.5,33.9,35.5,0.3999999999999986,-1.2000000000000028,-1.6000000000000014,,,8.14102564102564,,,,-5.0,-6.0,-1.0,6.769230769230769,1.9230769230769231,4.423076923076923,2.5,14.335582175961015,1.9201337401980403,6,34.56666666666666,,101.75
27,27,2020/12/10,名古屋,晴,11,名古屋グランプリ(G2),,12,8,12,61.7,7,10,赤岡修次,54,ダ2500,良,7,2:51.9,7.1,58,2-3-6-8,0.0-39.3,45.5,456(-6),,,マスターフェンサー,,7,,104.0,0.9388888888888888,58.888888888888886,0,,,39.077777777777776,0.9,14.543339150668993,15.694938174825685,171.9,2.0,8.0,4.75,0.0,39.3,45.5,6.200000000000003,-39.3,8.016666666666667,38.727777777777774,4.402777777777778,31.061111111111114,0.35000000000000026,-30.7111111111111,-2.0,-8.0,-6.0,4.277777777777778,-0.16666666666666666,0.0,0.16666666666666666,22.91015814568699,2.5266776056694864,4,28.266666666666666,28.60740740740741,88.25
28,28,2020/11/14,5東京3,晴,10,ユートピアS(3勝クラス),,18,2,3,13.6,4,4,藤井勘一,53,芝1800,良,-9,1:47.0,0.4,99,6-6-6,35.5-34.7,34.5,432(-10),,,リンディーホップ,270.0,8,,414.2125,0.5666666666666667,89.25,0,,,35.041666666666664,0.7131147540983607,16.822429906542055,16.655028649829077,107.0,6.0,6.0,6.0,35.5,34.7,-1.0,-0.20000000000000284,0.7999999999999972,35.641666666666666,35.333333333333336,8.173611111111112,-0.5999999999999984,-0.2916666666666649,0.30833333333333357,2.0,2.0,0.0,8.333333333333334,2.5,2.0833333333333335,-0.4166666666666667,8.725260885199532,1.1065164699293235,4,34.9,35.33888888888889,94.75
29,29,2020/04/05,2阪神4,晴,10,難波S(3勝クラス),,16,1,2,7.5,4,3,藤岡佑介,55,芝1800,良,-10,1:45.8,0.5,106,6-7,35.3-33.9,33.7,456(+2),,,セラピア,465.0,9,,585.5222222222222,0.6100000000000001,90.0,0,,,35.37,0.803921568627451,17.013232514177695,16.477780888726393,105.8,6.0,7.0,6.5,35.3,33.9,-1.5999999999999943,-0.19999999999999574,1.3999999999999986,36.3,35.19,4.441666666666667,-0.929999999999999,0.18000000000000044,1.1099999999999994,4.0,3.0,-1.0,4.0,-0.5,0.1,0.6,11.90388505231981,1.2843624009054093,5,34.3,35.62,95.5
30,30,2020/10/31,3福島1,晴,11,フルーツラインC(3勝クラス),,14,6,10,40.7,9,12,藤田菜七,57,芝2000,良,-10.0,2:01.0,1.1,84.0,2-2-2-2,35.3-35.6,36.6,426(-4),,,ココロノトウダイ,,10,,181.4,0.6222222222222222,89.33333333333333,0,,,35.60833333333334,0.5930232558139535,16.52892561983471,16.359983743533686,121.0,2.0,2.0,2.0,35.3,35.6,1.3000000000000043,1.0,-0.30000000000000426,36.449999999999996,35.591666666666676,6.506944444444445,-0.8416666666666662,0.016666666666666313,0.8583333333333325,-10.0,-10.0,0.0,6.694444444444445,0.5277777777777778,0.1388888888888889,-0.3888888888888889,7.288783822617879,0.8177540551214897,7,35.833333333333336,35.88333333333334,91.75
31,31,2020/11/29,5東京9,曇,11,ウェルカムS(3勝クラス),,16,5,10,203.2,16,12,石川裕紀,53,芝2000,良,-7.0,2:01.9,1.2,86.0,1-1-1,37.3-34.2,35.4,494(-4),,,ヒシイグアス,,11,,178.12,1.1672727272727272,82.25454545454545,0,,,37.14181818181819,0.5342465753424658,16.406890894175554,16.201700067017086,121.9,1.0,1.0,1.0,37.3,34.2,-1.8999999999999986,1.1999999999999957,3.0999999999999943,,,4.46969696969697,,,,-11.0,-11.0,0.0,4.4,-2.7454545454545456,-2.672727272727273,0.07272727272727272,11.461879476004317,2.2099143198369497,10,35.63333333333333,,84.5
32,32,2020/11/28,5阪神8,曇,10,竹田城S(3勝クラス),,15,2,4,167.1,15,11,和田竜二,57,ダ2000,良,-3,2:08.1,1.9,81,5-4-11-13,36.6-38.7,39.4,478(+4),,,メイショウマトイ,,12,,173.28125,1.1272727272727272,83.0909090909091,0,,,36.24999999999999,0.6492146596858639,15.612802498048401,16.31692855930112,128.1,5.0,13.0,8.25,36.6,38.7,2.799999999999997,0.6999999999999957,-2.1000000000000014,35.72727272727273,35.96363636363637,7.693181818181818,0.5227272727272726,0.28636363636363593,-0.23636363636363666,2.0,-6.0,-8.0,7.409090909090909,0.9545454545454546,1.3181818181818181,0.36363636363636365,10.842749530967888,1.8476368189513876,6,38.23333333333333,35.980303030303034,88.0
33,33,2020/12/13,5中山4,曇,10,常総S(3勝クラス),,11,3,3,38.6,9,11,内田博幸,57,芝1800,良,-4,1:52.2,2.9,65,10-10-11-11,37.2-35.7,37.2,534(+12),,出遅れ,ロザムール,,13,,518.7071428571428,0.7117647058823529,91.0,0,,,35.37058823529412,0.6503496503496503,16.0427807486631,16.442182632068096,112.2,10.0,11.0,10.5,37.2,35.7,0.0,1.5,1.5,36.50588235294117,35.23529411764706,6.240196078431373,-1.135294117647058,0.13529411764705906,1.270588235294117,0.0,-1.0,-1.0,5.529411764705882,0.47058823529411764,1.2352941176470589,0.7647058823529411,13.111228813031001,1.5851646329578033,7,36.7,35.70392156862745,88.75
34,34,2020/12/20,6阪神6,晴,9,サンタクロースH(3勝クラス),,18,7,14,86.5,17,17,横山典弘,54,芝1600,良,-9.0,1:34.6,2.0,88.0,1-1,33.9-35.5,37.5,502(+2),,,トリプルエース,,14,,303.66999999999996,0.9090909090909093,83.22727272727273,0,,,36.03181818181818,0.496,16.913319238900634,16.84211489784699,94.6,1.0,1.0,1.0,33.9,35.5,3.6000000000000014,2.0,-1.6000000000000014,34.954545454545446,35.540909090909096,4.931818181818182,1.0772727272727283,0.49090909090909174,-0.5863636363636366,-16.0,-16.0,0.0,4.909090909090909,-1.8181818181818181,-1.8181818181818181,0.0,14.427447062230357,1.6667662226094442,7,35.63333333333333,35.50909090909091,86.0
