,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
552,552,2021/03/21,2中京4,小雨,7,4歳以上1勝クラス,,15,7,13,29.8,10,14,西村淳也,55,ダ1400,不,-23,1:26.4,3.6,53,2-2,33.8-37.5,40.6,470(+4),,,タケルラスティ,,8,,,1.3363636363636364,73.0909090909091,0,,,36.71818181818182,0.0,16.203703703703702,16.41997208358223,86.4,2.0,2.0,2.0,33.8,37.5,6.800000000000004,3.1000000000000014,-3.700000000000003,35.518181818181816,35.68181818181818,3.75,1.2000000000000015,1.0363636363636375,-0.16363636363636402,-12.0,-12.0,0.0,3.727272727272727,-4.818181818181818,-4.818181818181818,0.0,13.780773643820664,2.281249048706042,4,37.3,35.97272727272727,75.75
553,553,2021/03/21,2中京4,小雨,6,4歳以上1勝クラス,,11,4,4,39.9,9,7,小林脩斗,52,ダ1800,不,-23,1:54.0,1.0,66,3-4-2-2,37.1-38.2,38.9,496(-12),,,ラブスピール,,9,,57.75555555555555,0.7260869565217393,63.17391304347826,0,,,38.92608695652173,0.638095238095238,15.789473684210526,15.561356027857261,114.0,3.0,2.0,2.75,37.1,38.2,1.7999999999999972,0.6999999999999957,-1.1000000000000014,16.104347826086954,38.81739130434783,5.278985507246377,22.821739130434782,0.10869565217391243,-22.713043478260875,-5.0,-4.0,1.0,4.782608695652174,0.34782608695652173,1.0,0.6521739130434783,10.3661273975493,1.8901012245085944,5,38.06666666666666,31.282608695652176,65.75
554,554,2020/11/21,5東京5,晴,12,3歳以上1勝クラス,,18,4,7,5.3,2,10,田辺裕信,55,芝1800,良,-11,1:48.8,0.8,81,17-17-17,36.7-34.4,33.7,482(+2),,,クールウォーター,,10,,,0.4736842105263159,85.42105263157895,0,,,34.226315789473674,0.0,16.544117647058822,16.561619502551125,108.8,17.0,17.0,17.0,36.7,34.4,-3.0,-0.6999999999999957,2.3000000000000043,36.50526315789474,34.49999999999999,9.412280701754389,-2.2789473684210533,-0.2736842105263156,2.0052631578947375,7.0,7.0,0.0,8.789473684210526,4.526315789473684,5.578947368421052,1.0526315789473684,10.41105182006122,1.3595863341472663,5,34.93333333333333,35.07719298245614,88.0
555,555,2021/03/21,2中山8,雨,6,4歳以上1勝クラス,,16,2,3,62.6,14,13,大野拓弥,55,芝2000,重,20,2:06.8,2.5,75,12-12-13-10,36.3-37.9,38.9,426(-2),,,ラヴィンジャー,,11,,0.0,1.3900000000000001,78.4,0,,,36.29,0.16666666666666666,15.772870662460567,16.128750239559707,126.8,12.0,10.0,11.75,36.3,37.9,2.6000000000000014,1.0,-1.6000000000000014,37.11999999999999,35.769999999999996,8.833333333333332,-0.8300000000000012,0.5199999999999989,1.35,-3.0,-1.0,2.0,8.4,1.4,2.2,0.8,15.071729323252473,1.8138129328494441,5,37.699999999999996,36.393333333333324,67.5
556,556,2021/03/20,2中京3,晴,8,4歳以上1勝クラス,,9,1,1,10.8,4,4,角田大和,54,ダ1800,良,1.0,1:55.2,0.7,80.0,4-4-4-4,38.1-38.2,38.4,502(-2),,,スズカブルグ,110.0,1,,112.75,2.45,67.8,0,,,38.769999999999996,0.6702127659574468,15.625,15.710295401996353,115.2,4.0,4.0,4.0,38.1,38.2,0.29999999999999716,0.19999999999999574,-0.10000000000000142,34.790000000000006,37.64,7.75,3.9799999999999995,1.1299999999999997,-2.85,0.0,0.0,0.0,7.3,1.5,2.1,0.6,32.69796667674289,1.6250619822889802,4,38.23333333333333,37.06666666666667,81.25
557,557,2021/02/13,2小倉1,晴,10,唐戸特別(1勝クラス),,10,1,1,26.6,8,9,黛弘人,57,芝1800,良,-3.0,1:49.5,0.7,76.0,4-4-5-6,36.3-37.4,35.3,458(+6),,,ワールドスケール,,2,,9.1,0.5560000000000002,69.64,0,,,37.116,0.8125,16.438356164383563,15.877326135904712,109.5,4.0,6.0,4.75,36.3,37.4,-1.0,-2.1000000000000014,-1.1000000000000014,21.868,37.312000000000005,6.14,15.248,-0.19599999999999995,-15.443999999999996,-3.0,-5.0,-2.0,5.48,0.36,1.32,0.96,15.431658843901268,1.9187798144475463,5,36.33333333333333,32.098666666666674,82.5
558,558,2021/02/06,1東京3,晴,7,4歳以上1勝クラス,,16,8,15,19.0,7,10,石橋脩,57,芝1600,良,-15.0,1:34.2,1.2,88.0,6-5,34.5-35.2,35.9,494(+16),,,シンハリング,,3,,0.0,1.5266666666666664,78.8,0,,,36.419999999999995,0.0,16.985138004246284,16.529220398393864,94.2,6.0,5.0,5.5,34.5,35.2,1.3999999999999986,0.6999999999999957,-0.7000000000000028,35.95333333333334,35.42,4.538888888888889,0.46666666666666573,0.9999999999999986,0.5333333333333329,-5.0,-4.0,1.0,4.666666666666667,-0.8,-0.8666666666666667,-0.06666666666666667,19.749109948298937,3.265898612939478,5,35.199999999999996,35.93111111111111,89.25
559,559,2021/03/20,2中京3,晴,8,4歳以上1勝クラス,,9,8,9,38.8,7.0,3,鮫島良太,57,ダ1800,良,1.0,1:55.0,0.5,81.0,1-1-1-1,38.1-38.2,38.7,564(0),,,スズカブルグ,190.0,4,,125.55555555555556,1.75,72.1,0,,,39.14999999999999,0.5892857142857143,15.652173913043478,15.668983188854735,115.0,1.0,1.0,1.0,38.1,38.2,0.6000000000000014,0.5,-0.10000000000000142,35.64,37.85,4.375,3.5100000000000007,1.3000000000000007,-2.21,-2.0,-2.0,0.0,4.7,-2.3,-2.8,-0.5,11.109522384121911,0.7878205106652101,5,38.333333333333336,37.54666666666667,67.75
560,560,2021/03/21,2中京4,小雨,8,4歳以上1勝クラス,,8,7,7,42.2,8,3,富田暁,56,ダ1900,不,-23.0,1:59.5,0.5,79.0,2-2-2-2,30.5-37.0,37.5,512(+6),,,ウェイヴァリー,190.0,5,,74.4,1.536842105263158,70.26315789473684,0,,,37.98947368421052,0.4294117647058823,15.899581589958158,15.865829204269511,119.5,2.0,2.0,2.0,30.5,37.0,7.0,0.5,-6.5,35.36842105263158,37.12105263157895,6.614035087719299,2.621052631578946,0.8684210526315793,-1.7526315789473672,-1.0,-1.0,0.0,6.105263157894737,-1.2105263157894737,-0.2631578947368421,0.9473684210526315,10.654928437113034,1.3872544827824491,5,35.0,36.82631578947368,74.0
561,561,2019/11/03,5東京2,曇,7,3歳以上1勝クラス,,16,5,10,165.2,15,7,三浦皇成,57,ダ1600,良,-3.0,1:38.8,0.8,87.0,10-9,36.4-36.9,36.5,472(-4),,出遅れ,オーバーディリバー,,6,,79.0625,1.0150000000000001,80.55,0,,,37.955,0.6216216216216216,16.194331983805668,16.0083910361072,98.8,10.0,9.0,9.5,36.4,36.9,0.10000000000000142,-0.3999999999999986,-0.5,34.010000000000005,37.715,8.075,3.9449999999999994,0.23999999999999985,-3.7049999999999996,2.0,3.0,1.0,7.4,1.35,2.7,1.35,9.858868033986692,1.0146098297256754,8,36.6,36.559999999999995,86.5
562,562,2021/03/27,2中京5,晴,8,4歳以上1勝クラス,,12,8,11,54.8,9,9,亀田温心,56,ダ1800,良,-4.0,1:55.7,2.4,70.0,10-10-11-10,37.6-37.4,38.9,530(+6),,出遅れ,マーブルサニー,,7,,10.0,1.52,61.3,0,,,39.64999999999999,0.4,15.557476231633535,15.440496104526284,115.7,10.0,10.0,10.25,37.6,37.4,1.2999999999999972,1.5,0.20000000000000284,20.18,38.61,5.85,19.47,1.0399999999999991,-18.43,1.0,1.0,0.0,5.6,-0.3,-0.1,0.2,9.18856637708602,1.0249773228694838,4,37.96666666666667,32.81333333333333,69.5
563,563,2021/01/23,1中山7,雨,8,4歳以上1勝クラス,,14,4,5,7.5,4,12,吉田豊,56,ダ1800,稍,1.0,1:58.6,2.9,57.0,5-7-11-11,38.8-38.5,40.1,512(-2),,,サンビュート,,8,,100.75,1.2,77.75,0,,,38.875,0.6132075471698113,15.177065767284992,15.689404756640679,118.6,5.0,11.0,8.5,38.8,38.5,1.3000000000000043,1.6000000000000014,0.29999999999999716,37.1,38.349999999999994,6.125,1.7750000000000004,0.5250000000000021,-1.2499999999999982,-1.0,-7.0,-6.0,6.875,0.75,-0.75,-1.5,10.077477638553983,1.1671427600007735,4,39.13333333333333,38.108333333333334,80.0
564,564,2021/03/28,2阪神2,雨,8,4歳以上1勝クラス,,15,7,13,50.6,9,10,西村淳也,57,ダ1400,稍,-9.0,1:26.3,1.6,70.0,9-9,35.0-37.5,38.2,478(-4),,,エターナリー,,9,,,1.25,70.33333333333333,0,,,37.833333333333336,0.0,16.22247972190035,16.24778822256264,86.3,9.0,9.0,9.0,35.0,37.5,3.200000000000003,0.7000000000000028,-2.5,35.025,37.574999999999996,8.916666666666666,2.808333333333334,0.25833333333333347,-2.5500000000000007,-1.0,-1.0,0.0,8.833333333333334,1.25,1.4166666666666667,0.16666666666666666,6.458790624517948,1.1893014209284734,4,36.9,36.8111111111111,70.5
565,565,2020/08/09,2新潟6,曇,2,3歳未勝利,,15,6,11,34.3,8,1,鮫島克駿,56,ダ1800,不,-12.0,1:54.3,0.0,71.0,9-8-4-4,36.8-38.8,38.5,466(0),,出遅れ,(クレドゥボヌール),510.0,10,,510.0,0.0,71.0,0,,,38.5,1.0,15.748031496062993,15.748031496062993,114.3,9.0,4.0,6.25,36.8,38.8,1.7000000000000028,-0.29999999999999716,-2.0,36.8,38.8,6.25,1.7000000000000028,-0.29999999999999716,-2.0,3.0,8.0,5.0,4.0,3.0,8.0,5.0,4.0,1.1000000000000014,4,38.03333333333333,38.03333333333333,71.0
566,566,2020/12/25,大井,晴,10,サンタクロース特別競,,12,7,10,1.6,1,1,本橋孝太,56,ダ1700,良,-2.0,1:49.4,0.0,67.0,2-2-2-2,31.8-39.0,38.8,510(-5),,,(サトノライジン),220.0,1,,117.2,0.7285714285714285,66.57142857142857,0,,,38.32857142857143,0.875,15.539305301645337,15.757785895299147,109.4,2.0,2.0,2.0,31.8,39.0,6.9999999999999964,-0.20000000000000284,-7.199999999999999,34.8,37.92857142857144,5.357142857142857,3.528571428571428,0.3999999999999986,-3.1285714285714294,1.0,1.0,0.0,5.428571428571429,0.8571428571428571,0.8571428571428571,0.0,15.958931668504631,1.016120071645078,4,36.53333333333333,37.01904761904762,62.0
