,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,着差平均,上り平均,着順平均,タイム計算平均,種牡馬成績,母父成績
32,32,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,7,13,158.3,14,6,団野大成,56,ダ1800,良,**,1:51.9,0.3,**,9-9-9-10,37.3-37.4,36.9,524(0),,,サンライズホープ,,6,-2.286961230619428,0.5916666666666667,0.84375,0.7681333333333344,0.2818181818181818,0.8920863309352518,0.4461538461538461,37.97692307692308,,,,
33,33,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,8,16,91.7,12.0,7,小沢大仁,56,ダ1800,良,**,1:52.2,0.6,**,10-9-7-4,37.3-37.4,37.4,534(+6),,,サンライズホープ,,7,-2.7315388511140317,0.7285714285714285,0.7351351351351352,0.5039999999999992,0.5233333333333333,0.7855153203342619,0.5558139534883718,38.45813953488371,,,,
34,34,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,3,6,70.4,9,8,酒井学,56,ダ1800,良,**,1:52.2,0.6,**,2-2-2-2,37.3-37.4,37.9,522(+6),,,サンライズホープ,,8,-2.6263261619101326,0.9916666666666668,0.6838709677419355,0.31967440925087526,0.27999999999999997,0.875968992248062,0.80625,38.44375,4.4375,,,
35,35,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,1,1,74.4,10,9,藤岡康太,56,ダ1800,良,**,1:52.3,0.7,**,13-12-11-10,37.3-37.4,37.1,484(0),,,サンライズホープ,,9,-4.415224870522623,0.6775862068965517,0.751937984496124,1.2897860414095688,0.7458333333333333,0.7410526315789474,0.7871794871794874,37.18717948717949,4.461538461538462,,,
36,36,2022/11/06,5阪神2,晴,11.0,みやこS(G3),,16,8.0,15,31.5,7,10,藤岡佑介,57.0,ダ1800,良,**,1:52.8,1.2,**,10-9-11-13,37.3-37.4,37.6,488(+1),,,サンライズホープ,,10,-6.651654898121995,0.3843750000000001,0.7832512315270936,1.5589777777777778,0.6160714285714286,0.6779661016949152,0.5625000000000001,36.6125,5.3125,,,
37,37,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,5,10,18.1,6,12,池添謙一,56,ダ1800,良,**,1:53.5,1.9,**,5-4-4-4,37.3-37.4,38.9,466(-1),,,サンライズホープ,,12,-3.936273314306081,0.1,0.7959183673469388,0.7138000000000027,-0.049999999999999975,0.819672131147541,-0.08333333333333331,37.93333333333333,3.3333333333333335,,,
38,38,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,6,11,225.1,16,13,今村聖奈,56,ダ1800,良,**,1:53.8,2.2,**,15-15-15-15,37.3-37.4,38.3,498(-4),,,サンライズホープ,,13,-3.357295103629855,0.8699999999999999,0.7061855670103093,0.6430999999999999,0.7833333333333334,0.7113821138211383,0.8826086956521741,37.82608695652174,5.0,,,
39,39,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,3,5,5.2,4,14,横山武史,56.0,ダ1800,良,**,1:54.0,2.4,**,1-1-1-1,37.3-37.4,39.8,488(-8),,,サンライズホープ,,14,-5.4646910562173385,-0.2928571428571428,0.979381443298969,1.5808000000000006,0.11500000000000002,0.875,-0.11818181818181821,36.763636363636365,2.5454545454545454,,,
40,40,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,2,4,114.2,13,15,鮫島克駿,56,ダ1800,良,**,1:54.3,2.7,**,3-4-4-4,37.3-37.4,39.8,480(0),,,サンライズホープ,,15,-5.071509328544558,0.6437499999999999,0.6448598130841121,0.286440000000001,0.2857142857142857,0.7528089887640449,0.6210526315789474,37.689473684210526,6.0,,,
41,41,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,4,7,218.8,15,16,太宰啓介,56,ダ1800,良,**,1:54.7,3.1,**,3-3-3-3,37.3-37.4,40.2,496(-2),,,サンライズホープ,,16,-3.26621455050642,1.13125,0.6666666666666666,-0.3165538461538452,0.6208333333333333,0.7349397590361446,1.1294117647058823,38.699999999999996,5.882352941176471,,,
